"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"30.09.2025 22:50:52 UTC","25590372412","Bestellung","306-6024074-2314765","10DE-L-Waterproof Tent","Tarp Wasserdicht 335 x 274cm, Ultraleicht Camping Zeltplane Camping Tent Tarp Ultraleicht, UV Schutz Camping Sonnensegel Zelt, mit ösen + 4 Erdnägel","1","amazon.de","Amazon","Horn","","3580","MarketplaceFacilitator","11,76","2,35","0","0","0","0","0","0","-2,35","-2,10","-4,29","0","0","5,37"
"30.09.2025 23:01:22 UTC","25590372412","Bestellung","305-7211818-5889161","10DE-L-Mountainbikesättel","Fahrradsattel Herren Bequem, Gel MTB Sattel Fahrrad Sattel für Damen & Herren, Bequemer Hohl Ergonomisch Fahrradsitz, Stoßdämpfend Atmungsaktiv Mou","1","amazon.de","Amazon","Schüttorf","","48465","MarketplaceFacilitator","10,08","1,91","0","0","0","0","0","0","-1,91","-1,80","-4,29","0","0","3,99"
"30.09.2025 23:04:24 UTC","25590372412","Bestellung","303-6176006-8314701","10DE-L-waterproof bag(Red)","Miloll 3 Stück Dry Bag Tasche,5L/10L / 20L, wasserdichter Beutel Rucksack wasserdichte Aufbewahrungsbeutel, Trockentaschen für Kajakfahren, perfekt","1","amazon.de","Amazon","Bruehl","","50321","MarketplaceFacilitator","12,60","2,39","0","0","0","0","0","0","-2,39","-2,25","-3,90","0","0","6,45"
"30.09.2025 23:15:24 UTC","25590372412","Bestellung","305-7094102-4134720","10DE-L-Foam Saddle","Premium Fahrradsattel Herren Damen, Wasserdicht Fahrrad Sattel Weich Gelsattel Fahrradsitz Bequem Weich Fahrradsättel Ergonomischer, Atmungsaktiv Sto","2","amazon.de","Amazon","Westerstede","Niedersachsen","26655","MarketplaceFacilitator","23,52","4,46","0","0","0","0","0","0","-4,46","-4,20","-9,94","0","0","9,38"
"30.09.2025 23:17:06 UTC","25590372412","Bestellung","303-7209474-2511551","10DE-L-Mason jar","12 Stück Mason Jars Glas mit Deckel,473 ml EinmachgläSer Mit Schraubdeckel,Einmachgläser mit breiter Öffnung,Marmeladengläser,Vorratsgläser für","1","amazon.de","Amazon","Ostbevern","","48346","MarketplaceFacilitator","21,84","4,15","0","0","0","0","0","0","-4,15","-3,90","-5,95","0","0","11,99"
"30.09.2025 23:22:26 UTC","25590372412","Bestellung","028-1543279-5361122","10DE-L-Mason jar","12 Stück Mason Jars Glas mit Deckel,473 ml EinmachgläSer Mit Schraubdeckel,Einmachgläser mit breiter Öffnung,Marmeladengläser,Vorratsgläser für","1","amazon.de","Amazon","Berlin","Berlin","12526","MarketplaceFacilitator","21,84","4,15","0","0","0","0","0","0","-4,15","-3,90","-5,95","0","0","11,99"
"30.09.2025 23:24:08 UTC","25590372412","Bestellung","028-4863293-3945951","10DE-L-Mason jar","12 Stück Mason Jars Glas mit Deckel,473 ml EinmachgläSer Mit Schraubdeckel,Einmachgläser mit breiter Öffnung,Marmeladengläser,Vorratsgläser für","1","amazon.de","Amazon","Porvoo","Uusimaa","06","MarketplaceFacilitator","21,84","5,57","0","0","0","0","0","0","-5,57","-3,90","-5,95","0","0","11,99"
"30.09.2025 23:31:04 UTC","25590372412","Bestellung","305-2942140-5838722","10DE-L-Waterproof Tent","Tarp Wasserdicht 335 x 274cm, Ultraleicht Camping Zeltplane Camping Tent Tarp Ultraleicht, UV Schutz Camping Sonnensegel Zelt, mit ösen + 4 Erdnägel","1","amazon.de","Amazon","Lengede","Niedersachsen","38268","MarketplaceFacilitator","11,76","2,23","0","0","0","0","0","0","-2,23","-2,10","-4,29","0","0","5,37"
"30.09.2025 23:41:26 UTC","25590372412","Bestellung","028-7955859-9744336","10DE-L-Mason jar","12 Stück Mason Jars Glas mit Deckel,473 ml EinmachgläSer Mit Schraubdeckel,Einmachgläser mit breiter Öffnung,Marmeladengläser,Vorratsgläser für","1","amazon.de","Amazon","Hamburg","","22175","MarketplaceFacilitator","21,84","4,15","0","0","0","0","0","0","-4,15","-3,90","-5,95","0","0","11,99"
"30.09.2025 23:47:37 UTC","25590372412","Bestellung","028-8754566-1117114","10DE-L-Mason jar","12 Stück Mason Jars Glas mit Deckel,473 ml EinmachgläSer Mit Schraubdeckel,Einmachgläser mit breiter Öffnung,Marmeladengläser,Vorratsgläser für","1","amazon.de","Amazon","Hannover","","30175","MarketplaceFacilitator","21,84","4,15","0","0","0","0","0","0","-4,15","-3,90","-5,95","0","0","11,99"
