"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"30 Jun 2025 23:00:26 UTC","25110162652","Order","204-9311971-0800324","10UK-GM-YHG-SPO-StlWtrBtlSld-Rblk25","Triple Insulated Stainless Steel Water Bottle with Straw Flip Top Lid - Wide Mouth Cap (750 ML) Water Bottles, Keeps Hot and Cold - Great for Hiking &","1","amazon.co.uk","Amazon","COVENTRY","","CV2 1","MarketplaceFacilitator","13.32","2.67","0","0","0","0","0","0","-2.67","-2.40","-3.04","-0.11","0","7.77"
"30 Jun 2025 23:00:47 UTC","25110162652","Refund","204-8466995-8760323","10UK-GM-YHG-KND-GlsBvgDspr-1","Glass Drink Dispenser with Stainless Steel Tap 3.7L - 100% Leak Proof Beverage Dispenser with Ice Core, Easy Filling Wide Mouth - Glass Jug Cocktail A","1","amazon.co.uk","Amazon","Waltham Abbey","Essex","EN9 1","MarketplaceFacilitator","-14.99","-3.00","0","0","0","0","0","0","3.00","2.16","0","0.05","0","-12.78"
"30 Jun 2025 23:01:49 UTC","25110162652","Order","206-8147999-5324355","10UK-GM-Car Boot Organiser Black FNSKU","Drive Auto Car Boot Organiser - Robust, Collapsible, Multi-Compartment Car Trunk Organizer Box w/Adjustable Straps & Handles - Essential Car Accessori","1","amazon.co.uk","Amazon","BRADFORD","","BD6 1","MarketplaceFacilitator","11.20","2.24","0","0","0","0","0","0","-2.24","-2.02","-3.35","-0.11","0","5.72"
"30 Jun 2025 23:04:28 UTC","25110162652","Order","202-9288287-9835507","10UK-GM-YHG-SPO-StlWtrBtlSld-Pnkgrn25","Triple Insulated Stainless Steel Water Bottle with Straw Lid - Flip Top Lid - Wide Mouth Cap (750 ML) Insulated Water Bottles, Keeps Hot and Cold - Gr","1","amazon.co.uk","Amazon","SHEFFIELD","","S2 3","MarketplaceFacilitator","12.49","2.50","0","0","0","0","0","0","-2.50","-2.25","-3.06","-0.11","0","7.07"
"30 Jun 2025 23:06:40 UTC","25110162652","Order","205-6518430-5839554","10UK-GM-YHG-SPO-StlWtrBtlSld-Stl25","Triple Insulated Stainless Steel Water Bottle with Straw Lid - Flip Top Lid - Wide Mouth Cap (750 ML) Insulated Water Bottles, Keeps Hot and Cold - Gr","1","amazon.co.uk","Amazon","WIRRALWirral","","CH63 7","MarketplaceFacilitator","13.32","2.67","0","0","0","0","0","0","-2.67","-2.40","-3.06","-0.11","0","7.75"
"30 Jun 2025 23:06:58 UTC","25110162652","Order","206-3089507-1998754","B01C5D4Z5A DAT-APA-KMAT2-GRY","﻿Drive Auto Products Kick Mats - Pack of 2, Heavy-Duty, Reversible Backseat Protector Mats, Grey","1","amazon.co.uk","Amazon","Liverpool","","L26 0","MarketplaceFacilitator","12.49","2.50","0","0","0","0","0","0","-2.50","-2.25","-3.90","-0.13","0","6.21"
"30 Jun 2025 23:08:31 UTC","25110162652","Order","202-3407249-0562759","10UK-GM-YHG-KND-StlMxBwl-5pk#","FineDine Mixing Bowls Set , 10 Piece Set ,(5 Bowls +5 Lids) Stainless Steel","1","amazon.co.uk","Seller","PINNER","","HA5 2","MarketplaceFacilitator","16.66","3.33","0","0","0","0","0","0","-3.33","-3.00","0","-0.06","0","13.60"
"30 Jun 2025 23:09:28 UTC","25110162652","Order","026-9267133-4778720","10UK-GM-YHG-KND-StlMxBwl-5pk#","FineDine Mixing Bowls Set , 10 Piece Set ,(5 Bowls +5 Lids) Stainless Steel","1","amazon.co.uk","Seller","ST HELENS","","WA9 5","MarketplaceFacilitator","16.66","3.33","0","0","0","0","0","0","-3.33","-3.00","0","-0.06","0","13.60"
"30 Jun 2025 23:10:27 UTC","25110162652","Order","026-0106580-0739559","10UK-GM-YHG-SPO-StlWtrBtlSld-Rblk25","Triple Insulated Stainless Steel Water Bottle with Straw Flip Top Lid - Wide Mouth Cap (750 ML) Water Bottles, Keeps Hot and Cold - Great for Hiking &","1","amazon.co.uk","Amazon","WEYMOUTH","","DT4 9","MarketplaceFacilitator","13.32","2.67","0","0","0","0","0","0","-2.67","-2.40","-3.04","-0.11","0","7.77"
"30 Jun 2025 23:18:24 UTC","25110162652","Order","203-4571546-7068313","10UK-GM-YHG-KND-StlMxBwl-5pk","FineDine Mixing Bowls Set , 10 Piece Set ,(5 Bowls +5 Lids) Stainless Steel","1","amazon.co.uk","Amazon","Harrogate","","HG1 5","MarketplaceFacilitator","16.66","3.33","0.82","0.17","0","0","-0.82","-0.17","-3.33","-3.00","-4.73","-0.15","0","8.78"
"30 Jun 2025 23:20:25 UTC","25110162652","Order","204-5189742-9157154","10UK-GM-Car Boot Organiser Grey FNSKU","Drive Auto Car Boot Organiser - Robust, Collapsible, Multi-Compartment Car Trunk Organizer Box w/Adjustable Straps & Handles - Essential Car Accessori","1","amazon.co.uk","Amazon","LEEDS","LEEDS","LS9 0","","11.20","2.24","0","0","0","0","0","0","0","-2.02","-3.35","0","0","8.07"
"30 Jun 2025 23:22:37 UTC","25110162652","Order","206-7213923-1692339","10UK-GM-Car Boot Organiser Black FNSKU","Drive Auto Car Boot Organiser - Robust, Collapsible, Multi-Compartment Car Trunk Organizer Box w/Adjustable Straps & Handles - Essential Car Accessori","2","amazon.co.uk","Amazon","BURNLEY","Lancashire","BB10 1","MarketplaceFacilitator","22.40","4.48","0","0","0","0","0","0","-4.48","-4.04","-6.70","-0.21","0","11.45"
"30 Jun 2025 23:22:50 UTC","25110162652","Order","204-4620197-1656354","10UK-GM-Baby Locks 20PK","Eco-Baby Cupboard Locks for Children- Pack of 20 Magnetic, Child Safety Lock Latches with 3 Keys for Kitchen Cupboards and Drawers - Baby Safety Produ","2","amazon.co.uk","Amazon","Stockton-on-Tees","Billingham","TS22 5","","28.32","5.66","0","0","0","0","0","0","0","-5.10","-5.88","0","0","23.00"
"30 Jun 2025 23:25:53 UTC","25110162652","Order","205-8180777-5727501","10UK-GM-HCO-HOK-Decan-CG","HiCoup Kitchenware Wine Decanter - 100% Lead-Free Glass Carafe - Modern Red Wine Crystal Decanters in U-Shape Design for Optimum Aeration - Swan-Shape","1","amazon.co.uk","Amazon","WOKING","","GU21 4","MarketplaceFacilitator","24.99","5.00","0.33","0.07","0","0","-0.33","-0.07","-5.00","-4.50","-4.73","-0.18","0","15.58"
"30 Jun 2025 23:31:22 UTC","25110162652","Order","205-0247802-8815548","3C-HWE7-NPVU","Car Trunk Organizer - Collapsible, Multi-Compartment Automotive SUV Car Organizer for Storage w/Adjustable Straps - Truck & Car Accessories for Women","1","amazon.co.uk","Amazon","TAMWORTH","","B78 1","MarketplaceFacilitator","12.49","2.50","0","0","0","0","0","0","-2.50","-2.25","-3.35","-0.12","0","6.77"
"30 Jun 2025 23:31:31 UTC","25110162652","Order","204-8466995-8760323","10UK-GM-YHG-KND-GlsBvgDspr-1","Glass Drink Dispenser with Stainless Steel Tap 3.7L - 100% Leak Proof Beverage Dispenser with Ice Core, Easy Filling Wide Mouth - Glass Jug Cocktail A","1","amazon.co.uk","Amazon","Waltham Abbey","Essex","EN9 1","MarketplaceFacilitator","14.99","3.00","0","0","0","0","0","0","-3.00","-2.70","-4.58","-0.14","0","7.57"
"30 Jun 2025 23:32:19 UTC","25110162652","Order","026-1164610-1355506","10UK-GM-YHG-KND-StlMxBwl-5pk","FineDine Mixing Bowls Set , 10 Piece Set ,(5 Bowls +5 Lids) Stainless Steel","1","amazon.co.uk","Amazon","SHEFFIELD","","S20 8","MarketplaceFacilitator","16.66","3.33","0","0","0","0","0","0","-3.33","-3.00","-4.73","-0.15","0","8.78"
