"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Jul 1, 2025 12:46:31 AM PDT","23910295561","Order","114-5032589-7946642","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","SOMERSET","PA","15501","MarketplaceFacilitator","15.99","0.96","0","0","0","0","0","0","0","0","-0.96","-2.40","-7.00","0","0","6.59"
"Jul 1, 2025 1:04:32 PM PDT","23910295561","Order","111-5007018-8952269","HBER003","Twin XL Size 100% Waterproof Mattress Protector, Machine Washable Cotton Mattress Cover for Bed, Fitted with Stretchable Pockets","1","amazon.com","Amazon","SAINT CLOUD","MN","56303","MarketplaceFacilitator","16.99","0","0","0","0","0","0","0","-16.99","0","0","0","-6.05","0","0","-6.05"
"Jul 1, 2025 1:51:02 PM PDT","23910295561","Order","112-6167837-3241840","10US-F-Car Boot Organiser Black NEW","Miloll Collapsible Car Trunk Organizer - SUV & Car Storage, Multi-Compartment, Black","1","amazon.com","Amazon","Rocky Hill","CT","06067","MarketplaceFacilitator","12.99","0.82","0","0","0","0","0","0","0","0","-0.82","0","-7.16","0","0","5.83"
"Jul 1, 2025 2:06:51 PM PDT","23910295561","Order","112-1557919-6800269","10US-F-Car Boot Organiser Black NEW","Miloll Collapsible Car Trunk Organizer - SUV & Car Storage, Multi-Compartment, Black","1","amazon.com","Amazon","PEORIA","AZ","85345","MarketplaceFacilitator","13.99","1.13","0","0","0","0","0","0","0","0","-1.13","0","-7.16","0","0","6.83"
"Jul 1, 2025 4:37:07 PM PDT","23910295561","Order","114-4395364-9211466","HBER002-Q","Zippered Mattress Encasement-Queen Mattress Protector-100% Waterproof Box Spring Encasement-Hypoallergenic & Noiseless-9 Inches Deep","1","amazon.com","Amazon","CHARLOTTE","NC","28205","MarketplaceFacilitator","23.99","1.39","0","0","0","0","0","0","-4.80","0","-1.39","0","-7.16","0","0","12.03"
"Jul 1, 2025 6:19:05 PM PDT","23910295561","Order","111-2279865-1829835","10US-F-Car Boot Organiser Grey NEW","Trunk Organizer for SUV - Collapsible Car Organizer for Storage, Multi-Compartment Car Trunk Organizer, Truck Accessories for Men, Car Organizers and","1","amazon.com","Amazon","BUFFALO","MO","65622","MarketplaceFacilitator","13.99","0.59","0","0","0","0","0","0","0","0","-0.59","0","-7.16","0","0","6.83"
"Jul 1, 2025 8:21:33 PM PDT","23910295561","Order","113-9726133-3096256","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","ANDERSON","IN","46016","MarketplaceFacilitator","14.99","1.05","0","0","0","0","0","0","0","0","-1.05","0","-7.00","0","0","7.99"
"Jul 2, 2025 12:06:35 AM PDT","23910295561","Order","113-0978745-0745013","HBER004-K-15-18","Zippered Mattress Protector King Size, Premium Quality Hypoallergenic Bed Encasement,15-18 Inch Waterproof Mattress Cover Breathable & Noiseless","1","amazon.com","Amazon","PLANT CITY","FL","33563","MarketplaceFacilitator","29.99","0","0","0","0","0","0","0","0","0","0","0","-7.64","0","0","22.35"
"Jul 2, 2025 1:19:38 AM PDT","23910295561","Order","112-3003068-2444216","10US-F-Car Boot Organiser Black NEW","Miloll Collapsible Car Trunk Organizer - SUV & Car Storage, Multi-Compartment, Black","1","amazon.com","Amazon","JACKSONVILLE","FL","32211","MarketplaceFacilitator","12.99","0.97","0","0","0","0","0","0","0","0","-0.97","0","-7.16","0","0","5.83"
"Jul 2, 2025 5:55:52 AM PDT","23910295561","Order","111-6652326-8387402","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","RICHMOND HILL","NY","11418","MarketplaceFacilitator","14.99","1.33","0","0","0","0","0","0","0","0","-1.33","0","-7.00","0","0","7.99"
