"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 1, 2025 12:03:27 AM PDT","24575146211","Order","112-1048637-5353822","Drink Dispenser-0120","Glass Drink Dispenser 3.8L,Water Dispenser with Tap, Drink Dispenser for Party & Outdoor Use, Jug for Water, Juice,(BBQ, Picnic, Garden Party Essentia","1","amazon.com","Amazon","KATY","TX","77450","MarketplaceFacilitator","19.99","1.65","0","0","0","0","0","0","0","0","-1.65","-3.00","-7.96","0","0","9.03"
"Oct 1, 2025 3:36:56 AM PDT","24575146211","Order","111-8619342-0883445","Drink Dispenser-0120","Glass Drink Dispenser 3.8L,Water Dispenser with Tap, Drink Dispenser for Party & Outdoor Use, Jug for Water, Juice,(BBQ, Picnic, Garden Party Essentia","1","amazon.com","Amazon","LEXINGTON","KY","40511","MarketplaceFacilitator","19.99","1.20","0","0","0","0","0","0","0","0","-1.20","-3.00","-7.96","0","0","9.03"
"Oct 1, 2025 4:15:29 AM PDT","24575146211","Order","112-5216152-9389045","Drink Dispenser-0120","Glass Drink Dispenser 3.8L,Water Dispenser with Tap, Drink Dispenser for Party & Outdoor Use, Jug for Water, Juice,(BBQ, Picnic, Garden Party Essentia","1","amazon.com","Amazon","WIMBERLEY","TX","78676","MarketplaceFacilitator","21.99","1.81","1.50","0","0","0","0","0","-1.50","0","-1.81","-3.30","-7.96","0","0","10.73"
"Oct 1, 2025 4:58:32 AM PDT","24575146211","FBA Inventory Fee","111-3355791-5985014","","FBA Removal Order: Disposal Fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-6.07","-6.07"
"Oct 1, 2025 5:17:48 AM PDT","24575146211","Order","113-0395008-9162612","Milk Frother-0123","Milk Frother for Coffee, 2 Speed Handheld, Battery Operated, Stainless Steel Drink Mixer & Mini Foam Maker - Electric Whisk for Coffee, Lattes, Hot Ch","1","amazon.com","Amazon","WINDSOR MILL","MD","21244","MarketplaceFacilitator","12.99","0.78","3.07","0","0","0","0","0","-3.07","0","-0.78","-1.95","-4.15","0","0","6.89"
"Oct 1, 2025 7:37:52 AM PDT","24575146211","Order","112-0355361-7249052","Bartender Kit 10-0123","Bartender Kit with Bamboo Stand, Cocktail Shaker Set and Bar Accessories for Home Bar, Drink Mixing, and Mixology Kit","1","amazon.com","Amazon","RENO","NV","89502","MarketplaceFacilitator","9.99","0.83","0","0","0","0","0","0","0","0","-0.83","-1.50","-5.00","0","0","3.49"
"Oct 1, 2025 8:15:01 AM PDT","24575146211","Order","114-1991061-8045022","14Cocktail Shaker-0120","Cocktail Shakers Set, 14 Piece Stainless Steel Bar Tools Kit with Shaking Tins, Flat Bottle Opener, Double Bar Jigger, Hawthorne Strainer, Shot Glasse","1","amazon.com","Amazon","PALM BAY","FL","32908","MarketplaceFacilitator","9.99","0.70","0","0","0","0","0","0","0","0","-0.70","-1.50","-4.75","0","0","3.74"
"Oct 1, 2025 10:47:20 AM PDT","24575146211","Refund","111-3981541-8637806","14Cocktail Shaker-0120","Cocktail Shakers Set, 14 Piece Stainless Steel Bar Tools Kit with Shaking Tins, Flat Bottle Opener, Double Bar Jigger, Hawthorne Strainer, Shot Glasse","1","amazon.com","Amazon","ATLANTA","GA","30349","MarketplaceFacilitator","0","0","-6.99","-0.56","0","0","0","0","0","0","0.56","0","6.99","0","0","0"
"Oct 1, 2025 12:29:13 PM PDT","24575146211","Refund","113-1342198-7485000","Drink Dispenser-0120","Glass Drink Dispenser 3.8L,Water Dispenser with Tap, Drink Dispenser for Party & Outdoor Use, Jug for Water, Juice,(BBQ, Picnic, Garden Party Essentia","1","amazon.com","Amazon","FORT MILL","SC","29707","MarketplaceFacilitator","-19.99","-1.60","0","0","0","0","0","0","0","0","1.60","2.40","0","0","0","-17.59"
"Oct 1, 2025 6:10:14 PM PDT","24575146211","Order","114-2247866-6817032","Drink Dispenser-0120","Glass Drink Dispenser 3.8L,Water Dispenser with Tap, Drink Dispenser for Party & Outdoor Use, Jug for Water, Juice,(BBQ, Picnic, Garden Party Essentia","1","amazon.com","Amazon","WOODLAND","CA","95695","MarketplaceFacilitator","19.99","1.60","0","0","0","0","0","0","0","0","-1.60","-3.00","-7.96","0","0","9.03"
"Oct 1, 2025 6:47:53 PM PDT","24575146211","Order","111-3788489-5657817","Drink Dispenser-0120","Glass Drink Dispenser 3.8L,Water Dispenser with Tap, Drink Dispenser for Party & Outdoor Use, Jug for Water, Juice,(BBQ, Picnic, Garden Party Essentia","1","amazon.com","Amazon","GARDEN GROVE","CA","92845","MarketplaceFacilitator","19.99","1.75","0","0","0","0","0","0","0","0","-1.75","-3.00","-7.96","0","0","9.03"
"Oct 1, 2025 9:48:47 PM PDT","24575146211","Order","114-8240037-0113813","Bartender Kit 10-0123","Bartender Kit with Bamboo Stand, Cocktail Shaker Set and Bar Accessories for Home Bar, Drink Mixing, and Mixology Kit","1","amazon.com","Amazon","NEW ORLEANS","LA","70131","MarketplaceFacilitator","9.99","1.00","0","0","0","0","0","0","0","0","-1.00","-1.50","-5.00","0","0","3.49"
"Oct 1, 2025 9:55:07 PM PDT","24575146211","Order","113-0563344-6400231","14Cocktail Shaker-0120","Cocktail Shakers Set, 14 Piece Stainless Steel Bar Tools Kit with Shaking Tins, Flat Bottle Opener, Double Bar Jigger, Hawthorne Strainer, Shot Glasse","1","amazon.com","Amazon","BRONX","NY","10460","MarketplaceFacilitator","9.99","0.89","0","0","0","0","0","0","0","0","-0.89","-1.50","-4.75","0","0","3.74"
"Oct 1, 2025 10:31:05 PM PDT","24575146211","Order","111-8580925-4897025","Drink Dispenser-0120","Glass Drink Dispenser 3.8L,Water Dispenser with Tap, Drink Dispenser for Party & Outdoor Use, Jug for Water, Juice,(BBQ, Picnic, Garden Party Essentia","1","amazon.com","Amazon","BOSTON","MASSACHUSETTS","02121","MarketplaceFacilitator","19.99","1.25","0","0","0","0","0","0","0","0","-1.25","-3.00","-7.96","0","0","9.03"
"Oct 1, 2025 11:46:23 PM PDT","24575146211","Order","114-7605989-4416208","Drink Dispenser-0120","Glass Drink Dispenser 3.8L,Water Dispenser with Tap, Drink Dispenser for Party & Outdoor Use, Jug for Water, Juice,(BBQ, Picnic, Garden Party Essentia","1","amazon.com","Amazon","FRISCO","TX","75034","MarketplaceFacilitator","19.99","1.65","6.99","0","0","0","0","0","-6.99","0","-1.65","-3.00","-7.96","0","0","9.03"
"Oct 2, 2025 12:07:34 AM PDT","24575146211","Order","111-5848916-5785868","14Cocktail Shaker-0120","Cocktail Shakers Set, 14 Piece Stainless Steel Bar Tools Kit with Shaking Tins, Flat Bottle Opener, Double Bar Jigger, Hawthorne Strainer, Shot Glasse","1","amazon.com","Amazon","OXNARD","CA","93033","MarketplaceFacilitator","9.99","0.92","0","0","0","0","0","0","0","0","-0.92","-1.50","-4.75","0","0","3.74"
"Oct 2, 2025 12:58:34 AM PDT","24575146211","Order","111-1366565-1685838","Bartender Kit 10-0123","Bartender Kit with Bamboo Stand, Cocktail Shaker Set and Bar Accessories for Home Bar, Drink Mixing, and Mixology Kit","1","amazon.com","Amazon","Conyers","GA","30094","MarketplaceFacilitator","9.99","0.70","0","0","0","0","0","0","0","0","-0.70","-1.50","-5.00","0","0","3.49"
