"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"30 Sept 2025 23:40:34 UTC","25619944422","Order","204-6072699-9167556","13-MasonJars-6PC","Glass Mason Jars 16oz (6-Pack) - Regular Mouth with Lids & Seal Bands | Airtight for Pickling, Canning & Food Storage | Ideal for Jams, Overnight Oats","1","amazon.co.uk","Amazon","SUNBURY-ON-THAMES","","TW16 7","MarketplaceFacilitator","13.32","2.67","0","0","0","0","0","0","-2.67","-2.40","-4.73","-0.14","0","6.05"
"1 Oct 2025 10:31:10 UTC","25619944422","Service Fee","","","Subscription","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-13.59","-13.59"
"1 Oct 2025 15:41:23 UTC","25619944422","Order","026-6186693-7008314","13-MasonJars-6PC","Glass Mason Jars 16oz (6-Pack) - Regular Mouth with Lids & Seal Bands | Airtight for Pickling, Canning & Food Storage | Ideal for Jams, Overnight Oats","1","amazon.co.uk","Amazon","BEDFORD","Bedfordshire","MK42 8","MarketplaceFacilitator","13.32","2.67","0","0","0","0","0","0","-2.67","-2.40","-4.73","-0.14","0","6.05"
"1 Oct 2025 15:47:26 UTC","25619944422","Order","206-0545923-1821132","13-WeightedBlanket-Nvy","BREFR Weighted Blanket King Size 220x230 cm, 20 lbs - Heavy Blanket for Adults | Calms Restlessness & Promotes Relaxation | Soft Navy Cover (Machine W","1","amazon.co.uk","Amazon","NORWICH","","NR10 4","MarketplaceFacilitator","39.99","8.00","0","0","0","0","0","0","-8.00","-7.20","-7.79","-0.30","0","24.70"
"1 Oct 2025 18:00:05 UTC","25619944422","Order","026-3674246-8877951","13-MasonJars-6PC","Glass Mason Jars 16oz (6-Pack) - Regular Mouth with Lids & Seal Bands | Airtight for Pickling, Canning & Food Storage | Ideal for Jams, Overnight Oats","1","amazon.co.uk","Amazon","NORWICH","Norfolk","NR16 2","MarketplaceFacilitator","13.32","2.67","0","0","0","0","0","0","-2.67","-2.40","-4.73","-0.14","0","6.05"
"1 Oct 2025 19:28:18 UTC","25619944422","Order","204-1967258-3700344","13-WeightedBlanket-Nvy","BREFR Weighted Blanket King Size 220x230 cm, 20 lbs - Heavy Blanket for Adults | Calms Restlessness & Promotes Relaxation | Soft Navy Cover (Machine W","1","amazon.co.uk","Amazon","Nottingham","Nottinghamshire UK","NG16 3","","39.99","8.00","0","0","0","0","0","0","0","-7.20","-7.79","0","0","33.00"
"1 Oct 2025 22:14:14 UTC","25619944422","Order","205-6149399-3814724","13-WoodenHangers-6PC","Wide Shoulder Wooden Hangers 6-Pack - Non-Slip Trousers Bar & 360° Swivel Hook | Supports Up to 9 kg | Premium Closet Organisers (Natural Wood)","1","amazon.co.uk","Amazon","KINGSTON UPON THAMES","","KT2 7","MarketplaceFacilitator","14.98","3.00","0.93","0.19","0","0","-0.93","-0.19","-3.00","-2.70","-4.40","-0.14","0","7.74"
"1 Oct 2025 23:27:23 UTC","25619944422","Order","204-9641895-9905906","13-WeightedBlanket-Nvy","BREFR Weighted Blanket King Size 220x230 cm, 20 lbs - Heavy Blanket for Adults | Calms Restlessness & Promotes Relaxation | Soft Navy Cover (Machine W","1","amazon.co.uk","Amazon","Nottingham","Nottinghamshire UK","NG16 3","","39.99","8.00","0","0","0","0","0","0","0","-7.20","-7.79","0","0","33.00"
"2 Oct 2025 18:38:49 UTC","25619944422","Order","205-3799401-1354715","13-MasonJars-6PC","Glass Mason Jars 16oz (6-Pack) - Regular Mouth with Lids & Seal Bands | Airtight for Pickling, Canning & Food Storage | Ideal for Jams, Overnight Oats","1","amazon.co.uk","Amazon","THATCHAM","","RG19 4","MarketplaceFacilitator","13.32","2.67","1.87","0.37","0","0","-1.87","-0.37","-2.67","-2.40","-4.73","-0.14","0","6.05"
"2 Oct 2025 21:03:39 UTC","25619944422","Order","204-1369641-7489160","13-BedStorage-2PC","Premium 2-Pack Underbed Storage Bags | Non-Woven Fabric with Zips | King Size Duvet, Bedding & Shoe Organiser | Dust-Proof Linen Storage for Under Bed","1","amazon.co.uk","Amazon","London","","N11 3","MarketplaceFacilitator","7.48","1.50","0","0","0","0","0","0","-1.50","-1.35","-2.40","-0.08","0","3.65"
"2 Oct 2025 23:52:40 UTC","25619944422","Order","206-9211391-4249905","13uk-ChrsBg-Ox-9Red","Christmas Tree Storage-Heavy-Duty 600D Oxford Fabric, Triple Reinforced Handles, Double Zipper & Card Slot - Fits Up to 9ft Trees, Protects from Dust","1","amazon.co.uk","Amazon","BOSTON","Lincs","PE22 0","MarketplaceFacilitator","14.15","2.83","0","0","0","0","0","0","-2.83","-2.55","-3.35","-0.12","0","8.13"
"3 Oct 2025 15:14:43 UTC","25619944422","Order","202-3054128-5181923","13-PingPong","Professional Table Tennis Set | 4 Paddles, Retractable Net, 6x 3-Star Balls & Carry Case | Indoor Outdoor Family Game with Portable Accessories","1","amazon.co.uk","Amazon","Redruth","","TR152","MarketplaceFacilitator","18.32","3.67","0","0","0","0","0","0","-3.67","-3.30","-3.48","-0.14","0","11.40"
"3 Oct 2025 16:36:45 UTC","25619944422","Order","202-0894661-8517950","13-MasonJars-6PC","Glass Mason Jars 16oz (6-Pack) - Regular Mouth with Lids & Seal Bands | Airtight for Pickling, Canning & Food Storage | Ideal for Jams, Overnight Oats","1","amazon.co.uk","Amazon","Portmarnock","","","MarketplaceFacilitator","13.32","3.06","0","0","0","0","0","0","-3.06","-2.40","-4.73","-0.14","0","6.05"
