"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Apr 1, 2025 12:11:17 AM PDT","23342885141","Refund","111-5751675-9071438","Amberjar-8oz6pcs","ELAORY 6 Pack 8Oz Glass Jars with Lids, Amber Glass Jars with Lids, Small Glass Jars for Canning, Food Storage, Spices, Liquids, Herbs, Homemade Cosme","1","amazon.com","Standard Orders","Amazon","LAWRENCE,","KS","66044","MarketplaceFacilitator","-14.99","-1.39","-2.90","0","0","0","0","0","2.90","0","1.39","1.80","0","0","0","-13.19"
"Apr 1, 2025 12:25:10 AM PDT","23342885141","Order","111-3140201-8572237","ELA-Charging Station","ELAORY Charging Station, Cell Phone Charging Station for Multiple Devices, 6 Ports USB Multi Devices Charger Fast Charging Station for iPhone iPad Cel","1","amazon.com","Standard Orders","Amazon","OREGON","WI","53575","MarketplaceFacilitator","25.99","1.43","0","0","0","0","0","0","0","0","-1.43","-3.90","-5.52","0","0","16.57"
"Apr 1, 2025 12:33:15 AM PDT","23342885141","Liquidations","19076849800551","X004BQSWSH","ELAORY Bodyweight Workout Cards, 62 Exercises Cards Deck Large Size 5"" x 3.5"" Fitness Cards for Women & Men, Beginner Fitness Guide to Training Exercises at Home or Gym (Bodyweight,Vol 2)","1","","Standard Orders","","","","","","0.38","0","0","0","0","0","0","0","0","0","0","0","0","-0.36","0","0.02"
"Apr 1, 2025 12:47:09 AM PDT","23342885141","Order","111-9034682-6009860","Smalljars-12pack","ELAORY 12 Pack Small Glass Jars with Lids,3.4 oz Small Jars with Lids, Mini Glass Bottles with Cork, Glass Jars with Cork Lids, Mini Jars with Twine a","1","amazon.com","Standard Orders","Amazon","TAMPA","FL","33634","MarketplaceFacilitator","14.99","0.97","0","0","0","0","0","0","0","0","-0.97","-2.25","-7.48","0","0","5.26"
"Apr 1, 2025 12:49:14 AM PDT","23342885141","Order","113-5162025-9690656","Beerbottle-6pack","ELAORY Swing Top Glass Bottles, 6 Pack Flip Top Beer Bottles with Airtight Lids,16 Oz Amber Glass Bottle with Lids, Kombucha Bottles, Beer Bottles for","1","amazon.com","Standard Orders","Amazon","KERNERSVILLE","NC","27284","MarketplaceFacilitator","18.99","1.33","0","0","0","0","0","0","0","0","-1.33","-2.85","-8.36","0","0","7.78"
"Apr 1, 2025 12:50:48 AM PDT","23342885141","Liquidations","19131689113551","X004BPOR4V","ELAORY Charging Station, Cell Phone Charging Station for Multiple Devices, 6 Ports USB Multi Devices Charger Fast Charging Station for iPhone iPad Cell Phone Tablets (Silver, 6 Mixed Cables Included)","1","","Standard Orders","","","","","","2.19","0","0","0","0","0","0","0","0","0","0","0","0","-0.68","0","1.51"
"Apr 1, 2025 1:23:45 AM PDT","23342885141","Order","114-0841607-7557832","ELA-TZ1ZLDJSTCZL","ELAORY Bodyweight & Resistance Belt Workout Cards, 100 Different Exercise Cards with Detailed Illustrations, Large Size 5"" x 3.5"" Fitness Cards for Wo","1","amazon.com","Standard Orders","Amazon","WEST BABYLON","NY","11704","MarketplaceFacilitator","18.99","1.66","0","0","0","0","0","0","0","0","-1.66","-2.85","-5.37","0","0","10.77"
"Apr 1, 2025 1:48:40 AM PDT","23352673551","Order","114-6186875-9928206","ELA-Charging Station","ELAORY Charging Station, Cell Phone Charging Station for Multiple Devices, 6 Ports USB Multi Devices Charger Fast Charging Station for iPhone iPad Cel","1","amazon.com","Standard Orders","Amazon","Boswell","OK","74727","MarketplaceFacilitator","25.99","2.47","0","0","0","0","0","0","0","0","-2.47","-3.90","-5.52","0","0","16.57"
"Apr 1, 2025 1:57:31 AM PDT","23352673551","Order","111-7049573-6774610","ELA-Charging Station","ELAORY Charging Station, Cell Phone Charging Station for Multiple Devices, 6 Ports USB Multi Devices Charger Fast Charging Station for iPhone iPad Cel","2","amazon.com","Standard Orders","Amazon","SPRINGFIELD","MA","01151","MarketplaceFacilitator","51.98","3.24","2.99","0","0","0","0","0","-2.99","0","-3.24","-7.80","-11.04","0","0","33.14"
"Apr 1, 2025 2:24:51 AM PDT","23352673551","Order","113-3671578-3253853","ELA-Body pillow","ELAORY Long Pillow for Bed Sleeping, Memory Foam Body Pillow for Adults, Big Large Firm Full Body Pillow for Side Sleeper, 20x54 Inch, White","1","amazon.com","Standard Orders","Amazon","MENIFEE","CA","92584","MarketplaceFacilitator","19.99","1.75","0","0","0","0","0","0","0","0","-1.75","-3.00","-8.37","0","0","8.62"
