"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"02.05.2025 04:52:00 UTC","24660534742","Servicegebühr","","","Werbekosten","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-10,86","0","-10,86"
"04.05.2025 21:16:02 UTC","24660534742","Bestellung","302-2099280-8134754","08de-Coat WdHngr-Vtg6pk","Hochwertige Lotus Holzbügel - 6 Stück - extra breiter Schulter Holz Kleiderbügel mit Glatter Oberfläche, 360 Grad drehbarem Haken, Hosensteg, für","1","amazon.de","Amazon","Lohfelden","","34253","MarketplaceFacilitator","18,48","3,51","0","0","0","0","0","0","-3,51","0","-5,48","0","0","13,00"
"05.05.2025 10:43:06 UTC","24660534742","Bestellung","028-5001357-6076330","08de-Coat WdHngr-Vtg6pk","Hochwertige Lotus Holzbügel - 6 Stück - extra breiter Schulter Holz Kleiderbügel mit Glatter Oberfläche, 360 Grad drehbarem Haken, Hosensteg, für","1","amazon.de","Amazon","Chesières","Vaud","18","MarketplaceFacilitator","18,48","1,50","1,61","0,13","0","0","-1,61","-0,13","-1,50","0","-5,48","0","0","13,00"
"05.05.2025 14:54:31 UTC","24660534742","Bestellung","306-6821273-6649937","08de-Coat WdHngr-Vtg6pk","Hochwertige Lotus Holzbügel - 6 Stück - extra breiter Schulter Holz Kleiderbügel mit Glatter Oberfläche, 360 Grad drehbarem Haken, Hosensteg, für","1","amazon.de","Amazon","Senningerberg","","0692","MarketplaceFacilitator","18,48","3,14","0","0","0","0","0","0","-3,14","0","-5,48","0","0","13,00"
"05.05.2025 21:45:01 UTC","24660534742","Bestellung","302-9812654-8792336","08de-Coat WdHngr-Vtg6pk","Hochwertige Lotus Holzbügel - 6 Stück - extra breiter Schulter Holz Kleiderbügel mit Glatter Oberfläche, 360 Grad drehbarem Haken, Hosensteg, für","1","amazon.de","Amazon","Zornheim","Rheinland-Pfalz","55270","MarketplaceFacilitator","18,48","3,51","0","0","0","0","0","0","-3,51","0","-5,48","0","0","13,00"
"06.05.2025 10:36:27 UTC","24660534742","Bestellung","305-1967441-5469923","08de-Coat WdHngr-Vtg6pk","Hochwertige Lotus Holzbügel - 6 Stück - extra breiter Schulter Holz Kleiderbügel mit Glatter Oberfläche, 360 Grad drehbarem Haken, Hosensteg, für","1","amazon.de","Amazon","Berlin","","13086","MarketplaceFacilitator","18,48","3,51","0","0","0","0","0","0","-3,51","0","-5,48","0","0","13,00"
"06.05.2025 15:13:34 UTC","24660534742","Bestellung","302-9210634-6745947","08de-Coat WdHngr-Vtg6pk","Hochwertige Lotus Holzbügel - 6 Stück - extra breiter Schulter Holz Kleiderbügel mit Glatter Oberfläche, 360 Grad drehbarem Haken, Hosensteg, für","1","amazon.de","Amazon","Wien","","1140","MarketplaceFacilitator","18,48","3,70","0","0","0","0","0","0","-3,70","0","-5,48","0","0","13,00"
"06.05.2025 20:44:38 UTC","24660534742","Bestellung","306-7926452-3467547","08de-Coat WdHngr-Vtg6pk","Hochwertige Lotus Holzbügel - 6 Stück - extra breiter Schulter Holz Kleiderbügel mit Glatter Oberfläche, 360 Grad drehbarem Haken, Hosensteg, für","1","amazon.de","Amazon","Weste","","29599","MarketplaceFacilitator","18,48","3,51","0","0","0","0","0","0","-3,51","0","-5,48","0","0","13,00"
"06.05.2025 22:39:34 UTC","24660534742","Bestellung","304-7815213-4457128","08de-Coat WdHngr-Vtg6pk","Hochwertige Lotus Holzbügel - 6 Stück - extra breiter Schulter Holz Kleiderbügel mit Glatter Oberfläche, 360 Grad drehbarem Haken, Hosensteg, für","1","amazon.de","Amazon","Bremen","","28717","MarketplaceFacilitator","18,48","3,51","0","0","0","0","0","0","-3,51","0","-5,48","0","0","13,00"
"07.05.2025 01:50:19 UTC","24660534742","Versand durch Amazon Lagergebühr","","","FBA-Lagergebühr","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-243,92","-243,92"
"07.05.2025 02:24:30 UTC","24660534742","Bestellung","304-1187657-0457129","08de-Coat WdHngr-Vtg6pk","Hochwertige Lotus Holzbügel - 6 Stück - extra breiter Schulter Holz Kleiderbügel mit Glatter Oberfläche, 360 Grad drehbarem Haken, Hosensteg, für","1","amazon.de","Amazon","Essen","Nordrhein-Westfalen","45147","MarketplaceFacilitator","18,48","3,51","0","0","0","0","0","0","-3,51","0","-5,48","0","0","13,00"
"07.05.2025 03:34:08 UTC","24660534742","Bestellung","303-4247755-1059500","08de-BHanger20-Divder7-Bho","Unisex-Baby-Kleiderbügel und -Schrankteiler - Der ultimative Kinderzimmer-Organisator mit 7-facher Unterteilung in Baby-Größen (Kleidung für Neuge","1","amazon.de","Amazon","Bingen Am Rhein","","55411","MarketplaceFacilitator","14,28","2,71","0","0","0","0","0","0","-2,71","-2,55","-4,54","0","0","7,19"
"07.05.2025 18:17:34 UTC","24660534742","Bestellung","304-2603699-1009158","08de-Coat WdHngr-Vtg6pk","Hochwertige Lotus Holzbügel - 6 Stück - extra breiter Schulter Holz Kleiderbügel mit Glatter Oberfläche, 360 Grad drehbarem Haken, Hosensteg, für","1","amazon.de","Amazon","Gramatneusiedl","","2440","","18,48","0","0","0","0","0","0","0","0","0","-5,48","0","0","13,00"
"08.05.2025 19:00:59 UTC","24660534742","Bestellung","304-5679563-2782728","08de-Coat WdHngr-Vtg6pk","Hochwertige Lotus Holzbügel - 6 Stück - extra breiter Schulter Holz Kleiderbügel mit Glatter Oberfläche, 360 Grad drehbarem Haken, Hosensteg, für","1","amazon.de","Amazon","München","","80799","MarketplaceFacilitator","18,48","3,51","0","0","0","0","0","0","-3,51","0","-5,48","0","0","13,00"
"08.05.2025 21:44:35 UTC","24660534742","Bestellung","028-8691059-1988324","08de-Coat WdHngr-Vtg6pk","Hochwertige Lotus Holzbügel - 6 Stück - extra breiter Schulter Holz Kleiderbügel mit Glatter Oberfläche, 360 Grad drehbarem Haken, Hosensteg, für","2","amazon.de","Amazon","Wien","","1070","","36,96","0","2,66","0","0","0","-2,66","0","0","0","-10,96","0","0","26,00"
"09.05.2025 01:43:31 UTC","24660534742","Bestellung","306-0946495-4889104","08de-Coat WdHngr-Vtg6pk","Hochwertige Lotus Holzbügel - 6 Stück - extra breiter Schulter Holz Kleiderbügel mit Glatter Oberfläche, 360 Grad drehbarem Haken, Hosensteg, für","1","amazon.de","Amazon","Bochum","","44789","MarketplaceFacilitator","18,48","3,51","0","0","0","0","0","0","-3,51","0","-5,48","0","0","13,00"
"09.05.2025 02:49:21 UTC","24660534742","Bestellung","302-4358423-8995512","08de-Coat WdHngr-Vtg6pk","Hochwertige Lotus Holzbügel - 6 Stück - extra breiter Schulter Holz Kleiderbügel mit Glatter Oberfläche, 360 Grad drehbarem Haken, Hosensteg, für","1","amazon.de","Amazon","Hamburg","","20146","MarketplaceFacilitator","18,48","3,51","0","0","0","0","0","0","-3,51","0","-5,48","0","0","13,00"
"09.05.2025 13:38:48 UTC","24660534742","Bestellung","305-5415025-5632319","LYYFD-GM","Medokare Dusche Hocker mit gepolstertem Sitz - Dusche Sitz für Senioren mit Tasche, Dusche Bench Bad Stuhl, Handicap Dusche sitzen für Erwachsene (W","1","amazon.de","Amazon","Lohja","Tehtaankatu","08","MarketplaceFacilitator","36,13","9,21","17,01","4,34","0","0","0","0","-13,55","0","-23,19","0","0","29,95"
"09.05.2025 18:59:48 UTC","24660534742","Bestellung","303-2167438-4657121","08de-Coat WdHngr-Vtg6pk","Hochwertige Lotus Holzbügel - 6 Stück - extra breiter Schulter Holz Kleiderbügel mit Glatter Oberfläche, 360 Grad drehbarem Haken, Hosensteg, für","1","amazon.de","Amazon","Amstetten","NÖ","3332","MarketplaceFacilitator","18,48","3,70","0","0","0","0","0","0","-3,70","0","-5,48","0","0","13,00"
"09.05.2025 19:45:51 UTC","24660534742","Erstattung","302-4358423-8995512","08de-Coat WdHngr-Vtg6pk","Hochwertige Lotus Holzbügel - 6 Stück - extra breiter Schulter Holz Kleiderbügel mit Glatter Oberfläche, 360 Grad drehbarem Haken, Hosensteg, für","1","amazon.de","Amazon","Hamburg","","20146","MarketplaceFacilitator","-18,48","-3,51","0","0","0","0","0","0","3,51","0","0","0","0","-18,48"
"10.05.2025 16:05:47 UTC","24660534742","Bestellung","304-9693015-1286765","08de-Coat WdHngr-Vtg6pk","Hochwertige Lotus Holzbügel - 6 Stück - extra breiter Schulter Holz Kleiderbügel mit Glatter Oberfläche, 360 Grad drehbarem Haken, Hosensteg, für","1","amazon.de","Amazon","Wien","","1220","","18,48","0","0","0","0","0","0","0","0","0","-5,48","0","0","13,00"
"11.05.2025 21:46:51 UTC","24660534742","Bestellung","306-0835237-9764306","08de-Coat WdHngr-Vtg6pk","Hochwertige Lotus Holzbügel - 6 Stück - extra breiter Schulter Holz Kleiderbügel mit Glatter Oberfläche, 360 Grad drehbarem Haken, Hosensteg, für","1","amazon.de","Amazon","München","","81543","MarketplaceFacilitator","18,48","3,51","0","0","0","0","0","0","-3,51","0","-5,48","0","0","13,00"
"12.05.2025 01:59:22 UTC","24660534742","Bestellung","304-6213287-5442728","08de-Coat WdHngr-Vtg6pk","Hochwertige Lotus Holzbügel - 6 Stück - extra breiter Schulter Holz Kleiderbügel mit Glatter Oberfläche, 360 Grad drehbarem Haken, Hosensteg, für","1","amazon.de","Amazon","Halberstadt","","38820","MarketplaceFacilitator","18,48","3,51","0","0","0","0","0","0","-3,51","0","-5,48","0","0","13,00"
