"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"01.05.2025 01:22:49 UTC","24720981472","Übertrag","","","Für Konten mit folgenden Endziffern: 199","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-407,17","-407,17"
"01.05.2025 04:12:06 UTC","24720981472","Bestellung","302-9448535-0311531","06UK2PBWSP05","Isolierte Edelstahl-Wasserflasche (2er-Set) 500 ml, schlanke Flaschen, hält heiß und kalt, 100% auslaufsicher, schweißfeste Flaschen, ideal für Re","1","amazon.de","Amazon","Isen","","84424","MarketplaceFacilitator","11,91","2,26","0","0","0","0","0","0","-2,26","-2,13","-6,97","0","0","2,81"
"01.05.2025 18:42:05 UTC","24720981472","Bestellung","303-2094226-2013129","06UKYDLMZZJ","Nudelmaschine, manuelle Handpresse, verstellbare Dickeneinstellungen, Nudelmaschine mit waschbaren Rollen und Schneider aus Aluminiumlegierung, perfek","1","amazon.de","Amazon","Frechen","","50226","MarketplaceFacilitator","26,85","5,10","0","0","0","0","0","0","-5,10","0","-5,20","0","0","21,65"
"01.05.2025 19:26:06 UTC","24720981472","Anpassung","303-5314356-3189917","M5-YXCZ-3XDA","Versand durch Amazon Erstattung für Lagerbestand - Kundenrücksendung","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","12,39","12,39"
"01.05.2025 21:08:59 UTC","24720981472","Bestellung","028-9491348-9299503","M5-YXCZ-3XDA","Küchenutensilien-Set - 10 Teile aus Edelstahl mit Löffeln, Schneebesen, Spatel, Zange, Schöpflöffel, Zerkleinerer und Ständer, Zubehör","1","amazon.de","Amazon","Erfurt","Thuringia","99095","","16,80","3,19","0","0","0","0","0","0","0","0","-4,41","0","0","15,58"
"01.05.2025 21:18:40 UTC","24720981472","Bestellung","305-1473225-6270716","06UK06MSGTZ","GARUET Einmachgläser mit Deckel und Dichtungsbändern, 480 ml, luftdichter Behälter zum Einlegen, Einmachen, Kerzen, Heimdekoration, Haferflocken, O","1","amazon.de","Amazon","Schwarzenfeld","","92521","MarketplaceFacilitator","15,12","2,87","0","0","0","0","0","0","-2,87","0","-5,20","0","0","9,92"
"01.05.2025 23:23:51 UTC","24720981472","Bestellung","302-9723063-6148316","06UKYDLMZZJ","Nudelmaschine, manuelle Handpresse, verstellbare Dickeneinstellungen, Nudelmaschine mit waschbaren Rollen und Schneider aus Aluminiumlegierung, perfek","1","amazon.de","Amazon","Kaufbeuren","","87600","MarketplaceFacilitator","26,85","5,10","0","0","0","0","0","0","-5,10","0","-5,20","0","0","21,65"
"02.05.2025 00:01:09 UTC","24720981472","Bestellung","303-4347189-1482719","06UK5GZJBWZYG","GARUET Edelstahl-Rührschüssel-Set - leicht zu reinigen, stapelbare Schüsseln für platzsparende Lagerung, ideal zum Kochen, Backen, Zubereiten (5,","1","amazon.de","Amazon","Welgesheim","","55576","MarketplaceFacilitator","16,80","3,19","0","0","0","0","0","0","-3,19","0","-5,20","0","0","11,60"
"02.05.2025 01:45:04 UTC","24720981472","Bestellung","304-3473162-5286706","06UK5GZJBWZYG","GARUET Edelstahl-Rührschüssel-Set - leicht zu reinigen, stapelbare Schüsseln für platzsparende Lagerung, ideal zum Kochen, Backen, Zubereiten (5,","1","amazon.de","Amazon","München","","80992","MarketplaceFacilitator","16,80","3,19","0","0","0","0","0","0","-3,19","0","-5,20","0","0","11,60"
"02.05.2025 02:14:32 UTC","24720981472","Bestellung","303-4990375-8412369","06UK06MSGTZ","GARUET Einmachgläser mit Deckel und Dichtungsbändern, 480 ml, luftdichter Behälter zum Einlegen, Einmachen, Kerzen, Heimdekoration, Haferflocken, O","1","amazon.de","Amazon","Schifferstadt","","67105","MarketplaceFacilitator","15,12","2,87","0","0","0","0","0","0","-2,87","0","-5,20","0","0","9,92"
