"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"May 1, 2025 12:05:48 AM PDT","23567302861","Order","112-5883869-6535456","Wooden Hangers-0821","Wide Shoulder Wooden Hangers 6 Pack, High-Grade Smooth Finish Non Slip Coat Hanger for Closet Wood Hangers, Holds Up to 20lbs, 360° Swivel Hook, for","1","amazon.com","Standard Orders","Amazon","FREDERICKSBURG","VA","22405","MarketplaceFacilitator","19.99","1.06","0","0","0","0","0","0","0","0","-1.06","-3.00","-8.28","0","0","8.71"
"May 1, 2025 12:40:51 AM PDT","23567302861","Refund","111-6223145-8203447","5CL-14""TwinXL","for College Dorm Mattress Protector Twin XL 39""x 80"" Fitted Sheet Style up to 18 inch Depth, Menstrual Period Protection, w Stretchy Elastic Skirt Ban","1","amazon.com","Standard Orders","Amazon","SUNNY ISLES BEACH","FLORIDA","33160","MarketplaceFacilitator","-9.48","-0.66","0","0","0","0","0","0","0","0","0.66","1.14","0","0","0","-8.34"
"May 1, 2025 12:55:58 AM PDT","23567302861","Order","111-6223145-8203447","5CL-14""TwinXL","for College Dorm Mattress Protector Twin XL 39""x 80"" Fitted Sheet Style up to 18 inch Depth, Menstrual Period Protection, w Stretchy Elastic Skirt Ban","1","amazon.com","Standard Orders","Amazon","SUNNY ISLES BEACH","FLORIDA","33160","MarketplaceFacilitator","9.48","0.66","0","0","0","0","0","0","0","0","-0.66","-1.42","-5.28","0","0","2.78"
"May 1, 2025 2:43:45 AM PDT","23567302861","Order","113-8267605-4639403","5ZME-18""King","Waterproof Matress Protectors King Size Bed Fits 16""/17""/18"" Deep, 6-Side Mattress Encasement Soft and Noiseless Terry Top + TPU Waterproof Liner + Zi","1","amazon.com","Standard Orders","Amazon","BOCA RATON","FL","33431","MarketplaceFacilitator","26.95","1.89","0","0","0","0","0","0","0","0","-1.89","-4.04","-7.41","0","0","15.50"
"May 1, 2025 2:50:39 AM PDT","23567302861","Order","113-0024620-7390622","5ZME-18""Queen","Queen Mattress Protector 60""x80"" for Deep 16/17/18 inch,Waterproof Liquid Proof Urine Pee Protection, Soft Terry Cotton Top, Breathable Noiseless Matt","1","amazon.com","Standard Orders","Amazon","BOCA RATON","FL","33431","MarketplaceFacilitator","19.88","1.39","0","0","0","0","0","0","0","0","-1.39","-2.98","-7.56","0","0","9.34"
"May 1, 2025 2:54:06 AM PDT","23567302861","Order","111-2479129-9920200","Car Trunk Organizer-G0816","Ptsuker Car Trunk Organizer - Collapsible, Multi-Compartment Automotive SUV Car Organizer for Storage w/Adjustable Straps - Truck & Car Accessories fo","1","amazon.com","Standard Orders","Amazon","MILWAUKEE","WI","53219","MarketplaceFacilitator","11.99","0.95","0","0","0","0","0","0","0","0","-0.95","-1.44","-6.93","0","0","3.62"
"May 1, 2025 5:32:46 AM PDT","23567302861","Order","111-5286528-9681837","5ZME-12""King","Standard King Mattress Cover Fits 10/11/12 Inch Depth, Absorbent Waterproof Soft Terry Top Zippered Mattress Pad Protector 6-Sides Encased 76""x80""","1","amazon.com","Standard Orders","Amazon","ELMHURST","NY","11373","MarketplaceFacilitator","23.99","2.13","0","0","0","0","0","0","0","0","-2.13","-3.60","-7.41","0","0","12.98"
"May 1, 2025 6:08:18 AM PDT","23567302861","Order","113-2002707-3929052","5ZME-12""TwinXL","Twin XL Zippered Mattress Protector 39""x 80"" for 10/11/12 inch, Mattress Covers Water Proof Urine Pee Protection","1","amazon.com","Standard Orders","Amazon","EASTVIEW","KY","42732","MarketplaceFacilitator","14.97","0.90","0","0","0","0","0","0","0","0","-0.90","-2.25","-6.48","0","0","6.24"
"May 1, 2025 6:37:47 AM PDT","23567302861","FBA Inventory Fee","xp4u1gy636","","FBA Removal Order: Disposal Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-5.01","-5.01"
"May 1, 2025 7:13:23 AM PDT","23567302861","Order","113-9817313-1946653","Wooden Hangers-0821","Wide Shoulder Wooden Hangers 6 Pack, High-Grade Smooth Finish Non Slip Coat Hanger for Closet Wood Hangers, Holds Up to 20lbs, 360° Swivel Hook, for","1","amazon.com","Standard Orders","Amazon","BROOKVILLE","OH","45309","MarketplaceFacilitator","19.99","1.50","0","0","0","0","0","0","0","0","-1.50","-3.00","-8.28","0","0","8.71"
