"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"31.05.2025 22:45:56 UTC","24916174592","Bestellung","305-4619708-1289156","03DEWWJMJJWJTZ01","8-teiliges Cocktail-Set - Edelstahl-Shaker, Messbecher, Sieb, Rührlöffel, Zange, Flaschenöffner, Holzständer & Rezeptkarten Partys und Feiertage (","1","amazon.de","Amazon","Marktheidenfeld","","97828","MarketplaceFacilitator","15,12","2,87","3,35","0,64","0","0","0","0","-3,51","-2,70","-7,02","0","0","8,75"
"31.05.2025 22:46:17 UTC","24916174592","Bestellung","305-5421396-7718713","08-T0IJ-AXLV","Whiskey Steine Geschenkset für Männer - 2 x 10 oz Whiskey Gläser, 8 Granit Whiskey Steine, 2 Untersetzer, Metallzange & Cocktailkarten im Holzkaste","1","amazon.de","Amazon","Herne","","44653","MarketplaceFacilitator","15,12","2,87","0","0","0","0","0","0","-2,87","-2,70","-5,20","0","0","7,22"
"31.05.2025 22:54:08 UTC","24916174592","Bestellung","302-6817966-4230743","03de-H-Towel","MOVASEE Mikrofaser Handtuch 3pc Set,Schnelltrocknend Kompakt Leichtes Microfaser Handtücher mit Organizer,Sporthandtuch,Reisehandtuch,Strandhandtuch","1","amazon.de","Amazon","Leipzig","Sachsen","04179","MarketplaceFacilitator","7,55","1,44","0","0","0","0","0","0","-1,44","-1,17","-3,25","0","0","3,13"
"31.05.2025 22:55:56 UTC","24916174592","Bestellung","304-8250216-9215500","03de-H-Towel","MOVASEE Mikrofaser Handtuch 3pc Set,Schnelltrocknend Kompakt Leichtes Microfaser Handtücher mit Organizer,Sporthandtuch,Reisehandtuch,Strandhandtuch","2","amazon.de","Amazon","Düsseldorf","","40489","MarketplaceFacilitator","15,10","2,88","0","0","0","0","0","0","-2,88","-2,34","-6,50","0","0","6,26"
"31.05.2025 23:10:11 UTC","24916174592","Bestellung","306-0305578-0251577","03DEWWJPJB","MOVASEE Edelstahl Becher mit Deckel - 500ml, Doppelwandige Isolierung, hält Getränke warm oder kalt, spülmaschinenfest, für Kaffee, Bier, und mehr","1","amazon.de","Amazon","Haag an der Amper","","85410","MarketplaceFacilitator","9,24","1,75","0,84","0,16","0","0","-0,84","-0,16","-1,75","-1,65","-3,25","0","0","4,34"
"31.05.2025 23:19:50 UTC","24916174592","Bestellung","302-3534331-7182759","03de-H-Towel","MOVASEE Mikrofaser Handtuch 3pc Set,Schnelltrocknend Kompakt Leichtes Microfaser Handtücher mit Organizer,Sporthandtuch,Reisehandtuch,Strandhandtuch","1","amazon.de","Amazon","Saalstadt","","66919","MarketplaceFacilitator","7,55","1,44","0","0","0","0","0","0","-1,44","-1,17","-3,25","0","0","3,13"
"31.05.2025 23:37:23 UTC","24916174592","Bestellung","303-9143001-5841167","Y3-2E63-PUBT","MOVASEE Kaffeedose Luftdicht mit Datumsanzeige u. CO2-Ventil - Vakuumbehälter für Kaffeepulver, Kaffeebohnen - Edelstahl Kaffeebohnen Behälter - De","1","amazon.de","Amazon","Freising","Bayern","85354","MarketplaceFacilitator","13,44","2,55","0","0","0","0","0","0","-2,55","-2,40","-4,41","0","0","6,63"
"31.05.2025 23:56:00 UTC","24916174592","Bestellung","304-4903998-6874724","03de-H-Towel","MOVASEE Mikrofaser Handtuch 3pc Set,Schnelltrocknend Kompakt Leichtes Microfaser Handtücher mit Organizer,Sporthandtuch,Reisehandtuch,Strandhandtuch","1","amazon.de","Amazon","Hille","Nordrhein-Westfalen","32479","MarketplaceFacilitator","7,55","1,44","0","0","0","0","0","0","-1,44","-1,17","-3,25","0","0","3,13"
"01.06.2025 19:59:55 UTC","24916174592","Bestellung","028-3066386-4885156","4Q-54MD-Y6CV","Natürlicher Mörser aus unpoliertem Granit mit Stößel - 15 cm, 3.5 kg schwer, einzigartiges Muster, einfach zu reinigen - Ideal als Geschenk und f�","1","amazon.de","Amazon","Großenkneten","Oldenburg","26197","","16,80","3,19","0","0","0","0","0","0","0","-3,00","-5,67","0","0","11,32"
"02.06.2025 00:43:45 UTC","24916174592","Anpassung","","03DE-F-Guitar Stand","Versand durch Amazon Erstattung für Lagerbestand - Im Lager beschädigt","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","6,34","6,34"
