"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"30.06.2025 22:03:02 UTC","25110106052","Bestellung","304-5066249-8153904","M5-YXCZ-3XDA","Küchenutensilien-Set - 10 Teile aus Edelstahl mit Löffeln, Schneebesen, Spatel, Zange, Schöpflöffel, Zerkleinerer und Ständer, Zubehör","1","amazon.de","Amazon","Berlin","","13403","MarketplaceFacilitator","16,80","3,19","0","0","0","0","0","0","-3,19","-3,00","-4,41","0","0","9,39"
"30.06.2025 22:11:16 UTC","25110106052","Bestellung","302-3806871-0545156","E4-XZUZ-2RY5","Barkeeper-Kit: 23-teiliges Bar-Set Cocktail-Shaker-Set mit stilvollem Bambusständer | Perfekt für Home Bar Tools Barkeeper Tool Kit und Martini Cock","1","amazon.de","Amazon","Börtlingen","","73104","MarketplaceFacilitator","23,52","4,47","0","0","0","0","0","0","-4,47","-4,20","-5,20","0","0","14,12"
"30.06.2025 22:25:45 UTC","25110106052","Bestellung","303-8185629-5857147","E4-XZUZ-2RY5","Barkeeper-Kit: 23-teiliges Bar-Set Cocktail-Shaker-Set mit stilvollem Bambusständer | Perfekt für Home Bar Tools Barkeeper Tool Kit und Martini Cock","1","amazon.de","Amazon","Riegelsberg","","66292","MarketplaceFacilitator","23,52","4,47","1,67","0,32","0","0","0","0","-4,79","-4,20","-6,87","0","0","14,12"
"30.06.2025 22:26:21 UTC","25110106052","Bestellung","302-6714592-8087566","E4-XZUZ-2RY5","Barkeeper-Kit: 23-teiliges Bar-Set Cocktail-Shaker-Set mit stilvollem Bambusständer | Perfekt für Home Bar Tools Barkeeper Tool Kit und Martini Cock","1","amazon.de","Amazon","Lieser","","54470","MarketplaceFacilitator","23,52","4,47","0","0","0","0","0","0","-4,47","-4,20","-5,20","0","0","14,12"
"30.06.2025 22:52:38 UTC","25110106052","Bestellung","028-6508681-2669100","E4-XZUZ-2RY5","Barkeeper-Kit: 23-teiliges Bar-Set Cocktail-Shaker-Set mit stilvollem Bambusständer | Perfekt für Home Bar Tools Barkeeper Tool Kit und Martini Cock","1","amazon.de","Amazon","Auerbach I.d.opf.","","91275","MarketplaceFacilitator","23,52","4,47","0","0","0","0","0","0","-4,47","-4,20","-5,20","0","0","14,12"
"30.06.2025 22:53:43 UTC","25110106052","Bestellung","303-8973405-1742752","RD-HK4Y-7AV3","Cocktail-Shaker-Set, 700 ml Martini- und Getränkemixer mit eingebautem Sieb, Messbecher, Barkeeper-Set, Edelstahl-Martini-Shaker","1","amazon.de","Amazon","Xanten","","46509","MarketplaceFacilitator","9,20","1,75","0","0","0","0","0","0","-1,75","-1,64","-3,67","0","0","3,89"
"30.06.2025 22:55:37 UTC","25110106052","Bestellung","028-0118886-9904332","E4-XZUZ-2RY5","Barkeeper-Kit: 23-teiliges Bar-Set Cocktail-Shaker-Set mit stilvollem Bambusständer | Perfekt für Home Bar Tools Barkeeper Tool Kit und Martini Cock","1","amazon.de","Amazon","Oppenau","Baden Württemberg","77728","MarketplaceFacilitator","23,52","4,47","0","0","0","0","0","0","-4,47","-4,20","-5,20","0","0","14,12"
"30.06.2025 23:02:52 UTC","25110106052","Bestellung","028-6765832-9831514","E4-XZUZ-2RY5","Barkeeper-Kit: 23-teiliges Bar-Set Cocktail-Shaker-Set mit stilvollem Bambusständer | Perfekt für Home Bar Tools Barkeeper Tool Kit und Martini Cock","1","amazon.de","Amazon","Chemnitz","Sachsen","09122","MarketplaceFacilitator","23,52","4,47","0","0","0","0","0","0","-4,47","-4,20","-5,20","0","0","14,12"
"30.06.2025 23:05:54 UTC","25110106052","Bestellung","302-6667847-3078732","RD-HK4Y-7AV3","Cocktail-Shaker-Set, 700 ml Martini- und Getränkemixer mit eingebautem Sieb, Messbecher, Barkeeper-Set, Edelstahl-Martini-Shaker","1","amazon.de","Amazon","Mannheim","","68167","MarketplaceFacilitator","9,20","1,75","1,39","0,27","0","0","-1,39","-0,27","-1,75","-1,64","-3,67","0","0","3,89"
"30.06.2025 23:05:56 UTC","25110106052","Bestellung","305-9349509-2829152","E4-XZUZ-2RY5","Barkeeper-Kit: 23-teiliges Bar-Set Cocktail-Shaker-Set mit stilvollem Bambusständer | Perfekt für Home Bar Tools Barkeeper Tool Kit und Martini Cock","1","amazon.de","Amazon","Delitzsch","","04509","MarketplaceFacilitator","23,52","4,47","0","0","0","0","0","0","-4,47","-4,20","-5,20","0","0","14,12"
"30.06.2025 23:27:19 UTC","25110106052","Bestellung","305-0124999-9208303","E4-XZUZ-2RY5","Barkeeper-Kit: 23-teiliges Bar-Set Cocktail-Shaker-Set mit stilvollem Bambusständer | Perfekt für Home Bar Tools Barkeeper Tool Kit und Martini Cock","1","amazon.de","Amazon","Wetschen","","49453","MarketplaceFacilitator","23,52","4,47","0","0","0","0","0","0","-4,47","-4,20","-5,20","0","0","14,12"
"30.06.2025 23:31:22 UTC","25110106052","Bestellung","305-0146917-0358716","RD-HK4Y-7AV3","Cocktail-Shaker-Set, 700 ml Martini- und Getränkemixer mit eingebautem Sieb, Messbecher, Barkeeper-Set, Edelstahl-Martini-Shaker","1","amazon.de","Amazon","Steinerkirchen","Oberösterreich","4652","MarketplaceFacilitator","9,20","1,84","0","0","0","0","0","0","-1,84","-1,64","-3,67","0","0","3,89"
