"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions",,,,,,,,,,,,,,,,,,,,,,,,,,
"All amounts in GBP, unless specified",,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions:,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap.",,,,,,,,,,,,,,,,,,,,,,,,,,
Selling fees: Includes variable closing fees and referral fees.,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks.",,,,,,,,,,,,,,,,,,,,,,,,,,
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID.",,,,,,,,,,,,,,,,,,,,,,,,,,
date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfilment,order city,order state,order postal,tax collection model,product sales,product sales tax,postage credits,shipping credits tax,gift wrap credits,giftwrap credits tax,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
1 Dec 2025 00:14:39 UTC,26049648692,Order,026-3065855-5117933,08uk-Coat WdHngr-Vtg6pk,"Wide Shoulder Wooden Hangers Pack with Non Slip Pants Bar Smooth Finish Solid Wood Suit Hanger Coat Hanger (Vintage, Wide Shoulder Wooden Hangers-6 Pa",1,amazon.co.uk,Amazon,BIRMINGHAM,W Midlands,B14 7,MarketplaceFacilitator,13.45,2.69,0,0,0,0,0,0,-2.69,-2.42,-5.15,-0.15,0,5.73
1 Dec 2025 02:20:49 UTC,26049648692,Service Fee,,,Subscription,,Amazon.co.uk,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-7.29,-7.29
1 Dec 2025 13:29:32 UTC,26071915552,Order,204-3496228-2656301,UK08-Shoe Horn-01,"Velette Long Handled Shoe Horn - Set of 2, Long Shoe Horns for Boots - Metal Shoe Horn for Men, Women, the Elderly and Disabled - Silver",1,amazon.co.uk,Amazon,BISHOP AUCKLAND,durham,DL14 9,MarketplaceFacilitator,6.36,1.27,0,0,0,0,0,0,-1.27,-1.14,-3.53,-0.09,0,1.6
1 Dec 2025 14:44:56 UTC,26071915552,Order,026-7079946-6509140,UK08-WdCoatRacks-Gry3,"High-Grade Wooden Tree Coat Rack Stand, 6 Hooks - Super Easy Assembly NO Tools Required - 3 Adjustable Sizes Free Standing Coat Stand, Hallway Coat Ha",1,amazon.co.uk,Amazon,Oxford,,OX4 4,MarketplaceFacilitator,14.98,3,4.16,0.83,0,0,0,0,-3.83,-2.7,-9.03,-0.23,0,7.18
1 Dec 2025 15:10:51 UTC,26071915552,Order,202-8095161-5533900,UK08-Shoe Horn-01,"Velette Long Handled Shoe Horn - Set of 2, Long Shoe Horns for Boots - Metal Shoe Horn for Men, Women, the Elderly and Disabled - Silver",1,amazon.co.uk,Amazon,WORTHING,,BN11 5,MarketplaceFacilitator,6.36,1.27,0,0,0,0,0,0,-1.27,-1.14,-3.53,-0.09,0,1.6
1 Dec 2025 15:36:21 UTC,26071915552,Order,205-0745349-9196334,UK08-Coat WdHngr-Vtg6pk3,High-Grade Wooden Hangers - Set Of 6 - Heavy-Duty Wooden Coat Hangers with Wide Shoulders - Clothes Hangers with 6.3cm Shoulder Flares for Suits and G,1,amazon.co.uk,Amazon,POOLE,,BH14 8,MarketplaceFacilitator,13.29,2.66,0,0,0,0,0,0,-2.66,-2.39,-4.15,-0.13,0,6.62
1 Dec 2025 15:41:03 UTC,26071915552,Order,204-8086071-1131552,UK08-4MSktHngr-6pk3,"Premium 4-Tier Trouser Hangers with Clips (6 Pack) Strong & Durable Chrome Metal Skirt Hangers - Space Saving, Multi Layer Hanger for Trousers with No",1,amazon.co.uk,Amazon,Coldstream,Berwickshire,TD12 4,MarketplaceFacilitator,12.02,2.41,0,0,0,0,0,0,-2.41,-2.16,-4.76,-0.14,0,4.96
1 Dec 2025 16:00:41 UTC,26071915552,Order,204-6964396-5215551,UK08-TVHanger-Blk20pk3,"ZOBER Premium Velvet Hangers with Tie Bar 20-Pack, Slim Space Saving Coat Hanger, Non Slip Wardrobe Hangers, Clothes Hangers 360¡ã Swivel Hook, Suit,",1,amazon.co.uk,Amazon,BRISTOL,,BS7 9,MarketplaceFacilitator,13.32,2.66,0,0,0,0,0,0,-2.66,-2.4,-4.76,-0.15,0,6.01
1 Dec 2025 16:03:25 UTC,26071915552,Adjustment,,UK08-KWdHg-Pink10pk3,FBA Inventory Reimbursement - Lost:Warehouse,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,3
1 Dec 2025 16:37:10 UTC,26071915552,Order,205-9366626-8985948,08uk-PrWrpOrg-40Red,"Holiday D¨¦cor Storage, 600D Oxford Black Wrapping Paper Storage Bag with Red Trim, 18-20 Roll Capacity with 2 Clear Pockets for Holiday D¨¦cor Storag",1,amazon.co.uk,Amazon,DERBY,,DE21 7,MarketplaceFacilitator,13.32,2.67,0,0,0,0,0,0,-2.67,-2.4,-4.72,-0.14,0,6.06
1 Dec 2025 16:37:12 UTC,26071915552,Order,204-7584944-7484349,UK08-UndbdStrgBg-Gry2pk2,"Premium Underbed Storage Bag (2-Pack) Clothes Storage Boxes with Zips, Storage Bags for bedding, King Size Duvet, Linen, Pillow, Shoe - Non-Woven Unde",1,amazon.co.uk,Amazon,Solihull,West Midlands,B90 2,MarketplaceFacilitator,9.16,1.83,0,0,0,0,0,0,-1.83,-1.65,-3.06,-0.09,0,4.36
1 Dec 2025 16:41:32 UTC,26071915552,Order,204-0800503-7954758,08uk-Orn64-Red,Verahaus 64 Christmas Bauble Storage Box with Adjustable Dividers and Zippered Closure - Tear-Resistant Non-Woven Fabric with Transparent Card Slot -,1,amazon.co.uk,Amazon,CARLTON,,DN14 9,MarketplaceFacilitator,7.07,1.41,0,0,0,0,0,0,-1.41,-1.27,-3.9,-0.11,0,1.79
1 Dec 2025 17:22:02 UTC,26071915552,Order,203-7353667-4406735,UK08-TVHanger-Blk20pk3,"ZOBER Premium Velvet Hangers with Tie Bar 20-Pack, Slim Space Saving Coat Hanger, Non Slip Wardrobe Hangers, Clothes Hangers 360¡ã Swivel Hook, Suit,",1,amazon.co.uk,Amazon,WATERLOOVILLE,,PO7 6,MarketplaceFacilitator,13.32,2.66,0,0,0,0,0,0,-2.66,-2.4,-4.76,-0.15,0,6.01
