"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Jul 1, 2025 12:17:39 AM PDT","24029990701","Order","113-9296452-1750654","08us-Coat WdHngr-Vtg6pk","Premium Wooden Hangers 6-Pack - Wide Shoulder Non-Slip Design for Coats, Jackets & Suits | 360° Rotating Closet Organizers | Durable & Space-Saving (","1","amazon.com","Standard Orders","Amazon","MAX MEADOWS","VA","24360","MarketplaceFacilitator","20.99","1.11","5.76","0","0","0","0","0","-5.76","0","-1.11","-3.15","-7.97","0","0","9.87"
"Jul 1, 2025 1:21:48 AM PDT","24029990701","Order","113-9140938-2053846","08us-Coat WdHngr-Vtg6pk","Premium Wooden Hangers 6-Pack - Wide Shoulder Non-Slip Design for Coats, Jackets & Suits | 360° Rotating Closet Organizers | Durable & Space-Saving (","1","amazon.com","Standard Orders","Amazon","PHOENIX","AZ","85042","MarketplaceFacilitator","20.99","1.81","3.02","0.26","0","0","0","0","0","0","-2.07","-3.15","-10.99","0","0","9.87"
"Jul 1, 2025 1:31:10 AM PDT","24029990701","Order","112-6970078-4049048","blue--swing","700lb Giant 60"" Skycurve Platform Tree Swing for Kids and Adults with 2 Hanging Straps-Blue","1","amazon.com","Standard Orders","Amazon","GURLEY","AL","35748","MarketplaceFacilitator","69.99","5.60","0","0","0","0","0","0","0","0","-5.60","-10.50","-15.31","0","0","44.18"
"Jul 1, 2025 1:35:05 AM PDT","24029990701","Order","114-3817311-2594624","08us-Coat WdHngr-Vtg6pk","Premium Wooden Hangers 6-Pack - Wide Shoulder Non-Slip Design for Coats, Jackets & Suits | 360° Rotating Closet Organizers | Durable & Space-Saving (","1","amazon.com","Standard Orders","Amazon","EULESS","TX","76040","MarketplaceFacilitator","21.99","1.81","0","0","0","0","0","0","0","0","-1.81","-3.30","-7.97","0","0","10.72"
"Jul 1, 2025 2:52:07 AM PDT","24029990701","Order","112-1968020-8979406","08us-Coat WdHngr-Vtg6pk","Premium Wooden Hangers 6-Pack - Wide Shoulder Non-Slip Design for Coats, Jackets & Suits | 360° Rotating Closet Organizers | Durable & Space-Saving (","1","amazon.com","Standard Orders","Amazon","TUSTIN","CA","92780","MarketplaceFacilitator","21.99","1.70","0","0","0","0","0","0","0","0","-1.70","-3.30","-7.97","0","0","10.72"
"Jul 1, 2025 3:03:06 AM PDT","24029990701","Order","112-0263336-2864256","08us-Coat WdHngr-Vtg6pk","Premium Wooden Hangers 6-Pack - Wide Shoulder Non-Slip Design for Coats, Jackets & Suits | 360° Rotating Closet Organizers | Durable & Space-Saving (","1","amazon.com","Standard Orders","Amazon","LONG BEACH","CA","90805","MarketplaceFacilitator","20.99","2.20","6.99","0","0","0","0","0","-6.99","0","-2.20","-3.15","-7.97","0","0","9.87"
"Jul 1, 2025 3:50:28 AM PDT","24029990701","Order","111-8539841-0922635","08us-Coat WdHngr-Vtg6pk","Premium Wooden Hangers 6-Pack - Wide Shoulder Non-Slip Design for Coats, Jackets & Suits | 360° Rotating Closet Organizers | Durable & Space-Saving (","1","amazon.com","Standard Orders","Amazon","CALABASAS","CA","91302","MarketplaceFacilitator","21.99","2.14","0","0","0","0","0","0","0","0","-2.14","-3.30","-7.97","0","0","10.72"
"Jul 1, 2025 5:05:50 AM PDT","24029990701","Order","112-0050318-7903404","08us-Coat WdHngr-Vtg6pk","Premium Wooden Hangers 6-Pack - Wide Shoulder Non-Slip Design for Coats, Jackets & Suits | 360° Rotating Closet Organizers | Durable & Space-Saving (","1","amazon.com","Standard Orders","Amazon","KAPAAU","HI","96755","MarketplaceFacilitator","21.99","1.04","0","0","0","0","0","0","0","0","-1.04","-3.30","-7.97","0","0","10.72"
"Jul 1, 2025 6:53:06 AM PDT","24029990701","Order","111-6947184-7756236","08us-Coat WdHngr-Vtg6pk","Premium Wooden Hangers 6-Pack - Wide Shoulder Non-Slip Design for Coats, Jackets & Suits | 360° Rotating Closet Organizers | Durable & Space-Saving (","1","amazon.com","Standard Orders","Amazon","ASTORIA","NY","11103","MarketplaceFacilitator","21.99","1.95","0","0","0","0","0","0","0","0","-1.95","-3.30","-7.97","0","0","10.72"
"Jul 1, 2025 7:28:02 AM PDT","24029990701","Order","113-7973457-9637028","08US-JutRop-656ft2pk","Natural Jute Rope 328ft (2-Pack) - 3-Ply Thick Twine for Cat Scratching Posts, Gardening & DIY Crafts | Durable & Eco-Friendly | Gift Wrapping & Home","1","amazon.com","Standard Orders","Amazon","CASTRO VALLEY","CA","94546","MarketplaceFacilitator","5.99","0.64","0","0","0","0","0","0","0","0","-0.64","-0.90","-3.38","0","0","1.71"
