"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"31.10.2025 23:44:35 UTC","25874787052","Bestellung","304-9712965-7341962","02DE-F-Microfibre Towel-Grau","ELAORY Mikrofaser Handtuch 3er Set - Schnelltrocknend, Ultra-Saugfähig & Kompakt - Microfaser Handtücher für Fitness, Reisen, Strand, Sauna, Campin","1","amazon.de","Amazon","Immenhausen","","34376","MarketplaceFacilitator","4,19","0,80","0","0","0","0","0","0","-0,80","-0,75","-3,25","0","0","0,19"
"31.10.2025 23:57:30 UTC","25874787052","Bestellung","305-9901922-8233968","02DE-F-Beard Straightener","Glättbürste, Bartglätter für Männer Mit Verbrühschutzfunktion, 30s Schneller Keramikerwärmung,3 Wärmestufen, 150°C-210°C, Doppelter Kamm und","1","amazon.de","Amazon","Thannhausen","","86470","MarketplaceFacilitator","15,12","2,87","0","0","0","0","0","0","-2,87","-2,70","-3,42","0","0","9,00"
"01.11.2025 05:40:44 UTC","25874787052","Liquidationen","47012896729552","X002B9BDOD","Hand-Eiszerkleinerer aus Edelstahl – Eiscrusher mit rutschfester Basis & scharfen Klingen – Ideal für Cocktails, Margaritas, Slushies – Inkl. Eisbehälter & Löffel (rostfrei, verchromt)","1","","","","","","","2,21","0","0","0","0","0","0","0","0","0","0","-1,50","0","0,71"
"01.11.2025 10:24:51 UTC","25874787052","Bestellung","303-5852518-5673940","02DE-F-Doorbell-CX-matte black","Funkklingel, Kabellose Türklingel 300m Reichweite, Wasserdicht Haustür Klingel kit mit 2 Plug-In-Empfänger und 1 Sender, 52 Melodien doorbell Mit L","1","amazon.de","Amazon","Emsdetten","","48282","MarketplaceFacilitator","14,28","2,71","0","0","0","0","0","0","-2,71","-2,21","-3,56","0","0","8,51"
"01.11.2025 12:09:16 UTC","25874787052","Bestellung","028-8837791-3540360","02DE-GM-B7-2MLF-KUC3","Ringwurfspiele - Ferienspaß für drinnen oder Hofspiel für draußen für Erwachsene und Familie - einfach einzurichten und kompakt zu transportieren","1","amazon.de","Amazon","Freiburg im Breisgau","","79108","MarketplaceFacilitator","15,96","3,03","0","0","0","0","0","0","-3,03","-2,85","-4,75","0","0","8,36"
"01.11.2025 12:26:12 UTC","25874787052","Erstattung","305-5635954-6836339","02DE-F-Car Vacuum Cleaner Black 2","ELAORY Handstaubsauger für Auto mit HEPA & waschbarem Filter, 4,9m Kabel, 106W - Tragbarer 12V Staubsauger mit Zubehör für Innenreinigung, Asche un","1","amazon.de","Amazon","Dresden","","01139","MarketplaceFacilitator","-15,96","-3,03","0","0","0","0","0","0","3,03","2,28","0","0","0","-13,68"
"01.11.2025 14:37:53 UTC","25874787052","Versand durch Amazon Lagergebühr","HzwYnRNUKj","","Versand durch Amazon Gebühr für Entsorgung","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2,38","-2,38"
"01.11.2025 18:16:08 UTC","25874787052","Erstattung","028-7765991-5189969","02DE-F-Microphone XLR 25ft 6PK","ELAORY XLR Kabel Mikrofonkabel Patchkabel 7.5m 6Pack - XLR Stecker auf Buchse Mikrofonkabel - Symmetrisches Mikrofonschlangenkabel","1","amazon.de","Amazon","Merchweiler","","66589","MarketplaceFacilitator","-27,72","-5,27","0","0","0","0","0","0","5,27","3,96","0","0","0","-23,76"
"01.11.2025 18:17:08 UTC","25874787052","Bestellung","028-7370667-4725917","02DE-F-Microfibre Towel-Grau","ELAORY Mikrofaser Handtuch 3er Set - Schnelltrocknend, Ultra-Saugfähig & Kompakt - Microfaser Handtücher für Fitness, Reisen, Strand, Sauna, Campin","1","amazon.de","Amazon","Großenkneten","Oldenburg","26197","","4,19","0,80","0","0","0","0","0","0","0","-0,75","-3,25","0","0","0,99"
"01.11.2025 19:15:36 UTC","25874787052","Bestellung","304-7014744-1489159","02DE-F-Car Trunk Organizer-Black","ELAORY Kofferraum Organizer - Zusammenklappbar, Automotive Kofferraumtasche die Lagerung mit Verstellbaren Riemen -Auto Zubehör Innenraum - Schwarz","1","amazon.de","Amazon","Duisburg","","47228","MarketplaceFacilitator","12,60","2,39","0","0","0","0","0","0","-2,39","-2,25","-5,05","0","0","5,30"
