"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"1 Nov 2025 00:05:25 UTC","25898035312","Order","206-5273303-8560320","02UK-GM-YHG-HOK-OrnSrtgBx-3128Rdot1","Large Christmas Bauble Storage Box with 2 Sided Dual Zipper Closure - Keeps 128 Xmas Baubles, Christmas Decorations Accessories & Ornaments, Sturdy Pl","1","amazon.co.uk","Amazon","LONDON","","SW4 7","MarketplaceFacilitator","18.32","3.67","1.25","0.25","0","0","-1.25","-0.25","-3.67","-3.30","-4.76","-0.17","0","10.09"
"1 Nov 2025 02:55:14 UTC","25898035312","Order","206-0722507-1719502","02UK-GM-YHG-KND-10STLUTNSLST","FineDine Kitchen Utensils Set - 10-Piece, Stainless-Steel Cooking Utensils w/Spoons, Whisk, Spatula, Tongs, Ladle, Masher & Cooking Utensils Holder -","1","amazon.co.uk","Amazon","Kirkby","Merseyside","L32 0","","13.32","2.66","0","0","0","0","0","0","0","-2.40","-3.36","0","0","10.22"
"1 Nov 2025 08:40:34 UTC","25898035312","Order","202-1454798-7649930","02UK-GM-MCC-HOK-PiCnd-3X6Chr3pk#","Set of 3 Charcoal Pillar Candles 7,5 x 15 cmBlack Dark Grey Gray Unscented Dripless for Weddings Home Decoration Relaxation Spa Church","1","amazon.co.uk","Seller","CARRICKFERGUS","Co Antrim","BT38 8","MarketplaceFacilitator","11.66","2.33","0","0","0","0","0","0","-2.33","-2.10","0","-0.04","0","9.52"
"1 Nov 2025 16:33:24 UTC","25898035312","Order","206-3808585-8614734","02UK-GM-OTC-KND-SSDis1-500ml#","Otis Classic Whipped Cream Dispenser - Stainless Steel Whipper w/Chargers for Desserts - Professional Culinary 500ml Canisters w/ 3 Whip Decorating No","1","amazon.co.uk","Seller","HAYWARDS HEATH","E Sussex","RH17 7","MarketplaceFacilitator","24.99","5.00","0","0","0","0","0","0","-5.00","-4.50","0","-0.09","0","20.40"
"1 Nov 2025 17:53:46 UTC","25898035312","Order","203-6439416-6541932","02UK-GM-YHG-KND-GlsBvgDspr-1","Glass Drink Dispenser with Stainless Steel Tap 3.7L - 100% Leak Proof Beverage Dispenser with Ice Core, Easy Filling Wide Mouth - Glass Jug Cocktail A","1","amazon.co.uk","Amazon","GLASGOW","","G4 0","MarketplaceFacilitator","14.16","2.83","0","0","0","0","0","0","-2.83","-2.55","-4.72","-0.14","0","6.75"
"1 Nov 2025 19:39:53 UTC","25898035312","Order","206-1179430-4372309","02UK-GM-YHG-KND-GlsBvgDspr-1","Glass Drink Dispenser with Stainless Steel Tap 3.7L - 100% Leak Proof Beverage Dispenser with Ice Core, Easy Filling Wide Mouth - Glass Jug Cocktail A","3","amazon.co.uk","Amazon","OXFORD","","OX4 1","","42.48","8.49","0","0","0","0","0","0","0","-7.65","-14.16","0","0","29.16"
"1 Nov 2025 20:02:56 UTC","25898035312","Order","206-8944355-2849136","02UK-GM-YHG-HOK-OrnSrtgBx-3128Rdot1","Large Christmas Bauble Storage Box with 2 Sided Dual Zipper Closure - Keeps 128 Xmas Baubles, Christmas Decorations Accessories & Ornaments, Sturdy Pl","1","amazon.co.uk","Amazon","Aberystwyth","Ceredigion","SY23 3","MarketplaceFacilitator","19.16","3.83","0","0","0","0","0","0","-3.83","-3.45","-4.76","-0.17","0","10.78"
"1 Nov 2025 20:34:12 UTC","25898035312","Order","206-5175887-8823551","02UK-GM-HAD-HAK-SpgHld-Wht","Home Acre Designs Sponge Holder for Kitchen Sink - Rustic Farmhouse Home & Kitchen Decor - White Ceramic","1","amazon.co.uk","Amazon","SUNDERLAND","","SR6 7","MarketplaceFacilitator","8.32","1.67","0","0","0","0","0","0","-1.67","-1.50","-2.70","-0.08","0","4.04"
"1 Nov 2025 20:35:25 UTC","25898035312","Order","203-0659514-8497139","02UK-GM-YHG-KND-GlsBvgDspr-1","Glass Drink Dispenser with Stainless Steel Tap 3.7L - 100% Leak Proof Beverage Dispenser with Ice Core, Easy Filling Wide Mouth - Glass Jug Cocktail A","1","amazon.co.uk","Amazon","BUSHEY","","WD23 3","MarketplaceFacilitator","14.16","2.83","0","0","0","0","0","0","-2.83","-2.55","-4.72","-0.14","0","6.75"
"1 Nov 2025 21:13:13 UTC","25898035312","Order","202-6228134-3706769","02UK-GM-CCF-KND-PzaPel-Xl","Checkered Chef Pizza Paddle - Extra Large Stainless Steel Peel w/Folding Handle - 13 Inch x 15 Inch","1","amazon.co.uk","Amazon","STOWMARKET","","IP14 4","MarketplaceFacilitator","13.78","2.76","0","0","0","0","0","0","-2.76","-2.48","-3.36","-0.12","0","7.82"
