"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"31.10.2025 23:06:28 UTC","25827802432","Erstattung","304-5641898-8597907","03DE-SP-BANDS","Lauf-Stirnbänder für Männer, Frauen, Jungen und Mädchen, Sport-Schweißbänder für Basketball, Yoga, Training, Workout, schnelltrocknend und ruts","1","amazon.de","Amazon","Ensdorf","Bayern","92266","MarketplaceFacilitator","-4,19","-0,80","0","0","0","0","0","0","0,80","0,32","0","0","0","-3,87"
"31.10.2025 23:16:55 UTC","25827802432","Bestellung","028-3323467-5045118","68-QPRB-QA3D","MOVASEE Rückenlehnenschutz Auto Kinder - Rücksitzschoner 2er Pack（45x66cm）- autositzschonermit Aufbewahrungstasche - Wasserdicht,Pflegeleicht","1","amazon.de","Amazon","Oldenburg","","26133","MarketplaceFacilitator","10,08","1,91","0","0","0","0","0","0","-1,91","-1,80","-4,08","0","0","4,20"
"31.10.2025 23:32:27 UTC","25827802432","Bestellung","303-3166102-5490708","03de-H-Bath Glove-Yelw","Fellpflegehandschuh,Haustierpflege-Handschuhe Hundepflegebürstenhandschuh für Hunde und Katzen, Entwirrbürste für lange Haare und Unterwolle, Bade","1","amazon.de","Amazon","Katsch an der Mur","Steiermark","8842","MarketplaceFacilitator","8,39","1,68","0","0","0","0","0","0","-1,68","-1,50","-3,04","0","0","3,85"
"01.11.2025 05:42:33 UTC","25827802432","Liquidationen","44713760888552","X0024QX21F","Handbetriebene Eiscrusher aus verchromter Zinklegierung – Robuste Edelstahlklingen, rutschfeste Basis, inkl. großem Eisbehälter und Löffel – Ideal für Margaritas, Cocktails, Slushies und mehr","1","","","","","","","1,76","0","0","0","0","0","0","0","0","0","0","-1,43","0","0,33"
"01.11.2025 05:42:33 UTC","25827802432","Liquidationen","44713760888552","X0024R2RL5","Cocktail Set 11tlg. - Edelstahl Cocktail Shaker Set mit Boston Shaker und Bar Zubehör – inkl. Rezepte (Silber)","1","","","","","","","2,68","0","0","0","0","0","0","0","0","0","0","-1,10","0","1,58"
"01.11.2025 05:42:33 UTC","25827802432","Liquidationen","44713760888552","X0024QX21F","Handbetriebene Eiscrusher aus verchromter Zinklegierung – Robuste Edelstahlklingen, rutschfeste Basis, inkl. großem Eisbehälter und Löffel – Ideal für Margaritas, Cocktails, Slushies und mehr","1","","","","","","","1,76","0","0","0","0","0","0","0","0","0","0","-1,43","0","0,33"
"01.11.2025 08:02:14 UTC","25827802432","Bestellung","306-3831030-3049108","03de-Notebook-Grey2pk","MOVASEE Notizbuch A5 Liniert mit Kunstledereinband - 2er Set, 130 Seiten, 120 g/m² Cremefarbenes Papier - Klassisches Design in Schwarz und Grau, 21","1","amazon.de","Amazon","Wien","","1100","MarketplaceFacilitator","6,71","1,34","0","0","0","0","0","0","-1,34","-1,20","-2,65","0","0","2,86"
"01.11.2025 17:10:14 UTC","25827802432","Bestellung","303-9602424-0594766","08-T0IJ-AXLV","Whiskey Steine Geschenkset für Männer - 2 x 10 oz Whiskey Gläser, 8 Granit Whiskey Steine, 2 Untersetzer, Metallzange & Cocktailkarten im Holzkaste","1","amazon.de","Amazon","Klingenberg","Sachsen","01774","MarketplaceFacilitator","15,12","2,87","0","0","0","0","0","0","-2,87","-2,70","-5,44","0","0","6,98"
"01.11.2025 20:36:57 UTC","25827802432","Bestellung","304-6926292-6435557","62-FODY-NUBE","Cocktailshaker Set - Premium Bar Kit mit kostenlosem Messbecher - Cocktailrezepte Broschüre - 0,7L Professioneller Edelstahl Cocktail Shaker - Martin","1","amazon.de","Amazon","Luxembourg","","1281","MarketplaceFacilitator","9,20","1,56","0","0","0","0","0","0","-1,56","-1,64","-3,84","0","0","3,72"
"01.11.2025 21:04:19 UTC","25827802432","Bestellung","304-5878648-9842708","F3-PR29-ABSE","Abkühlgitter (Set mit 2 Stück) für Backen & Kochen - 20 x 30 cm, Edelstahl-Rost, ofenfest, für Kekse, Brot & Gebäck","1","amazon.de","Amazon","Weddelbrook","","24576","MarketplaceFacilitator","8,39","1,60","1,40","0,27","0","0","-1,40","-0,27","-1,60","-1,50","-2,28","0","0","4,61"
"01.11.2025 22:03:58 UTC","25827802432","Bestellung","028-1564838-9637131","68-QPRB-QA3D","MOVASEE Rückenlehnenschutz Auto Kinder - Rücksitzschoner 2er Pack（45x66cm）- autositzschonermit Aufbewahrungstasche - Wasserdicht,Pflegeleicht","1","amazon.de","Amazon","Frohnleiten","Steiermark","8130","MarketplaceFacilitator","10,08","2,02","0,42","0,08","0","0","-0,42","-0,08","-4,04","-3,60","-4,08","0","0","0,38"
