"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All amounts in USD, unless specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling fees: Includes variable closing fees and referral fees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date/time,settlement id,type,order id,sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
"Nov 1, 2025 2:41:33 AM PDT",24792807031,Liquidations,32090609961551,X004CXZMOV,"Cecilio 4/4 Full Size Violin - Hand-Carved Solid Spruce & Maple, Ebony Fingerboard, Deluxe Oblong Hard Case & Bow Included, Fiddle Set for Beginners Professionals",1,,Standard Orders,,,,,,10.53,0,0,0,0,0,0,0,0,0,0,0,0,-3.03,0,7.5
"Nov 1, 2025 6:05:13 AM PDT",24792807031,Liquidations,32218476947551,X004CWTA5T,"SafeRest Zippered Mattress Protector - Premium 9-12 Inch Waterproof Mattress Cover for Bed - Breathable, Noiseless Washable Mattress Encasement - Twin",1,,Standard Orders,,,,,,3.66,0,0,0,0,0,0,0,0,0,0,0,0,-1.15,0,2.51
"Nov 1, 2025 11:42:01 PM PDT",24792807031,Liquidations,32281083370551,X004CXPQSX,K&J 6ft Heavy-Duty Washing Machine Drain Hose With Clamp - Industrial Grade Polypropylene Discharge Hose for Washing Machines - Fits Up To 1-1/4 Inch Drain Outlets,1,,Standard Orders,,,,,,0.16,0,0,0,0,0,0,0,0,0,0,0,0,-0.32,0,-0.16
"Nov 2, 2025 4:46:13 AM PST",24792807031,Liquidations,32362547230551,X004CWSAF5,"SafeRest Zippered Mattress Protector - Premium 15-18 Inch Waterproof Mattress Cover for Bed - Breathable, Noiseless Washable Mattress Encasement - Queen",1,,Standard Orders,,,,,,3.88,0,0,0,0,0,0,0,0,0,0,0,0,-1.38,0,2.5
"Nov 3, 2025 7:41:41 AM PST",24792807031,Order,113-9820833-0482667,MOS-ViolaMA350-15InSt,"Mendini by Cecilio 15-Inch Solid Wood Viola Set for Beginners - Hand Carved Acoustic Viola Kit with Hard Case, Bow, Rosin, Bridge and Extra Strings (S",1,amazon.com,Standard Orders,Amazon,INWOOD,WV,25428,MarketplaceFacilitator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nov 4, 2025 2:08:31 AM PST",24792807031,Liquidations,32410713497551,X004CWN6KJ,"SafeRest Zippered Mattress Protector - Premium 12-15 Inch Waterproof Mattress Cover for Bed - Breathable, Noiseless Washable Mattress Encasement - Queen",1,,Standard Orders,,,,,,2.71,0,0,0,0,0,0,0,0,0,0,0,0,-1.21,0,1.5
"Nov 4, 2025 2:56:37 AM PST",24792807031,Liquidations,32184209780551,X004CWUQ2P,SafeRest Zippered Mattress Protector - Premium 6-9 Inch Waterproof Mattress Cover for Bed - Breathable & Noiseless Washable Mattress Encasement - Twin XL,1,,Standard Orders,,,,,,1.92,0,0,0,0,0,0,0,0,0,0,0,0,-0.89,0,1.03
"Nov 4, 2025 6:38:27 AM PST",24792807031,FBA Inventory Fee,TF/OQFZBDh,,FBA Removal Order: Disposal Fee,,Amazon.com,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.95,-3.95
"Nov 5, 2025 6:35:10 AM PST",24792807031,Liquidations,32456921894551,X004CWSAF5,"SafeRest Zippered Mattress Protector - Premium 15-18 Inch Waterproof Mattress Cover for Bed - Breathable, Noiseless Washable Mattress Encasement - Queen",1,,Standard Orders,,,,,,3.73,0,0,0,0,0,0,0,0,0,0,0,0,-1.36,0,2.37
"Nov 6, 2025 4:37:19 AM PST",24901316541,Liquidations,32651799058551,X004CYB9P1,"Cecilio Closed Hole C Flute - Musical Instrument, Beginner/Intermediate Flute in Band & Orchestra, Nickel",1,,Standard Orders,,,,,,4.91,0,0,0,0,0,0,0,0,0,0,0,0,-1.34,0,3.57
"Nov 6, 2025 3:12:05 PM PST",24901316541,Refund,112-6389607-6976216,MOS-ViolaMA350-15InSt,"Mendini by Cecilio 15-Inch Solid Wood Viola Set for Beginners - Hand Carved Acoustic Viola Kit with Hard Case, Bow, Rosin, Bridge and Extra Strings (S",1,amazon.com,Standard Orders,Amazon,INWOOD,WV,25428,MarketplaceFacilitator,-68.99,-4.14,0,0,0,0,0,0,0,0,4.14,8.28,0,0,0,-60.71
"Nov 6, 2025 10:46:25 PM PST",24901316541,Liquidations,32712187780551,X004CWSAF5,"SafeRest Zippered Mattress Protector - Premium 15-18 Inch Waterproof Mattress Cover for Bed - Breathable, Noiseless Washable Mattress Encasement - Queen",1,,Standard Orders,,,,,,3.58,0,0,0,0,0,0,0,0,0,0,0,0,-1.34,0,2.24
"Nov 6, 2025 11:29:38 PM PST",24901316541,Transfer,,,"To your account ending in: 586, Bank Transfer ID: 5JWEE65QVYLKTA7",,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-119.68,-119.68
"Nov 7, 2025 5:19:57 AM PST",24901316541,Liquidations,32651384333551,X004CXZMOV,"Cecilio 4/4 Full Size Violin - Hand-Carved Solid Spruce & Maple, Ebony Fingerboard, Deluxe Oblong Hard Case & Bow Included, Fiddle Set for Beginners Professionals",1,,Standard Orders,,,,,,10.39,0,0,0,0,0,0,0,0,0,0,0,0,-3.01,0,7.38
"Nov 7, 2025 6:31:28 AM PST",24901316541,Liquidations,32437596515551,X004CY17UN,Cecilio Solid Wood Electric/Silent Violin with Ebony Fittings - 4/4 Full Size - Metallic Red Mahogany,1,,Standard Orders,,,,,,13.36,0,0,0,0,0,0,0,0,0,0,0,0,-3.45,0,9.91
"Nov 7, 2025 8:37:43 AM PST",24901316541,FBA Inventory Fee,,,FBA storage fee,,Amazon.com,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.03,-6.03
"Nov 7, 2025 1:28:28 PM PST",24901316541,Liquidations,32711707980551,X004CXVSIF,"Cecilio CECO-1DW Ebony Electric Silent Metallic Mahagony Cello in Style 1, Size 4/4 (Full Size)",1,,Standard Orders,,,,,,40.19,0,0,0,0,0,0,0,0,0,0,0,0,-9.93,0,30.26
"Nov 7, 2025 6:34:20 PM PST",24901316541,Adjustment,114-5650650-6588235,3PM-9-12"-Twin,FBA Inventory Reimbursement - Customer Return,1,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.28,26.28
