"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"31.10.2025 23:23:14 UTC","25827307112","Bestellung","028-8938056-5552353","10DE-L-bicycle seat-white","Übergroßer Fahrradsattel Herren Damen Bequem,Breit Weich Fahrrad Sattel,Universal Ersatz fahrradsättel für Cityrad, Mountainbike, Ebike, Heimtrain","1","amazon.de","Amazon","Rheinberg","","47495","","6,71","1,28","0","0","0","0","0","0","0","-1,20","-5,94","0","0","0,85"
"01.11.2025 00:02:43 UTC","25827307112","Bestellung","304-4532916-5461112","10DE-L-candy jar","12 Stück Braunglasbehälter, 237 ml EinmachgläSer Mit deckel Bernsteinfarbene Gläser zur Kerzenherstellung, Schraubgläser mit Deckel, Perfekt für","1","amazon.de","Amazon","Ludwigsstadt","","96337","MarketplaceFacilitator","13,44","2,55","0","0","0","0","0","0","-2,55","-2,40","-5,83","0","0","5,21"
"01.11.2025 15:01:16 UTC","25827307112","Bestellung","302-0138339-7280329","10DE-L-waterproof bag(Grey)","Miloll 3 Stück Dry Bag Tasche,5L/10L / 20L, wasserdichter Beutel Rucksack wasserdichte Aufbewahrungsbeutel, Trockentaschen für Kajakfahren, perfekt","1","amazon.de","Amazon","Solingen","Nordrhein-Westfalen","42659","MarketplaceFacilitator","12,60","2,39","1,12","0,21","0","0","0","0","-2,60","-2,25","-4,85","0","0","6,62"
"01.11.2025 15:12:33 UTC","25827307112","Bestellung","303-7036887-3009902","10DE-L-Oyster Knife","Austernmesser Set, Edelstahl Austernöffner mit Handschuhe, Oyster Knife Set,Austernmesser Und Handschuh, Austernbrecher Oyster öffner für Muscheln,","1","amazon.de","Amazon","Eggenfelden","","84307","MarketplaceFacilitator","10,08","1,91","0","0","0","0","0","0","-1,91","0","-3,04","0","0","7,04"
"01.11.2025 16:45:41 UTC","25827307112","Bestellung","305-6210584-5301929","10DE-L-waterproof bag(Grey)","Miloll 3 Stück Dry Bag Tasche,5L/10L / 20L, wasserdichter Beutel Rucksack wasserdichte Aufbewahrungsbeutel, Trockentaschen für Kajakfahren, perfekt","1","amazon.de","Amazon","Krems an der Donau","","3500","MarketplaceFacilitator","12,60","2,52","0","0","0","0","0","0","-2,52","-2,10","-3,73","0","0","6,77"
"01.11.2025 17:08:07 UTC","25827307112","Bestellung","302-6819139-8067564","10DE-L-waterproof bag(Red)","Miloll 3 Stück Dry Bag Tasche,5L/10L / 20L, wasserdichter Beutel Rucksack wasserdichte Aufbewahrungsbeutel, Trockentaschen für Kajakfahren, perfekt","1","amazon.de","Amazon","Crimmitschau","Sachsen","08451","MarketplaceFacilitator","10,92","2,07","1,67","0,32","0","0","-1,67","-0,32","-2,07","-1,95","-3,80","0","0","5,17"
"01.11.2025 20:11:51 UTC","25827307112","Bestellung","305-0165808-8558714","10DE-L-candy jar","12 Stück Braunglasbehälter, 237 ml EinmachgläSer Mit deckel Bernsteinfarbene Gläser zur Kerzenherstellung, Schraubgläser mit Deckel, Perfekt für","1","amazon.de","Amazon","Mönchengladbach","","41199","MarketplaceFacilitator","13,44","2,55","0","0","0","0","0","0","-2,55","-2,40","-5,83","0","0","5,21"
"01.11.2025 20:30:22 UTC","25827307112","Bestellung","304-7348670-3634721","10DE-L-candy jar","12 Stück Braunglasbehälter, 237 ml EinmachgläSer Mit deckel Bernsteinfarbene Gläser zur Kerzenherstellung, Schraubgläser mit Deckel, Perfekt für","1","amazon.de","Amazon","Bottrop","","46240","MarketplaceFacilitator","13,44","2,55","0","0","0","0","0","0","-2,55","-2,40","-5,83","0","0","5,21"
"01.11.2025 20:31:48 UTC","25827307112","Bestellung","306-8107015-7861149","10DE-L-Foam Saddle","Premium Fahrradsattel Herren Damen, Wasserdicht Fahrrad Sattel Weich Gelsattel Fahrradsitz Bequem Weich Fahrradsättel Ergonomischer, Atmungsaktiv Sto","1","amazon.de","Amazon","Wien","Wien","1220","MarketplaceFacilitator","9,24","1,85","0,67","0,13","0","0","0","0","-1,98","-1,65","-5,87","0","0","2,39"
"01.11.2025 21:08:45 UTC","25827307112","Bestellung","303-3980608-6617937","10DE-L-waterproof bag(Red)","Miloll 3 Stück Dry Bag Tasche,5L/10L / 20L, wasserdichter Beutel Rucksack wasserdichte Aufbewahrungsbeutel, Trockentaschen für Kajakfahren, perfekt","1","amazon.de","Amazon","Kaunas","","","MarketplaceFacilitator","10,08","2,12","2,00","0,42","0","0","-2,00","-0,42","-2,12","-1,80","-3,80","0","0","4,48"
