"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"31.10.2025 23:58:44 UTC","25827605852","Bestellung","028-1396018-1964327","12-BartenderKit-Copper","10-teiliges Bartender Set aus Mahagoni & Edelstahl-Premium Barzubehör inkl. Cocktail Shaker, Barwerkzeuge & Aufbewahrungsbox | Ideal für Home Bar, P","1","amazon.de","Amazon","Düsseldorf","","40599","MarketplaceFacilitator","21,00","3,99","4,19","0,80","0","0","-4,19","-0,80","-3,99","-3,75","-4,23","0","0","13,02"
"01.11.2025 07:20:36 UTC","25827605852","Bestellung","305-8956093-1219560","12-BartenderKit-Copper","10-teiliges Bartender Set aus Mahagoni & Edelstahl-Premium Barzubehör inkl. Cocktail Shaker, Barwerkzeuge & Aufbewahrungsbox | Ideal für Home Bar, P","1","amazon.de","Amazon","Südbrookmerland","","26624","MarketplaceFacilitator","21,00","3,99","0","0","0","0","0","0","-3,99","-3,75","-4,23","0","0","13,02"
"01.11.2025 07:53:42 UTC","25827605852","Bestellung","302-4011478-0831512","ZFH-12-GftSet-8s2gRwc","Whiskey Geschenkset mit 2X 300ml Gläsern, 8 Granit Whisky Steinen & rustikaler Holzkiste - Elegantes Whisky Accessoire für Bourbon, Scotch, Rum Män","1","amazon.de","Verkäufer","Ditfurt","","06484","MarketplaceFacilitator","22,68","4,31","0","0","0","0","0","0","-4,31","-4,05","0","0","0","18,63"
"01.11.2025 21:23:55 UTC","25827605852","Bestellung","303-7363699-9722751","12-BartenderKit-Copper","10-teiliges Bartender Set aus Mahagoni & Edelstahl-Premium Barzubehör inkl. Cocktail Shaker, Barwerkzeuge & Aufbewahrungsbox | Ideal für Home Bar, P","1","amazon.de","Amazon","Schwelm","","58332","MarketplaceFacilitator","21,00","3,99","4,19","0,80","0","0","-4,19","-0,80","-3,99","-3,75","-4,23","0","0","13,02"
"01.11.2025 23:25:38 UTC","25827605852","Bestellung","306-0297134-8307574","12-BicycleCoverXXL-Green","YardStash Fahrradgarage für [3 Fahrräder] - Fahrradabdeckung wasserdicht zum Schutz vor Wind und Wetter - Reißfeste Fahrradschutzhülle mit Reflekt","1","amazon.de","Amazon","Nennigkofen","","45","MarketplaceFacilitator","16,80","1,36","0,81","0,07","0","0","-0,81","-0,07","-1,36","-3,00","-4,79","0","0","9,01"
"02.11.2025 05:34:40 UTC","25827605852","Servicegebühr","","","Werbekosten","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-133,11","0","-133,11"
"02.11.2025 12:40:47 UTC","25827605852","Bestellung","304-5141653-9396361","12-TablePad-52X108","LOFERMA Premium Tischschoner 132x275 cm - wasserdichte Vinyl-Tischauflage mit Flanellrückseite | Schutz vor Flecken & Hitze (Grau)","1","amazon.de","Amazon","Berlin","","13439","","12,60","2,39","0","0","0","0","0","0","0","0","-4,94","0","0","10,05"
"03.11.2025 20:15:35 UTC","25827605852","Bestellung","028-9616730-7566701","12-SeatCushion-Black","LOFERMA Orthopädisches Sitzkissen mit Rückenlehne - Ergonomisches Stuhlkissen für Bürostuhl, Rollstuhl & Auto | Ideal für Esstisch, Gartenstühle","1","amazon.de","Amazon","BURGLAUER","","97724","MarketplaceFacilitator","33,61","6,38","0","0","0","0","0","0","-6,38","-6,00","-5,81","0","0","21,80"
"03.11.2025 22:20:52 UTC","25827605852","Bestellung","028-4332999-5760313","12-BartenderKit-Copper","10-teiliges Bartender Set aus Mahagoni & Edelstahl-Premium Barzubehör inkl. Cocktail Shaker, Barwerkzeuge & Aufbewahrungsbox | Ideal für Home Bar, P","1","amazon.de","Amazon","Triberg Im Schwarzwald","","78098","MarketplaceFacilitator","21,00","3,99","0","0","0","0","0","0","-3,99","-3,75","-4,23","0","0","13,02"
"04.11.2025 05:34:43 UTC","25827605852","Bestellung","304-6614320-1137140","12-BartenderKit-Copper","10-teiliges Bartender Set aus Mahagoni & Edelstahl-Premium Barzubehör inkl. Cocktail Shaker, Barwerkzeuge & Aufbewahrungsbox | Ideal für Home Bar, P","1","amazon.de","Amazon","Köln","","51063","MarketplaceFacilitator","21,00","3,99","0","0","0","0","0","0","-3,99","-3,75","-4,23","0","0","13,02"
"04.11.2025 08:05:01 UTC","25827605852","Bestellung","304-9850461-6394714","12-BartenderKit-8P-Slv","10-teiliges Premium Bartender Set mit Mahagoni-Holz & Edelstahl - Inkl. Cocktail Shaker, Barwerkzeuge & Aufbewahrungsbox | Perfekt für Home Bar, Part","1","amazon.de","Amazon","Neumünster","","24539","MarketplaceFacilitator","14,28","2,71","0","0","0","0","0","0","-2,71","-2,55","-3,50","0","0","8,23"
"04.11.2025 14:34:53 UTC","25827605852","Bestellung","305-2556142-3438749","12-TablePad-52X108","LOFERMA Premium Tischschoner 132x275 cm - wasserdichte Vinyl-Tischauflage mit Flanellrückseite | Schutz vor Flecken & Hitze (Grau)","1","amazon.de","Amazon","Pr.Oldendorf","","32361","MarketplaceFacilitator","12,60","2,39","0","0","0","0","0","0","-2,39","-2,25","-5,18","0","0","5,17"
"04.11.2025 14:43:28 UTC","25827605852","Bestellung","028-9554774-1164355","12-BicycleCoverXXL-Green","YardStash Fahrradgarage für [3 Fahrräder] - Fahrradabdeckung wasserdicht zum Schutz vor Wind und Wetter - Reißfeste Fahrradschutzhülle mit Reflekt","1","amazon.de","Amazon","München","Bayern","80337","MarketplaceFacilitator","16,80","3,19","1,12","0,21","0","0","-1,12","-0,21","-3,19","-3,00","-4,79","0","0","9,01"
"04.11.2025 16:22:11 UTC","25827605852","Bestellung","306-2792405-3110723","12-BathMats-Grey","Genteele Badematte rutschfest - Waschbarer Badezimmerteppich, Badteppich","1","amazon.de","Amazon","Sankt Ruprecht an der Raab","","8181","MarketplaceFacilitator","7,55","1,51","0","0","0","0","0","0","-1,51","-1,35","-3,96","0","0","2,24"
"04.11.2025 16:45:14 UTC","25827605852","Liquidationsanpassungen","28532432246552","X0027Y331X","Mop Pads 4er Set – Wiederverwendbare, waschbare Mopppads für 18 Zoll Mopp, Dicke, Spray Nass/Trocken, Flach, mit Klettverschluss – Ersatz für Bodenreinigung","3","","","","","","","-0,51","0","0","0","0","0","0","0","0","0","0","0","0","-0,51"
"04.11.2025 18:29:38 UTC","25827605852","Bestellung","303-7628423-7645902","12-SplatterScreen","LOFERMA Spritzschutz für Pfannen - 32 cm Edelstahl Spritzschutzdeckel | Ideal für Bacon, Hähnchen & Popcorn | Verhindert Fettspritzer beim Braten","1","amazon.de","Amazon","Werder (havel)","","14542","MarketplaceFacilitator","10,92","2,07","0","0","0","0","0","0","-2,07","-1,95","-3,82","0","0","5,15"
"04.11.2025 19:57:33 UTC","25827605852","Anpassung","305-0044163-2452363","12-BartenderKit-8P-MaBlk","Versand durch Amazon Erstattung für Lagerbestand - Kundenrücksendung","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","5,76","5,76"
"04.11.2025 20:23:32 UTC","25827605852","Erstattung","304-7326195-1892336","12-SplatterScreen","LOFERMA Spritzschutz für Pfannen - 32 cm Edelstahl Spritzschutzdeckel | Ideal für Bacon, Hähnchen & Popcorn | Verhindert Fettspritzer beim Braten","1","amazon.de","Amazon","Maasen","","27249","MarketplaceFacilitator","-10,92","-2,07","0","0","0","0","0","0","2,07","0","0","0","0","-10,92"
"04.11.2025 23:41:55 UTC","25827605852","Bestellung","028-0878223-2824356","12-StorageSet-Grey","LOFERMA Aufbewahrungsbehälter 6er Set - Gestepptes Geschirr- und Gläser-Aufbewahrung mit 48 Filzschützern, ideal für Weihnachten und saisonale Auf","1","amazon.de","Amazon","Rheindahlen","Monchengladbach","41179","","31,08","5,91","0","0","0","0","0","0","0","-5,55","-5,97","0","0","25,47"
"05.11.2025 00:13:00 UTC","25827605852","Bestellung","305-3387661-7458752","12-ShowerStool","Duschstuhl - Verstellbarer Duschsitz für Senioren & Menschen mit Behinderung | rutschfest & Stabil | Ideal für Badewanne & Dusche (Grau)","1","amazon.de","Amazon","Sinsheim","","74889","MarketplaceFacilitator","33,61","6,38","0","0","0","0","0","0","-6,38","-6,00","-5,43","0","0","22,18"
"05.11.2025 13:24:58 UTC","25827605852","Erstattung","028-9616730-7566701","12-SeatCushion-Black","LOFERMA Orthopädisches Sitzkissen mit Rückenlehne - Ergonomisches Stuhlkissen für Bürostuhl, Rollstuhl & Auto | Ideal für Esstisch, Gartenstühle","1","amazon.de","Amazon","BURGLAUER","","97724","MarketplaceFacilitator","-33,61","-6,38","0","0","0","0","0","0","6,38","4,80","0","0","0","-28,81"
"05.11.2025 14:28:43 UTC","25827605852","Bestellung","306-9461684-2019513","12-StorageSet-Grey","LOFERMA Aufbewahrungsbehälter 6er Set - Gestepptes Geschirr- und Gläser-Aufbewahrung mit 48 Filzschützern, ideal für Weihnachten und saisonale Auf","1","amazon.de","Amazon","Friedberg (hessen)","","61169","MarketplaceFacilitator","31,08","5,91","0","0","0","0","0","0","-5,91","-5,55","-5,97","0","0","19,56"
"05.11.2025 17:36:18 UTC","25827605852","Bestellung","302-4314687-3245940","12-BicycleCoverXXL-Green","YardStash Fahrradgarage für [3 Fahrräder] - Fahrradabdeckung wasserdicht zum Schutz vor Wind und Wetter - Reißfeste Fahrradschutzhülle mit Reflekt","1","amazon.de","Amazon","Hallerndorf","","91352","MarketplaceFacilitator","16,80","3,19","0","0","0","0","0","0","-3,19","-3,00","-4,79","0","0","9,01"
"05.11.2025 17:40:06 UTC","25827605852","Bestellung","304-4794470-8916328","12-StorageSet-Grey","LOFERMA Aufbewahrungsbehälter 6er Set - Gestepptes Geschirr- und Gläser-Aufbewahrung mit 48 Filzschützern, ideal für Weihnachten und saisonale Auf","1","amazon.de","Amazon","Frankfurt Am Main","","60320","MarketplaceFacilitator","31,08","5,91","0","0","0","0","0","0","-5,91","-5,55","-5,97","0","0","19,56"
"05.11.2025 20:37:36 UTC","25827605852","Bestellung","303-6164060-8816335","12-WhiskeySet","Whiskey Glas Set mit 2 Edelstahlkugeln & Holzkiste - 2X 300ml Whisky Gläser für Bourbon, Scotch, Rum | Elegantes Geschenk für Männer, Papa, Eheman","1","amazon.de","Amazon","Münster","","48165","MarketplaceFacilitator","21,00","3,99","0,74","0,14","0","0","-0,74","-0,14","-3,99","-3,75","-5,97","0","0","11,28"
"05.11.2025 21:53:28 UTC","25827605852","Bestellung","306-2516520-8470705","12-StorageSet-Grey","LOFERMA Aufbewahrungsbehälter 6er Set - Gestepptes Geschirr- und Gläser-Aufbewahrung mit 48 Filzschützern, ideal für Weihnachten und saisonale Auf","1","amazon.de","Amazon","Frankfurt am Main","","60528","MarketplaceFacilitator","31,08","5,91","0","0","0","0","0","0","-5,91","-5,55","-5,97","0","0","19,56"
