"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"31.10.2025 23:24:56 UTC","25778241392","Bestellung","305-4882125-6465101","H2-IOF5-4XYI","750 ml Isolierflasche aus Edelstahl - Dreifachwandige Trinkflasche mit Strohhalm & 3 auslaufsicheren Verschlüssen - Für Reisen, Schule, Sport, Fitne","1","amazon.de","Amazon","Kreischa","","01731","MarketplaceFacilitator","9,24","1,75","0","0","0","0","0","0","-1,75","-1,65","-3,84","0","0","3,75"
"31.10.2025 23:36:52 UTC","25778241392","Bestellung","028-1318200-6711546","HS-Q4IY-Y7G3","750 ml Isolierflasche aus Edelstahl - Dreifachwandige Trinkflasche mit Strohhalm & 3 auslaufsicheren Verschlüssen - Für Reisen, Schule, Sport, Fitne","1","amazon.de","Amazon","Achim","Niedersachsen","28832","","9,24","1,75","0","0","0","0","0","0","0","0","-3,67","0","0","7,32"
"01.11.2025 13:04:18 UTC","25778241392","Bestellung","028-0123414-8366769","M5-YXCZ-3XDA","Küchenutensilien-Set - 10 Teile aus Edelstahl mit Löffeln, Schneebesen, Spatel, Zange, Schöpflöffel, Zerkleinerer und Ständer, Zubehör","1","amazon.de","Amazon","Nürtingen","Baden-Württemberg","72622","MarketplaceFacilitator","15,12","2,87","0","0","0","0","0","0","-2,87","-2,70","-4,62","0","0","7,80"
"01.11.2025 20:33:24 UTC","25778241392","Bestellung","028-1004370-0361922","G4-LQRJ-2FKH","750 ml Isolierflasche aus Edelstahl - Dreifachwandige Trinkflasche mit Strohhalm & 3 auslaufsicheren Verschlüssen - Für Reisen, Schule, Sport, Fitne","1","amazon.de","Amazon","Graben","","86836","","9,24","1,75","0","0","0","0","0","0","0","-1,65","-3,84","0","0","5,50"
"01.11.2025 20:53:12 UTC","25778241392","Bestellung","303-8827720-9648324","M5-YXCZ-3XDA","Küchenutensilien-Set - 10 Teile aus Edelstahl mit Löffeln, Schneebesen, Spatel, Zange, Schöpflöffel, Zerkleinerer und Ständer, Zubehör","1","amazon.de","Amazon","Salzwedel, Hansestadt","Sachsen-Anhalt","29410","MarketplaceFacilitator","15,12","2,87","0","0","0","0","0","0","-2,87","-2,70","-4,62","0","0","7,80"
"01.11.2025 21:11:51 UTC","25778241392","Bestellung","303-8754613-2699505","VT-W5JQ-VSFK","8-teiliges Cocktail-Set - Edelstahl-Shaker, Messbecher, Sieb, Rührlöffel, Zange, Flaschenöffner, Holzständer & Rezeptkarten Partys und Feiertage (","1","amazon.de","Amazon","Berlin","","12439","MarketplaceFacilitator","14,27","2,71","0","0","0","0","0","0","-2,71","-2,10","-3,84","0","0","8,33"
"01.11.2025 23:43:06 UTC","25778241392","Bestellung","028-8295704-1353914","M5-YXCZ-3XDA","Küchenutensilien-Set - 10 Teile aus Edelstahl mit Löffeln, Schneebesen, Spatel, Zange, Schöpflöffel, Zerkleinerer und Ständer, Zubehör","1","amazon.de","Amazon","Geeste","","49744","MarketplaceFacilitator","15,12","2,87","0","0","0","0","0","0","-2,87","-2,70","-4,62","0","0","7,80"
"03.11.2025 06:50:56 UTC","25853423132","Bestellung","304-6952855-3665929","G4-LQRJ-2FKH","750 ml Isolierflasche aus Edelstahl - Dreifachwandige Trinkflasche mit Strohhalm & 3 auslaufsicheren Verschlüssen - Für Reisen, Schule, Sport, Fitne","1","amazon.de","Amazon","Grünheide OT Möllensee","","15537","MarketplaceFacilitator","9,24","1,75","0","0","0","0","0","0","-1,75","0","0","0","0","9,24"
"03.11.2025 16:33:07 UTC","25853423132","Versand durch Amazon Lagergebühr","302-6274378-2876300","","Versand durch Amazon Gebühr für Entsorgung","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-5,15","-5,15"
"03.11.2025 16:33:42 UTC","25853423132","Versand durch Amazon Lagergebühr","305-7892866-6904358","","Versand durch Amazon Gebühr für Entsorgung","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-5,15","-5,15"
