"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"1 Nov 2025 12:34:48 UTC","25898479752","Order","026-8520942-0882725","Mortar and Pestle Set-0822","Mortar and Pestle Set - 6 Inch Granite, Large Molcajete Bowl with Stone Grinder - Spice, Herb and Avocado Masher for Guacamole, Salsa and Pesto - Hold","1","amazon.co.uk","Seller","MUMBLES","","SA3 4","MarketplaceFacilitator","10.82","2.17","0","0","0","0","0","0","-2.17","-1.95","0","-0.04","0","8.83"
"1 Nov 2025 14:51:11 UTC","25898479752","Order","206-8651915-7954758","2 Adirondack Chair-0620","Ptsuker Adirondack Chair Set of 2, Heavy-Duty Outdoor Garden Furniture - Weather-Resistant Patio Lounge Chair with Ergonomic Design, Easy Assembly, Na","1","amazon.co.uk","Seller","Durham","durham","DH7 7","MarketplaceFacilitator","116.66","23.33","0","0","0","0","0","0","-23.33","-21.00","0","-0.42","0","95.24"
"1 Nov 2025 15:08:10 UTC","25898479752","Order","205-9061960-5250748","Garden Sofa-1106","Ptsuker Outdoor Wooden Garden Sofa Set, 2-Seater Heavy-Hardwood Patio Furniture - Weather-Resistant Lounge Set, Ergonomic Backrest (Natural Finish, Co","1","amazon.co.uk","Seller","DURSLEY","","GL11 4","MarketplaceFacilitator","74.99","15.00","0","0","0","0","0","0","-15.00","-13.50","0","-0.27","0","61.22"
"1 Nov 2025 19:32:59 UTC","25898479752","Order","204-6376081-5005130","FBM-Wooden Hangers-0206","Wide Shoulder Wooden Hangers Coat Hangers High-Grade Smooth Finish Non Slip Wide Shoulder Hangers for Clothes 6 Pack, for Closet, Jacket, Dressed, Hol","1","amazon.co.uk","Seller","ACKWORTH","","WF7 7","MarketplaceFacilitator","14.99","3.00","0","0","0","0","0","0","-3.00","-2.70","0","-0.05","0","12.24"
"1 Nov 2025 20:18:36 UTC","25898479752","Order","026-6564984-6897114","FBM-Wooden Hangers-0206","Wide Shoulder Wooden Hangers Coat Hangers High-Grade Smooth Finish Non Slip Wide Shoulder Hangers for Clothes 6 Pack, for Closet, Jacket, Dressed, Hol","1","amazon.co.uk","Seller","SKIPTON","North Yorkshire","BD23 2","MarketplaceFacilitator","14.99","3.00","0","0","0","0","0","0","-3.00","-2.70","0","-0.05","0","12.24"
"1 Nov 2025 20:19:00 UTC","25898479752","Order","206-7841350-1607525","Projector Screen-1211","Holiday Styling Inflatable Projector Screen - 16 Ft Blow Up Cinema & Outdoor Stand - Portable Screens w/ Front or Rear Movie Projection & Bonus Storag","1","amazon.co.uk","Seller","LONDON","","W8 7","MarketplaceFacilitator","83.32","16.67","0","0","0","0","0","0","-16.67","-15.00","0","-0.30","0","68.02"
"1 Nov 2025 23:18:45 UTC","25898479752","Order","204-6987425-4639504","FBM-Kitchen Utensil Set","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Seller","PORT TALBOT","","SA13 1","MarketplaceFacilitator","11.66","2.33","0","0","0","0","0","0","-2.33","-2.10","0","-0.04","0","9.52"
"1 Nov 2025 23:34:18 UTC","25898479752","Order","202-7450929-7200304","FBM-Wooden Hangers-0206","Wide Shoulder Wooden Hangers Coat Hangers High-Grade Smooth Finish Non Slip Wide Shoulder Hangers for Clothes 6 Pack, for Closet, Jacket, Dressed, Hol","1","amazon.co.uk","Seller","London","","E1W 2","MarketplaceFacilitator","14.99","3.00","0","0","0","0","0","0","-3.00","-2.70","0","-0.05","0","12.24"
"3 Nov 2025 13:50:29 UTC","25917094982","Order","026-7983242-5585132","FBM-Wooden Hangers-0206","Wide Shoulder Wooden Hangers Coat Hangers High-Grade Smooth Finish Non Slip Wide Shoulder Hangers for Clothes 6 Pack, for Closet, Jacket, Dressed, Hol","1","amazon.co.uk","Seller","Shrewsbury","Shropshire","SY5 8","MarketplaceFacilitator","14.99","3.00","0","0","0","0","0","0","-3.00","-2.70","0","-0.05","0","12.24"
"3 Nov 2025 15:14:41 UTC","25917094982","Order","206-2110075-1181158","FBM-Kitchen Utensil Set","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Seller","Belfast","","BT14 7","MarketplaceFacilitator","11.66","2.33","0","0","0","0","0","0","-2.33","-2.10","0","-0.04","0","9.52"
