"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Nov 2, 2025 3:06:01 a.m. PST","24769759701","Service Fee","","","Cost of advertising","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-111.41","0","-111.41"
"Nov 2, 2025 10:03:51 p.m. PST","24769759701","Order","701-2862310-9747431","PME10-6-9-Twin","WINKAURA Twin Waterproof Mattress Protector Fits 15-23CM in Deep, Zippered Mattress Encasement Cover with Breathable Premium Terry Top Fabric Cover Gr","1","amazon.ca","Amazon","Windsor","Ontario","N9E 2J","","29.99","0","0","0","0","0","0","0","0","0","0","-4.50","-15.57","0","0","9.92"
"Nov 3, 2025 12:17:46 a.m. PST","24876926451","Debt","","","amzn1.cam.v1.sgid.24769759701","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56.19","56.19"
"Nov 3, 2025 5:06:57 a.m. PST","24876926451","Order","702-2866651-5209036","PME06-6-9-Full","54""x75"" Full Size Mattress Protector Waterproof Fits 6-9"" Deep, Zippered WINKAURA Mattress Pad Cover with Breathable Soft Premium Terry Top Fabric","1","amazon.ca","Amazon","Innisfil","Ontario","L9S 1W","","32.99","0","0","0","0","0","0","0","0","0","0","-4.95","-17.28","0","0","10.76"
"Nov 4, 2025 8:59:35 p.m. PST","24876926451","Order","701-0775996-6395435","PME10-6-9-Twin","WINKAURA Twin Waterproof Mattress Protector Fits 15-23CM in Deep, Zippered Mattress Encasement Cover with Breathable Premium Terry Top Fabric Cover Gr","1","amazon.ca","Amazon","Comox","British Columbia","V9M 4J","","29.99","0","0","0","0","0","0","0","0","0","0","-4.50","-15.57","0","0","9.92"
"Nov 6, 2025 7:18:57 a.m. PST","24876926451","Order","701-3286452-6729028","MP26-14-TwinXL","【Dorms Hotel Exclusive】 Twin XL Mattress Protector(Fits 6-18"" Deep) 5-Sided Fitted Sheet Style Breathable Terry Cloth Top Waterproof Mattress Cove","1","amazon.ca","Amazon","Beaverlodge","Alberta","T0H 0C","","25.99","0","0","0","0","0","0","0","0","0","0","-3.90","-15.32","0","0","6.77"
"Nov 6, 2025 7:15:13 p.m. PST","24876926451","Refund","702-9090973-2139430","PME06-6-9-Full","54""x75"" Full Size Mattress Protector Waterproof Fits 6-9"" Deep, Zippered WINKAURA Mattress Pad Cover with Breathable Soft Premium Terry Top Fabric","1","amazon.ca","Amazon","Toronto","Ontario","M4B 2X","","-32.99","0","0","0","0","0","0","0","0","0","0","3.96","0","0","0","-29.03"
"Nov 7, 2025 6:55:40 p.m. PST","24876926451","Order","702-9090973-2139430","PME06-6-9-Full","54""x75"" Full Size Mattress Protector Waterproof Fits 6-9"" Deep, Zippered WINKAURA Mattress Pad Cover with Breathable Soft Premium Terry Top Fabric","1","amazon.ca","Amazon","Toronto","Ontario","M4B 2X","","32.99","0","0","0","0","0","0","0","0","0","0","-4.95","-17.28","0","0","10.76"
"Nov 15, 2025 12:33:27 a.m. PST","24876926451","Order","702-9701315-1888204","PME13-9-12-Twin","WINKAURA Twin Waterproof Mattress Protector Fits 24-30CM Deep, Zippered Mattress Encasement Cover with Premium Breathable Soft Terry Top Fabric Cover","1","amazon.ca","Amazon","Scarborough","Ontario","M1K 4V","","29.99","0","0","0","0","0","0","0","0","0","0","-4.50","-17.06","0","0","8.43"
"Nov 16, 2025 3:29:59 a.m. PST","24876926451","Order","702-9959906-1601839","PME19-12-15-Twin","WINKAURA Twin Waterproof Mattress Protector with Soft Terry Top Fabric, Fits 31-38CM Deep Pockets, Zippered Six-Sided Breathable Mattress Encasement C","1","amazon.ca","Amazon","Scarborough","Ontario","M1K 4V","","29.99","0","0","0","0","0","0","0","0","0","0","-4.50","-16.30","0","0","9.19"
"Nov 17, 2025 4:03:55 a.m. PST","24977384871","Order","702-2212440-3071466","PME11-12-15-Queen","WINKAURA Queen Waterproof Mattress Protector with Soft Terry Top Fabric Fits 31-38CM Deep, Fully Encased Premium Breathable Zippered Mattress Encaseme","1","amazon.ca","Amazon","Winnipeg","Manitoba","R2H 2X","","38.99","0","0","0","0","0","0","0","0","0","0","-5.85","-17.83","0","0","15.31"
"Nov 18, 2025 8:08:13 a.m. PST","24977384871","Order","701-4391469-6771457","PME06-6-9-Full","54""x75"" Full Size Mattress Protector Waterproof Fits 6-9"" Deep, Zippered WINKAURA Mattress Pad Cover with Breathable Soft Premium Terry Top Fabric","1","amazon.ca","Amazon","Portneuf","Québec","G0A 2Y","","32.99","0","0","0","0","0","0","0","0","0","0","-4.95","-17.28","0","0","10.76"
"Nov 18, 2025 9:25:04 a.m. PST","24977384871","Transfer","","","To account ending with: 005","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-26.80","-26.80"
"Nov 20, 2025 4:39:57 a.m. PST","24977384871","Order","701-9817624-0046608","PME06-6-9-Full","54""x75"" Full Size Mattress Protector Waterproof Fits 6-9"" Deep, Zippered WINKAURA Mattress Pad Cover with Breathable Soft Premium Terry Top Fabric","1","amazon.ca","Amazon","Toronto","Ontario","M4K 3H","","32.99","0","0","0","0","0","0","0","0","0","0","-4.95","-17.28","0","0","10.76"
"Nov 22, 2025 5:04:47 a.m. PST","24977384871","Order","702-5239633-8317063","ME03-9-KingX2","WINKAURA 2 Pack Twin XL Waterproof Mattress Cover(9 in. Deep) Protector Zippered Soft Breathable Healthy Encasement Great for Dorms Hotel,39""x80""x2","1","amazon.ca","Amazon","Revelstoke","BC","V0E 2S","","39.99","0","0","0","0","0","0","0","0","0","0","-6.00","-17.61","0","0","16.38"
"Nov 26, 2025 1:22:53 a.m. PST","24977384871","Order","701-5607891-8832222","PME19-12-15-Twin","WINKAURA Twin Waterproof Mattress Protector with Soft Terry Top Fabric, Fits 31-38CM Deep Pockets, Zippered Six-Sided Breathable Mattress Encasement C","1","amazon.ca","Amazon","Gatineau","Quebec","J8Y 4G","","29.99","0","0","0","0","0","0","0","0","0","0","-4.50","-16.30","0","0","9.19"
"Nov 30, 2025 9:09:33 p.m. PST","24977384871","Service Fee","","","Subscription","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-19.52","-19.52"
