"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Nov 1, 2025 12:07:40 AM PDT","24901857281","Order","112-4456086-9016203","Blanket-NewBlue30lb","WINKAURA 30LB Weighted Blanket for Adults 86""x 90"" Aqua Color, 2-Sided Microfiber Blanket with Premium Glass Beads, Cooling & Heating All-Season Thick","1","amazon.com","Standard Orders","Amazon","ROME","NY","13440","MarketplaceFacilitator","89.99","7.87","0","0","0","0","0","0","0","0","-7.87","-13.50","-23.57","0","0","52.92"
"Nov 1, 2025 12:51:49 AM PDT","24901857281","Order","113-2521723-9443468","Amazon.Found.B0CJMC7V1D","54""x75"" Full Size Mattress Protector Waterproof Fits 6-9"" Deep, Zippered WINKAURA Mattress Pad Cover with Breathable Soft Premium Terry Top Fabric","1","amazon.com","Standard Orders","Amazon","CLEVELAND","OH","44109","MarketplaceFacilitator","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nov 1, 2025 2:05:09 AM PDT","24901857281","Order","111-0068450-7543430","NewPE-6-9""-Twin","9 Inch Twin Mattress Protectors 39""x75"", Zippered Waterproof Mattress Cover Terry Top Fabric Cover Great for Most Bed Sheets","1","amazon.com","Standard Orders","Amazon","TIPP CITY","OH","45371","MarketplaceFacilitator","13.99","0.98","0","0","0","0","0","0","0","0","-0.98","-2.10","-6.47","0","0","5.42"
"Nov 1, 2025 2:10:44 AM PDT","24901857281","Order","113-4874877-8519401","PME14-9-12-TwinXL","【Dorms Hotel Exclusive】 Twin XL Mattress Protector 39""x80"" Fits 10/11/12 in Deep, Zipper, Waterproof, Terry Top Pocket Spring Mattress Cover Encas","1","amazon.com","Standard Orders","Amazon","GLASGOW","KY","42141","MarketplaceFacilitator","18.64","1.12","0","0","0","0","0","0","0","0","-1.12","-2.80","-6.31","0","0","9.53"
"Nov 1, 2025 3:20:08 AM PDT","24901857281","Order","111-2853969-3020210","PME06-6-9-Full","54""x75"" Full Size Mattress Protector Waterproof Fits 6-9"" Deep, Zippered WINKAURA Mattress Pad Cover with Breathable Soft Premium Terry Top Fabric","1","amazon.com","Standard Orders","Amazon","MORENO VALLEY","CA","92555","MarketplaceFacilitator","23.97","2.10","0","0","0","0","0","0","0","0","-2.10","-3.60","-7.70","0","0","12.67"
"Nov 1, 2025 3:55:33 AM PDT","24901857281","Order","114-7448815-8039466","PME14-9-12-TwinXL","【Dorms Hotel Exclusive】 Twin XL Mattress Protector 39""x80"" Fits 10/11/12 in Deep, Zipper, Waterproof, Terry Top Pocket Spring Mattress Cover Encas","1","amazon.com","Standard Orders","Amazon","MORGAN CITY","LA","70380","MarketplaceFacilitator","18.64","1.91","0","0","0","0","0","0","0","0","-1.91","-2.80","-6.31","0","0","9.53"
"Nov 1, 2025 4:06:52 AM PDT","24901857281","Order","113-8405022-9090613","PME06-6-9-Full","54""x75"" Full Size Mattress Protector Waterproof Fits 6-9"" Deep, Zippered WINKAURA Mattress Pad Cover with Breathable Soft Premium Terry Top Fabric","1","amazon.com","Standard Orders","Amazon","JACKSONVILLE","FL","32222","MarketplaceFacilitator","23.97","1.80","0","0","0","0","0","0","0","0","-1.80","-3.60","-7.70","0","0","12.67"
"Nov 1, 2025 5:10:36 AM PDT","24901857281","Order","113-4046917-0999459","ME01-9-Queen","60""x80"" Queen Mattress Protector(6-10 in. Deep) Waterproof Mattress Cover Zippered Soft Breathable Skin-Safe Encasement for Queen Bed Sheets","1","amazon.com","Standard Orders","Amazon","NEWARK","NJ","07107","MarketplaceFacilitator","19.96","1.32","0.48","0.03","0","0","0","0","0","0","-1.35","-2.99","-7.95","0","0","9.50"
"Nov 1, 2025 5:25:28 AM PDT","24901857281","Order","114-3197263-6857845","ME01-9-Queen","60""x80"" Queen Mattress Protector(6-10 in. Deep) Waterproof Mattress Cover Zippered Soft Breathable Skin-Safe Encasement for Queen Bed Sheets","1","amazon.com","Standard Orders","Amazon","CARTHAGE","NC","28327","MarketplaceFacilitator","19.96","1.40","1.12","0.08","0","0","0","0","0","0","-1.48","-2.99","-8.59","0","0","9.50"
"Nov 1, 2025 5:38:44 AM PDT","24901857281","Order","112-3978634-1302646","ME01-9-Queen","60""x80"" Queen Mattress Protector(6-10 in. Deep) Waterproof Mattress Cover Zippered Soft Breathable Skin-Safe Encasement for Queen Bed Sheets","5","amazon.com","Standard Orders","Amazon","TUCKER","GA","30084","MarketplaceFacilitator","84.55","6.75","0","0","0","0","0","0","0","0","-6.75","-12.70","-33.25","0","0","38.60"
"Nov 1, 2025 5:39:45 AM PDT","24901857281","Order","112-5155342-4481804","PME18inch-King","WINKAURA King Waterproof Mattress Encasement 76""x 80"" Fits 16-18 Inch Deep, Zippered Mattress Protector Cover with Breathable Skin-Friendly Premium Te","1","amazon.com","Standard Orders","Amazon","LAKEMOOR","IL","60051","MarketplaceFacilitator","38.98","2.83","0","0","0","0","0","0","0","0","-2.83","-5.85","-8.03","0","0","25.10"
"Nov 1, 2025 6:13:29 AM PDT","24901857281","Order","113-8235465-3461021","PME06-6-9-Full","54""x75"" Full Size Mattress Protector Waterproof Fits 6-9"" Deep, Zippered WINKAURA Mattress Pad Cover with Breathable Soft Premium Terry Top Fabric","1","amazon.com","Standard Orders","Amazon","CORONA","NY","11368","MarketplaceFacilitator","23.97","2.13","0","0","0","0","0","0","0","0","-2.13","-3.60","-7.70","0","0","12.67"
"Nov 1, 2025 6:17:26 AM PDT","24901857281","Order","112-3978634-1302646","ME01-9-Queen","60""x80"" Queen Mattress Protector(6-10 in. Deep) Waterproof Mattress Cover Zippered Soft Breathable Skin-Safe Encasement for Queen Bed Sheets","5","amazon.com","Standard Orders","Amazon","TUCKER","GA","30084","MarketplaceFacilitator","84.55","6.75","0","0","0","0","0","0","0","0","-6.75","-12.70","-33.25","0","0","38.60"
"Nov 1, 2025 6:31:14 AM PDT","24901857281","Refund","112-5155342-4481804","PME18inch-King","WINKAURA King Waterproof Mattress Encasement 76""x 80"" Fits 16-18 Inch Deep, Zippered Mattress Protector Cover with Breathable Skin-Friendly Premium Te","1","amazon.com","Standard Orders","Amazon","LAKEMOOR","IL","60051","MarketplaceFacilitator","-38.98","-2.83","0","0","0","0","0","0","0","0","2.83","4.68","0","0","0","-34.30"
"Nov 1, 2025 7:03:47 AM PDT","24901857281","Order","114-6193536-6144255","ME02-9-TwinXL","39""x80"" Twin XL Mattress Protector 9"" Depth【Dorms Hotel Exclusive】 Box Spring Mattress Cover Waterproof Soft Noiseless Breathable Mattress Encasem","2","amazon.com","Standard Orders","Amazon","PARKLAND","FL","33067","MarketplaceFacilitator","31.96","2.24","0","0","0","0","0","0","0","0","-2.24","-4.80","-14.06","0","0","13.10"
"Nov 1, 2025 7:04:17 AM PDT","24901857281","Order","111-3156576-3277032","PME16-6-9-TwinXL","【Dorms Hotel Exclusive】 Twin XL 39"" x80"" Waterproof Mattress Protector Zippered Fits 6-9 Inch Deep Mattress Pad Cover, WINKAURA Mattress Encasemen","1","amazon.com","Standard Orders","Amazon","JACKSON","MS","39211","MarketplaceFacilitator","18.98","1.33","0","0","0","0","0","0","0","0","-1.33","-2.85","-6.89","0","0","9.24"
"Nov 1, 2025 7:40:10 AM PDT","24901857281","Order","111-7774282-3033018","ME01-9-Queen","60""x80"" Queen Mattress Protector(6-10 in. Deep) Waterproof Mattress Cover Zippered Soft Breathable Skin-Safe Encasement for Queen Bed Sheets","1","amazon.com","Standard Orders","Amazon","BOGART","GA","30622","MarketplaceFacilitator","19.96","1.60","0","0","0","0","0","0","0","0","-1.60","-2.99","-7.47","0","0","9.50"
"Nov 1, 2025 7:50:07 AM PDT","24901857281","Refund","111-2626763-3273839","PME06-6-9-Full","54""x75"" Full Size Mattress Protector Waterproof Fits 6-9"" Deep, Zippered WINKAURA Mattress Pad Cover with Breathable Soft Premium Terry Top Fabric","1","amazon.com","Standard Orders","Amazon","ONTARIO","CA","91762","MarketplaceFacilitator","-23.97","-2.10","0","0","0","0","0","0","0","0","2.10","2.88","0","0","0","-21.09"
"Nov 1, 2025 7:56:14 AM PDT","24901857281","Order","114-8332033-4553000","ME01-9-Queen","60""x80"" Queen Mattress Protector(6-10 in. Deep) Waterproof Mattress Cover Zippered Soft Breathable Skin-Safe Encasement for Queen Bed Sheets","1","amazon.com","Standard Orders","Amazon","FRIENDSHIP","WI","53934","MarketplaceFacilitator","19.96","1.10","8.14","0.45","0","0","0","0","0","0","-1.55","-2.99","-15.61","0","0","9.50"
"Nov 1, 2025 8:00:30 AM PDT","24901857281","Order","113-2395770-0155400","ME02-9-TwinXL","39""x80"" Twin XL Mattress Protector 9"" Depth【Dorms Hotel Exclusive】 Box Spring Mattress Cover Waterproof Soft Noiseless Breathable Mattress Encasem","1","amazon.com","Standard Orders","Amazon","SULLIVAN","OH","44880","MarketplaceFacilitator","16.98","1.19","1.50","0","0","0","0","0","-1.50","0","-1.19","-2.55","-7.03","0","0","7.40"
"Nov 1, 2025 8:04:31 AM PDT","24901857281","Order","114-9677087-4102614","NewPE-12-15""-Twin","15 Inch Deep Twin Mattress Protectors 39""x75"", Zippered Waterproof Mattress Encasement Cover Terry Top Fabric Cover Great for Most Bed","1","amazon.com","Standard Orders","Amazon","PLAINWELL","MI","49080","MarketplaceFacilitator","13.99","0.84","0","0","0","0","0","0","0","0","-0.84","-2.10","-6.24","0","0","5.65"
