"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"2 May 2025 22:01:47 UTC","24527850402","Order","202-1595591-8105913","Mortar and Pestle Set-0224","Mortar and Pestle Set, 6 Inch Granite, Large Molcajete Bowl with Stone Grinder - Spice, Herb and Avocado Masher for Guacamole, Salsa and Pesto - Holds","1","amazon.co.uk","Amazon","ALTRINCHAM","manchester","WA14 4","MarketplaceFacilitator","10.82","2.17","0","0","0","0","0","0","-2.17","-1.95","-5.16","-0.14","0","3.57"
"2 May 2025 23:39:02 UTC","24527850402","Refund","205-2719470-7303534","Pizza Stone Set-0224","15 inch Bake Crispy Crust Pizza Ceramic Pizza Grilling Stone, Baking Stone, Pizza Pan for Oven, Grill, BBQ, Durable and Safe","1","amazon.co.uk","Amazon","eastbourne","east sussex","BN21 1","MarketplaceFacilitator","-13.32","-2.67","0","0","0","0","0","0","2.67","1.92","0","0.05","0","-11.35"
"2 May 2025 23:53:35 UTC","24527850402","Order","205-2719470-7303534","Pizza Stone Set-0224","15 inch Bake Crispy Crust Pizza Ceramic Pizza Grilling Stone, Baking Stone, Pizza Pan for Oven, Grill, BBQ, Durable and Safe","1","amazon.co.uk","Amazon","eastbourne","east sussex","BN21 1","MarketplaceFacilitator","13.32","2.67","0","0","0","0","0","0","-2.67","-2.40","-5.39","-0.16","0","5.37"
"6 May 2025 18:14:22 UTC","24704809732","Order","026-5456378-3084309","Mortar and Pestle Set-0224","Mortar and Pestle Set, 6 Inch Granite, Large Molcajete Bowl with Stone Grinder - Spice, Herb and Avocado Masher for Guacamole, Salsa and Pesto - Holds","1","amazon.co.uk","Amazon","BRIGHTON","","BN2 1","MarketplaceFacilitator","10.82","2.17","0","0","0","0","0","0","-2.17","-1.95","-5.16","-0.14","0","3.57"
"7 May 2025 03:36:57 UTC","24704809732","Debt","","","amzn1.cam.v1.sgid.24527850402","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","38.37","38.37"
"7 May 2025 03:36:57 UTC","24704809732","Debt","","","amzn1.cam.v1.sgid.24015299482","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","3.62","3.62"
"7 May 2025 07:40:24 UTC","24704809732","FBA Inventory Fee","","","FBA storage fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9 May 2025 18:33:58 UTC","24704809732","Order","203-8257214-7555509","Pizza Stone Set-0224","15 inch Bake Crispy Crust Pizza Ceramic Pizza Grilling Stone, Baking Stone, Pizza Pan for Oven, Grill, BBQ, Durable and Safe","1","amazon.co.uk","Amazon","Sutton Coldfield","West Midlands","B74 4","MarketplaceFacilitator","13.32","2.67","0","0","0","0","0","0","-2.67","0","-5.39","-0.11","0","7.82"
"11 May 2025 23:17:20 UTC","24704809732","Order","202-7496784-8851543","Pizza Stone Set-0224","15 inch Bake Crispy Crust Pizza Ceramic Pizza Grilling Stone, Baking Stone, Pizza Pan for Oven, Grill, BBQ, Durable and Safe","1","amazon.co.uk","Amazon","ORPINGTON","","BR5 1","MarketplaceFacilitator","13.32","2.67","0","0","0","0","0","0","-2.67","-2.40","-5.39","-0.16","0","5.37"
"12 May 2025 23:00:55 UTC","24788260002","Order","204-2964260-9876338","Mortar and Pestle Set-0224","Mortar and Pestle Set, 6 Inch Granite, Large Molcajete Bowl with Stone Grinder - Spice, Herb and Avocado Masher for Guacamole, Salsa and Pesto - Holds","1","amazon.co.uk","Amazon","pontypool","gwent","NP4 6","MarketplaceFacilitator","10.82","2.17","0","0","0","0","0","0","-2.17","-1.95","-5.16","-0.14","0","3.57"
