"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"30.04.2025 22:01:23 UTC","24698902492","Bestellung","302-6221115-9782762","12-SplatterScreen","LOFERMA Spritzschutz für Pfannen - 24 cm Edelstahl Spritzschutzdeckel | Ideal für Bacon, Hähnchen & Popcorn | Verhindert Fettspritzer beim Braten","1","amazon.de","Amazon","Hannover","Niedersachsen","30167","MarketplaceFacilitator","0","0","0","0","0","0","0","0","0","-0,30","-3,64","0","0","-3,94"
"30.04.2025 22:22:07 UTC","24698902492","Bestellung","304-7517401-8225901","12-CuttingBoard-Black","Schwarzes Schneidebrett aus Kunststoff | 60x45x1,2 cm | Spülmaschinenfest & Hygienisch | Ideal für Fleisch, Gemüse & Obst (Schwarz)","1","amazon.de","Amazon","Bürstadt","Hessen","68642","MarketplaceFacilitator","21,42","4,07","0","0","0","0","0","0","-4,07","-3,82","-5,52","0","0","12,08"
"30.04.2025 22:53:16 UTC","24698902492","Bestellung","306-1078425-9629912","12-CabinetLocks-23Pcs","Magnetische Schranksicherungen für Babys - 20 Stück Kindersicherungen für Schränke, Schubladen und Türen mit 3 Schlüssel, einfache Installation","1","amazon.de","Amazon","Hechthausen","","21755","MarketplaceFacilitator","14,28","2,71","0,48","0,09","0","0","-0,48","-0,09","-2,71","-2,55","-3,16","0","0","8,57"
"30.04.2025 23:33:04 UTC","24698902492","Anpassung","","12-BathMats-Grey","Versand durch Amazon Erstattung für Lagerbestand - Im Lager beschädigt","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","4,77","4,77"
"30.04.2025 23:46:46 UTC","24698902492","Bestellung","304-5450462-0588342","12-CabinetLocks-23Pcs","Magnetische Schranksicherungen für Babys - 20 Stück Kindersicherungen für Schränke, Schubladen und Türen mit 3 Schlüssel, einfache Installation","1","amazon.de","Amazon","Harsefeld","","21698","MarketplaceFacilitator","14,28","2,71","0","0","0","0","0","0","-2,71","-2,55","-3,16","0","0","8,57"
"30.04.2025 23:49:04 UTC","24698902492","Bestellung","304-8287951-2525963","12-CargoNet-Blue-36x48","Cargo-Netz für Auto - 90x120 cm, Robustes Bungee-Netz mit 12 Haken & Clips | Inkl. Aufbewahrungstasche | Ideal für kleine & große Lasten (Blau)","1","amazon.de","Amazon","Gommersheim","","67377","MarketplaceFacilitator","12,60","2,39","0","0","0","0","0","0","-2,39","-2,25","-4,23","0","0","6,12"
"01.05.2025 07:18:27 UTC","24698902492","Bestellung","304-7016160-9071561","12-ShowerStool","Duschstuhl - Verstellbarer Duschsitz für Senioren & Menschen mit Behinderung | rutschfest & Stabil | Ideal für Badewanne & Dusche (Grau)","1","amazon.de","Amazon","Fürstenwalde/spree","","15517","","36,13","6,86","3,35","0,64","0","0","-3,35","-0,64","0","-6,45","-6,10","0","0","30,44"
"01.05.2025 07:34:41 UTC","24698902492","Bestellung","302-0102576-3055575","12-CargoNet-Blue-48x72","Cargo-Netz für Auto - 120x180 cm, Robustes Bungee-Netz mit 12 Haken & Clips | Inkl. Aufbewahrungstasche | Ideal für kleine & große Lasten (Blau)","1","amazon.de","Amazon","Kaindorf bei Hartberg","Steiermark","8224","MarketplaceFacilitator","15,12","3,02","0","0","0","0","0","0","-3,02","-2,70","-4,23","0","0","8,19"
"01.05.2025 13:49:49 UTC","24698902492","Bestellung","303-6658940-3903538","12-ShoesOrganizer-2P","LOFERMA Unterbett Aufbewahrungsbox - Platz für 16 Paar Schuhe und 4 Paar Stiefel, stabile Box mit starkem Reißverschluss und Griffen, idealer Underb","1","amazon.de","Amazon","Tübingen","","72070","MarketplaceFacilitator","11,76","2,23","0","0","0","0","0","0","-2,23","-2,10","-4,94","0","0","4,72"
"01.05.2025 15:29:34 UTC","24698902492","Bestellung","302-6517985-3369964","12-BathMats-Grey-22×36","Genteele Badvorleger - Memory-Schaumstoff, rutschfest, saugfähig, super gemütlich","1","amazon.de","Amazon","Neu-Isenburg","","63263","MarketplaceFacilitator","15,12","2,87","0","0","0","0","0","0","-2,87","-2,70","-4,76","0","0","7,66"
"01.05.2025 15:43:31 UTC","24698902492","Erstattung","302-4372730-8235526","12-TablePad-52X108","LOFERMA Premium Tischschoner 132x275 cm - wasserdichte Vinyl-Tischauflage mit Flanellrückseite | Schutz vor Flecken & Hitze | rutschfest & flachliege","1","amazon.de","Amazon","Österreich","","1220","MarketplaceFacilitator","-14,28","-2,86","0","0","0","0","0","0","2,86","2,04","0","0","0","-12,24"
"01.05.2025 17:28:55 UTC","24698902492","Bestellung","028-2050719-3737957","12-BartenderKit-Copper","10-teiliges Bartender Set aus Mahagoni & Edelstahl-Premium Barzubehör inkl. Cocktail Shaker, Barwerkzeuge & Aufbewahrungsbox | Ideal für Home Bar, P","1","amazon.de","Amazon","Spenge","","32139","MarketplaceFacilitator","21,84","4,15","4,19","0,80","0","0","0","0","-4,95","-3,90","-8,42","0","0","13,71"
"01.05.2025 18:42:47 UTC","24698902492","Bestellung","303-5799092-9363535","12-CabinetLocks-23Pcs","Magnetische Schranksicherungen für Babys - 20 Stück Kindersicherungen für Schränke, Schubladen und Türen mit 3 Schlüssel, einfache Installation","1","amazon.de","Amazon","Österreich","Wien","1150","MarketplaceFacilitator","14,28","2,86","0","0","0","0","0","0","-2,86","-2,55","-3,16","0","0","8,57"
