"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"1 May 2025 00:18:28 UTC","24685344082","Refund","205-2996100-8478719","13-GelPillow-King","BREFR Hotel Quality Gel Fibre Pillow 2 Pack - Plush & Cooling for Ultimate Comfort | Hypoallergenic & Breathable | Restorative Sleep Support (50x90 cm","1","amazon.co.uk","Amazon","NORTHALLERTON","","DL6 3","MarketplaceFacilitator","-17.49","-3.50","0","0","0","0","0","0","3.50","2.52","0","0.06","0","-14.91"
"1 May 2025 03:10:52 UTC","24685344082","Order","203-1793340-6418714","13-GelPillow-Queen","BREFR Hotel Quality Gel Fibre Pillow 2 Pack - Plush & Cooling for Ultimate Comfort | Hypoallergenic & Breathable | Restorative Sleep Support (50x75 cm","1","amazon.co.uk","Amazon","NEWCASTLE UPON TYNE","","NE27 0","MarketplaceFacilitator","15.82","3.17","0.42","0.08","0","0","-0.42","-0.08","-3.17","-2.85","-5.19","-0.16","0","7.62"
"1 May 2025 11:40:03 UTC","24685344082","Order","205-2234615-2713900","13-GelPillow-King","BREFR Hotel Quality Gel Fibre Pillow 2 Pack - Plush & Cooling for Ultimate Comfort | Hypoallergenic & Breathable | Restorative Sleep Support (50x90 cm","1","amazon.co.uk","Amazon","BOURNEMOUTH","","BH4 8","MarketplaceFacilitator","17.49","3.50","0","0","0","0","0","0","-3.50","0","-5.19","-0.10","0","12.20"
"1 May 2025 12:45:45 UTC","24685344082","Order","203-3308223-3964355","13-WeightedBlanket-Nvy","BREFR Weighted Blanket King Size 220x230 cm, 20 lbs - Heavy Blanket for Adults | Calms Restlessness & Promotes Relaxation | Soft Navy Cover (Machine W","1","amazon.co.uk","Amazon","BIRMINGHAM","","B26 2","MarketplaceFacilitator","39.99","8.00","0","0","0","0","0","0","-8.00","0","-7.07","-0.14","0","32.78"
"1 May 2025 13:36:10 UTC","24685344082","Order","205-2234615-2713900","13-GelPillow-King","BREFR Hotel Quality Gel Fibre Pillow 2 Pack - Plush & Cooling for Ultimate Comfort | Hypoallergenic & Breathable | Restorative Sleep Support (50x90 cm","1","amazon.co.uk","Amazon","BOURNEMOUTH","","BH4 8","MarketplaceFacilitator","17.49","3.50","0","0","0","0","0","0","-3.50","0","-5.19","-0.10","0","12.20"
"1 May 2025 14:05:58 UTC","24685344082","Service Fee","","","Subscription","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-13.60","-13.60"
"1 May 2025 16:47:30 UTC","24685344082","Order","026-1436747-3088325","13uk-PrWrpOrg-40Red","Holiday Décor Storage, 600D Oxford Black Wrapping Paper Storage Bag with Red Trim, 18-20 Roll Capacity with 2 Clear Pockets for Holiday Décor Storag","1","amazon.co.uk","Amazon","DEAL","","CT14 9","MarketplaceFacilitator","11.62","2.33","0","0","0","0","0","0","-2.33","0","-4.58","-0.09","0","6.95"
"1 May 2025 20:48:07 UTC","24685344082","Order","206-0797787-9773909","13-GelPillow-King","BREFR Hotel Quality Gel Fibre Pillow 2 Pack - Plush & Cooling for Ultimate Comfort | Hypoallergenic & Breathable | Restorative Sleep Support (50x90 cm","1","amazon.co.uk","Amazon","Driffield","","YO258","MarketplaceFacilitator","17.49","3.50","0","0","0","0","0","0","-3.50","0","-5.19","-0.10","0","12.20"
"2 May 2025 15:15:45 UTC","24685344082","Refund","204-8401033-5730715","13-GelPillow-Queen","BREFR Hotel Quality Gel Fibre Pillow 2 Pack - Plush & Cooling for Ultimate Comfort | Hypoallergenic & Breathable | Restorative Sleep Support (50x75 cm","1","amazon.co.uk","Amazon","SALE","","M33 5","MarketplaceFacilitator","-15.82","-3.17","-0.82","-0.17","0","0","0.82","0.17","3.17","2.28","0","0.06","0","-13.48"
"3 May 2025 09:53:30 UTC","24685344082","Adjustment","203-2084917-5276335","13uk-WdCoatRacks-Ntl","FBA Inventory Reimbursement - Customer Return","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","11.22","11.22"
"3 May 2025 11:30:01 UTC","24685344082","Order","026-3919560-1473922","13-GelPillow-King","BREFR Hotel Quality Gel Fibre Pillow 2 Pack - Plush & Cooling for Ultimate Comfort | Hypoallergenic & Breathable | Restorative Sleep Support (50x90 cm","1","amazon.co.uk","Amazon","selston","nottm","NG166","MarketplaceFacilitator","17.49","3.50","1.66","0.33","0","0","-1.66","-0.33","-3.50","0","-5.19","-0.10","0","12.20"
"3 May 2025 12:45:21 UTC","24685344082","Refund","206-0797787-9773909","13-GelPillow-King","BREFR Hotel Quality Gel Fibre Pillow 2 Pack - Plush & Cooling for Ultimate Comfort | Hypoallergenic & Breathable | Restorative Sleep Support (50x90 cm","1","amazon.co.uk","Amazon","Driffield","","YO258","MarketplaceFacilitator","-17.49","-3.50","0","0","0","0","0","0","3.50","0","0","0","0","-17.49"
"3 May 2025 16:48:23 UTC","24685344082","Order","202-0302265-6971570","13-CushionPad-50x50","Adirondack Style Ottoman Cushion-Footstool Pad with Removable Cover, Soft Warm Beige - Premium Comfort for Living Room, Armchair or Sofa - Machine Was","1","amazon.co.uk","Amazon","Crawley","West Sussex","RH110","MarketplaceFacilitator","13.32","2.67","0","0","0","0","0","0","-2.67","0","-5.15","-0.10","0","8.07"
"3 May 2025 16:49:36 UTC","24685344082","Order","204-6787012-9173126","13-ShowerChair-White","Over Tub Shower Bench with Adjustable Height - Shower Chair for Elderly & Disabled Adults | Non-Slip Seat & Handles | Includes Tote Bag (White)","1","amazon.co.uk","Amazon","STRATFORD-UPON-AVON","","CV37 0","MarketplaceFacilitator","37.49","7.50","0","0","0","0","0","0","-7.50","0","-6.92","-0.14","0","30.43"
"3 May 2025 22:13:15 UTC","24685344082","Order","204-8938997-6096321","13-GelPillow-King","BREFR Hotel Quality Gel Fibre Pillow 2 Pack - Plush & Cooling for Ultimate Comfort | Hypoallergenic & Breathable | Restorative Sleep Support (50x90 cm","1","amazon.co.uk","Amazon","grimsby","","DN312","MarketplaceFacilitator","17.49","3.50","0","0","0","0","0","0","-3.50","0","-5.19","-0.10","0","12.20"
"4 May 2025 00:55:43 UTC","24685344082","Order","204-8282649-6919562","13-GelPillow-Queen","BREFR Hotel Quality Gel Fibre Pillow 2 Pack - Plush & Cooling for Ultimate Comfort | Hypoallergenic & Breathable | Restorative Sleep Support (50x75 cm","1","amazon.co.uk","Amazon","WIGAN","","WN2 4","MarketplaceFacilitator","15.82","3.17","0.83","0.17","0","0","-0.83","-0.17","-3.17","0","-5.19","-0.10","0","10.53"
"4 May 2025 03:07:27 UTC","24685344082","Order","202-5217598-1441109","13-GelPillow-Queen","BREFR Hotel Quality Gel Fibre Pillow 2 Pack - Plush & Cooling for Ultimate Comfort | Hypoallergenic & Breathable | Restorative Sleep Support (50x75 cm","1","amazon.co.uk","Amazon","SALISBURY","Wiltshire","SP3 6","MarketplaceFacilitator","15.82","3.17","0","0","0","0","0","0","-3.17","0","-5.19","-0.10","0","10.53"
"4 May 2025 03:28:47 UTC","24685344082","Order","026-8287182-2113947","13-GelPillow-Queen","BREFR Hotel Quality Gel Fibre Pillow 2 Pack - Plush & Cooling for Ultimate Comfort | Hypoallergenic & Breathable | Restorative Sleep Support (50x75 cm","1","amazon.co.uk","Amazon","BEDFORD","","MK42 0","MarketplaceFacilitator","15.82","3.17","1.66","0.33","0","0","0","0","-3.50","0","-6.85","-0.13","0","10.50"
"4 May 2025 04:07:13 UTC","24685344082","Order","205-8817543-4576329","13-GelPillow-King","BREFR Hotel Quality Gel Fibre Pillow 2 Pack - Plush & Cooling for Ultimate Comfort | Hypoallergenic & Breathable | Restorative Sleep Support (50x90 cm","1","amazon.co.uk","Amazon","SCUNTHORPE","","DN16 1","MarketplaceFacilitator","17.49","3.50","0.55","0.11","0","0","-0.55","-0.11","-3.50","0","-5.19","-0.10","0","12.20"
