"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Nov 1, 2025 12:00:32 AM PDT","24927931571","Order","114-1663186-2190622","Mason-16oz6pcs","ELAORY Classic 16 Oz Mason Jars, 6 Pack Canning Jars, Regular Mouth, Airtight & Leak Proof, Dishwasher Safe, Microwave & Freezer Safe, 3.2 x 4.5 x 5.5","1","amazon.com","Standard Orders","Amazon","AUSTIN","TX","78704","MarketplaceFacilitator","16.99","1.40","0","0","0","0","0","0","0","0","-1.40","-2.55","-7.94","0","0","6.50"
"Nov 1, 2025 12:11:14 AM PDT","24927931571","Order","112-1402668-4519426","ELA-Stretching","ELAORY Stretching Workout Cards,62 Exercises Cards Deck Large Size 5"" x 3.5"" Fitness Cards for Women & Men, Beginner Fitness Guide to Training Exercis","1","amazon.com","Standard Orders","Amazon","WALKERSVILLE","MD","21793","MarketplaceFacilitator","16.99","1.02","0","0","0","0","0","0","0","0","-1.02","-2.55","-4.43","0","0","10.01"
"Nov 1, 2025 12:33:08 AM PDT","24927931571","Order","111-5102485-3865802","ELA-Charging Station","Charging Station for Multiple Devices, 6 Ports Multi Devices USB Charger Fast Cell Phone Charging Station for iPhone iPad Tablet (Silver, 6 Mixed Cabl","1","amazon.com","Standard Orders","Amazon","GREENWOOD SPRINGS","MS","38848","MarketplaceFacilitator","19.99","1.40","0","0","0","0","0","0","0","0","-1.40","-3.00","-5.84","0","0","11.15"
"Nov 1, 2025 12:39:06 AM PDT","24927931571","Order","111-2592670-5868211","Tissueholder-1pack","ELAORY Paper Towel Holder Countertop, Farmhouse Paper Towel Holder Countertop, Ceramic Paper Towel Holder Farmhouse Rustic Decor for Kitchen Bathroom,","1","amazon.com","Standard Orders","Amazon","Waukesha","WI","53186","MarketplaceFacilitator","18.29","0.91","0","0","0","0","0","0","0","0","-0.91","-2.74","-6.44","0","0","9.11"
"Nov 1, 2025 12:39:18 AM PDT","24927931571","Liquidations","32230592429551","X004I6FLTN","ELAORY Waterproof Dry Bags 3 Pack (5L, 10L, 20L) - Lightweight Waterproof Storage Bags for Travel, Boating, Fishing, Rafting, Swimming, Camping & Outdoor Activities - Durable & Compact Design - Grey","1","","Standard Orders","","","","","","1.40","0","0","0","0","0","0","0","0","0","0","0","0","-0.46","0","0.94"
"Nov 1, 2025 12:45:47 AM PDT","24927931571","Order","113-6143329-9741832","ELA-Body pillow","ELAORY Body Pillow for Adults, Memory Foam Long Pillow for Bed Sleeping, Big Large Firm Full Body Pillow for Side Sleeper, 20x54 Inch, White","1","amazon.com","Standard Orders","Amazon","MINNEAPOLIS","MN","55417","MarketplaceFacilitator","16.99","1.53","0","0","0","0","0","0","0","0","-1.53","-2.55","-9.07","0","0","5.37"
"Nov 1, 2025 12:56:27 AM PDT","24927931571","Order","112-9503112-3948212","ELA-Dumbbell","Dumbbell Workout Cards, 62 Large 5""x3.5"" Exercise Cards for Home & Gym, Strength Training, Muscle Building, Beginner Fitness Guide, Fitness Cards for","1","amazon.com","Standard Orders","Amazon","freedom","IN","47431","MarketplaceFacilitator","12.99","0.91","0","0","0","0","0","0","0","0","-0.91","-1.95","-3.74","0","0","7.30"
"Nov 1, 2025 12:56:27 AM PDT","24927931571","Order","112-9503112-3948212","ELA-Cable","ELAORY Cable Workout Cards, 62 Exercises Cards Deck Large Size 5"" x 3.5"" Fitness Cards for Women & Men, Beginner Fitness Guide to Training Exercises a","1","amazon.com","Standard Orders","Amazon","freedom","IN","47431","MarketplaceFacilitator","16.99","1.19","0","0","0","0","0","0","0","0","-1.19","-2.55","-4.43","0","0","10.01"
"Nov 1, 2025 12:56:27 AM PDT","24927931571","Order","112-9503112-3948212","ELA-Bodyweight Vol1","ELAORY Bodyweight Exercises Cards, 62 Workout Cards Deck Large Size 5"" x 3.5"" Fitness Cards for Women & Men, Beginner Fitness Guide to Training Exerci","1","amazon.com","Standard Orders","Amazon","freedom","IN","47431","MarketplaceFacilitator","13.99","0.98","0","0","0","0","0","0","0","0","-0.98","-2.10","-3.74","0","0","8.15"
"Nov 1, 2025 12:59:41 AM PDT","24927931571","Order","114-6553357-5031431","ELA-dry bags-Red","ELAORY Waterproof Dry Bags 3 Pack (5L, 10L, 20L) - Lightweight Waterproof Storage Bags for Travel, Boating, Fishing, Rafting, Swimming, Camping & Outd","1","amazon.com","Standard Orders","Amazon","BURKE","VA","22015","MarketplaceFacilitator","12.99","0.78","0","0","0","0","0","0","0","0","-0.78","-1.95","-4.76","0","0","6.28"
"Nov 1, 2025 1:02:52 AM PDT","24927931571","Order","114-5080695-6153832","ELA-Charging Station","Charging Station for Multiple Devices, 6 Ports Multi Devices USB Charger Fast Cell Phone Charging Station for iPhone iPad Tablet (Silver, 6 Mixed Cabl","1","amazon.com","Standard Orders","Amazon","SAN JOSE","CA","95112","MarketplaceFacilitator","19.99","1.87","0","0","0","0","0","0","0","0","-1.87","-3.00","-5.84","0","0","11.15"
"Nov 1, 2025 1:34:52 AM PDT","24927931571","Order","111-0417715-8549045","Mason-16oz6pcs","ELAORY Classic 16 Oz Mason Jars, 6 Pack Canning Jars, Regular Mouth, Airtight & Leak Proof, Dishwasher Safe, Microwave & Freezer Safe, 3.2 x 4.5 x 5.5","1","amazon.com","Standard Orders","Amazon","MONROE","NC","28110","MarketplaceFacilitator","16.99","1.15","0","0","0","0","0","0","0","0","-1.15","-2.55","-7.94","0","0","6.50"
"Nov 1, 2025 1:59:24 AM PDT","24927931571","Order","112-3660077-2602627","Smalljars-12pack","ELAORY 12 Pack Small Glass Jars With Lids, 3.4 oz Mini Bottles With Cork, Twine and Labels for Favors, DIY Crafts, Candy, Potion","1","amazon.com","Standard Orders","Amazon","SILVER SPRING","MD","20910","MarketplaceFacilitator","20.99","1.26","0","0","0","0","0","0","0","0","-1.26","-3.15","-8.02","0","0","9.82"
"Nov 1, 2025 2:15:37 AM PDT","24927931571","Order","114-0904854-7845842","Amberjar-8oz6pcs","ELAORY 6 Pack 8Oz Glass Jars with Lids, Amber Glass Jars with Lids, Small Glass Jars for Canning, Food Storage, Spices, Liquids, Herbs, Homemade Cosme","1","amazon.com","Standard Orders","Amazon","CAMILLUS","NEW YORK","13031","MarketplaceFacilitator","14.99","1.20","0","0","0","0","0","0","0","0","-1.20","-2.25","-7.03","0","0","5.71"
"Nov 1, 2025 2:19:24 AM PDT","24847105881","Order","114-7564564-7284246","ELA-Charging Station","Charging Station for Multiple Devices, 6 Ports Multi Devices USB Charger Fast Cell Phone Charging Station for iPhone iPad Tablet (Silver, 6 Mixed Cabl","1","amazon.com","Invoiced Orders","Amazon","HOUGHTON","MI","49931","MarketplaceFacilitator","18.99","0","0","0","0","0","0","0","0","0","0","-2.85","-5.52","0","0","10.62"
