"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"30.09.2025 23:02:37 UTC","25667831492","Bestellung","304-2593869-3156323","8Z-BYJ2-XDVU","MOVASEE Professioneller Sahnespender aus gebürstetem Aluminium - 500 ml, mit 3 Sprühdüsen (gerade, Tulpenform, Sternform), kompatibel mit N20-Gaspa","1","amazon.de","Amazon","Hamburg","","22049","MarketplaceFacilitator","16,80","3,19","0","0","0","0","0","0","-3,19","-3,00","-3,67","0","0","10,13"
"30.09.2025 23:17:05 UTC","25667831492","Bestellung","305-5582325-4707568","03de-H-Brush Set","5 Stück FlaschenbüRsten Set, BüRste Flaschenreinigung mit Flaschenburste Lang, BüRstenset für Trinkflaschen, Glasflaschen, Babyflaschen, Trinkgl�","1","amazon.de","Amazon","Meuselwitz","Thüringen","04610","MarketplaceFacilitator","7,55","1,44","0","0","0","0","0","0","-1,44","-1,17","-3,90","0","0","2,48"
"30.09.2025 23:17:37 UTC","25667831492","Bestellung","302-7464259-0613154","03DE-SP-BAG-PE","Gürteltasche für Damen und Herren, süße Hüfttasche - zum Wandern, Reisen, Campen und Laufen - Loch für Kopfhörer, Geldgürtel mit 6 Taschen, Gu","1","amazon.de","Amazon","Hude","","27798","MarketplaceFacilitator","5,87","1,12","0","0","0","0","0","0","-1,12","-1,05","-2,99","0","0","1,83"
"30.09.2025 23:47:48 UTC","25667831492","Bestellung","305-6522579-4731568","7I-NH1F-M013","MOVASEE Rückenlehnenschutz Auto Kinder - Rücksitzschoner 2er Pack（45x66cm）- autositzschonermit Aufbewahrungstasche - Wasserdicht,Pflegeleicht","1","amazon.de","Amazon","Wunstorf","","31515","MarketplaceFacilitator","6,71","1,28","0","0","0","0","0","0","-1,28","-1,20","-3,90","0","0","1,61"
"30.09.2025 23:48:51 UTC","25667831492","Bestellung","304-3675179-6673924","03de-H-Brush Set","5 Stück FlaschenbüRsten Set, BüRste Flaschenreinigung mit Flaschenburste Lang, BüRstenset für Trinkflaschen, Glasflaschen, Babyflaschen, Trinkgl�","1","amazon.de","Amazon","St.Peter","Baden Württemberg","79271","MarketplaceFacilitator","7,55","1,44","0","0","0","0","0","0","-1,44","-1,17","-3,90","0","0","2,48"
"01.10.2025 02:16:03 UTC","25667831492","Anpassung","028-5106916-1688319","03DE-SP-BAG-PE","Versand durch Amazon Erstattung für Lagerbestand - Kundenrücksendung","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","2,52","2,52"
"01.10.2025 02:16:06 UTC","25667831492","Erstattung","302-9753850-4665914","8Z-BYJ2-XDVU","MOVASEE Professioneller Sahnespender aus gebürstetem Aluminium - 500 ml, mit 3 Sprühdüsen (gerade, Tulpenform, Sternform), kompatibel mit N20-Gaspa","1","amazon.de","Amazon","Nachrodt-wiblingwerde","","58769","MarketplaceFacilitator","-16,80","-3,19","-3,35","-0,64","0","0","3,35","0,64","3,19","2,40","0","0","0","-14,40"
"01.10.2025 14:28:45 UTC","25667831492","Bestellung","028-7058578-1330754","03de-H-Brush Set","5 Stück FlaschenbüRsten Set, BüRste Flaschenreinigung mit Flaschenburste Lang, BüRstenset für Trinkflaschen, Glasflaschen, Babyflaschen, Trinkgl�","1","amazon.de","Amazon","Karbach","","97842","MarketplaceFacilitator","7,55","1,44","0","0","0","0","0","0","-1,44","-1,17","-3,90","0","0","2,48"
"01.10.2025 14:44:01 UTC","25667831492","Bestellung","302-4687026-6149922","03de-Notebook-Grey2pk","MOVASEE Notizbuch A5 Liniert mit Kunstledereinband - 2er Set, 130 Seiten, 120 g/m² Cremefarbenes Papier - Klassisches Design in Schwarz und Grau, 21","1","amazon.de","Amazon","Berlin","Berlin","10409","MarketplaceFacilitator","6,71","1,27","0","0","0","0","0","0","-1,27","-0,57","-2,65","0","0","3,49"
"01.10.2025 16:14:03 UTC","25667831492","Bestellung","302-4562292-7299547","03DE-SP-BANDS","Lauf-Stirnbänder für Männer, Frauen, Jungen und Mädchen, Sport-Schweißbänder für Basketball, Yoga, Training, Workout, schnelltrocknend und ruts","1","amazon.de","Amazon","Erlangen","","91056","MarketplaceFacilitator","4,19","0,80","0","0","0","0","0","0","-0,80","-0,40","-1,87","0","0","1,92"
"01.10.2025 20:57:19 UTC","25667831492","Bestellung","304-5456315-7213912","XX-6798-BL6A","MOVASEE Fluoreszierende Farbe - Leuchtfarben Nachtleuchtend - Selbstleuchtendes Farbpulver Sky Blau, Phosphoreszierendes Glühpulver, Fluoreszierendes","1","amazon.de","Amazon","Castrop-rauxel","","44579","MarketplaceFacilitator","5,03","0,96","0","0","0","0","0","0","-0,96","-0,90","-2,22","0","0","1,91"
"01.10.2025 21:15:44 UTC","25667831492","Bestellung","028-5826223-9609163","8Z-BYJ2-XDVU","MOVASEE Professioneller Sahnespender aus gebürstetem Aluminium - 500 ml, mit 3 Sprühdüsen (gerade, Tulpenform, Sternform), kompatibel mit N20-Gaspa","1","amazon.de","Amazon","Meetzen","","19205","MarketplaceFacilitator","16,80","3,19","0","0","0","0","0","0","-3,19","-3,00","-3,67","0","0","10,13"
