"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"01.05.2025 13:59:39 UTC","24682851202","Bestellung","302-8092211-4936362","COY-BANDSSET-BE4","BFR Bands Sport Venenstauer & Bizeps Band PRO Set - Okklusionsbänder zum Arm- oder Bein-Muskeltraining - Ideal für Bodybuilding - Plus E-Book","1","amazon.de","Amazon","Berlin","Berlin","12681","MarketplaceFacilitator","12,60","2,39","0","0","0","0","0","0","-2,39","0","-5,54","0","0","7,06"
"01.05.2025 18:12:00 UTC","24682851202","Bestellung","306-0933621-3397124","SP-PINGPONGSETS","Ping Pong Paddles Set, Professionelle Tischtennisschläger und Bälle, einziehbares Netz mit Pfosten und Aufbewahrungskoffer, Pingpong Paddel und Spie","1","amazon.de","Amazon","Ahnatal","Hessen","34292","MarketplaceFacilitator","18,48","3,51","0","0","0","0","0","0","-3,51","0","-4,97","0","0","13,51"
"01.05.2025 23:13:06 UTC","24682851202","Bestellung","302-4825445-6832302","SP-PINGPONGSETS","Ping Pong Paddles Set, Professionelle Tischtennisschläger und Bälle, einziehbares Netz mit Pfosten und Aufbewahrungskoffer, Pingpong Paddel und Spie","1","amazon.de","Amazon","Weisendorf","Bayern","91085","MarketplaceFacilitator","18,48","3,51","0","0","0","0","0","0","-3,51","0","-4,97","0","0","13,51"
"02.05.2025 01:20:26 UTC","24682851202","Bestellung","306-3057789-2909151","SP-PINGPONGSETS","Ping Pong Paddles Set, Professionelle Tischtennisschläger und Bälle, einziehbares Netz mit Pfosten und Aufbewahrungskoffer, Pingpong Paddel und Spie","1","amazon.de","Amazon","Spalt","","91174","MarketplaceFacilitator","18,48","3,51","0","0","0","0","0","0","-3,51","0","-4,97","0","0","13,51"
"02.05.2025 01:32:01 UTC","24682851202","Bestellung","306-6291137-1925902","SP-PINGPONGSETS","Ping Pong Paddles Set, Professionelle Tischtennisschläger und Bälle, einziehbares Netz mit Pfosten und Aufbewahrungskoffer, Pingpong Paddel und Spie","1","amazon.de","Amazon","Fladungen","","97650","MarketplaceFacilitator","18,48","3,51","0","0","0","0","0","0","-3,51","0","-4,97","0","0","13,51"
"02.05.2025 01:57:37 UTC","24682851202","Bestellung","303-8546044-6988350","SP-PINGPONGSETS","Ping Pong Paddles Set, Professionelle Tischtennisschläger und Bälle, einziehbares Netz mit Pfosten und Aufbewahrungskoffer, Pingpong Paddel und Spie","1","amazon.de","Amazon","Potsdam","Brandenburg","14480","MarketplaceFacilitator","18,48","3,51","0","0","0","0","0","0","-3,51","0","-4,97","0","0","13,51"
"02.05.2025 02:47:07 UTC","24682851202","Bestellung","028-1434258-0375558","COY-POLES","TrailBuddy Walking-Stöcke - Teleskop-Wanderstöcke für Damen & Herren - 62-137 cm - Ultraleichte Trekkingstöcke aus 7075 Aluminium - 1 Paar (Pflaum","1","amazon.de","Amazon","Chemnitz","","09120","MarketplaceFacilitator","29,40","5,59","0","0","0","0","0","0","-5,59","0","-4,91","0","0","24,49"
"02.05.2025 02:50:39 UTC","24682851202","Bestellung","304-3186520-7923557","COY-POLES","TrailBuddy Walking-Stöcke - Teleskop-Wanderstöcke für Damen & Herren - 62-137 cm - Ultraleichte Trekkingstöcke aus 7075 Aluminium - 1 Paar (Pflaum","1","amazon.de","Amazon","Niesky","","02906","MarketplaceFacilitator","30,24","5,75","1,12","0,21","0","0","-1,12","-0,21","-5,75","0","-4,91","0","0","25,33"
"02.05.2025 05:32:37 UTC","24682851202","Anpassung","306-9179685-3912313","SP-POLES","Versand durch Amazon Erstattung für Lagerbestand - Kundenrücksendung","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","14,12","14,12"
"02.05.2025 06:01:33 UTC","24682851202","Servicegebühr","","","Werbekosten","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-281,33","0","-281,33"
"02.05.2025 06:11:39 UTC","24682851202","Bestellung","028-8199030-6316364","SP-BANDSSET-BE4","Ceciliec Bänder zur Einschränkung der Durchblutung für Arme, Beine und Gesäßmuskeln, extra breite 5,1 cm Gurte für Okklusionstraining, Schnellve","1","amazon.de","Amazon","Wien","","1040","MarketplaceFacilitator","10,92","2,18","0","0","0","0","0","0","-2,18","0","-3,42","0","0","7,50"
"02.05.2025 06:43:58 UTC","24682851202","Bestellung","028-8490187-2070728","COY-POLES","TrailBuddy Walking-Stöcke - Teleskop-Wanderstöcke für Damen & Herren - 62-137 cm - Ultraleichte Trekkingstöcke aus 7075 Aluminium - 1 Paar (Pflaum","1","amazon.de","Amazon","Krölpa","","07387","MarketplaceFacilitator","29,40","5,59","0","0","0","0","0","0","-5,59","0","-4,91","0","0","24,49"
"02.05.2025 06:43:58 UTC","24682851202","Bestellung","304-7364250-0953103","COY-POLES","TrailBuddy Walking-Stöcke - Teleskop-Wanderstöcke für Damen & Herren - 62-137 cm - Ultraleichte Trekkingstöcke aus 7075 Aluminium - 1 Paar (Pflaum","1","amazon.de","Amazon","ostrhauderfehn","","26842","MarketplaceFacilitator","29,40","5,59","0","0","0","0","0","0","-5,59","0","-4,91","0","0","24,49"
"02.05.2025 08:18:23 UTC","24682851202","Bestellung","306-5136718-2269124","COY-POLES","TrailBuddy Walking-Stöcke - Teleskop-Wanderstöcke für Damen & Herren - 62-137 cm - Ultraleichte Trekkingstöcke aus 7075 Aluminium - 1 Paar (Pflaum","1","amazon.de","Amazon","Erftstadt","Nrw","50374","MarketplaceFacilitator","29,40","5,59","0","0","0","0","0","0","-5,59","0","-5,20","0","0","24,20"
"02.05.2025 08:23:43 UTC","24682851202","Bestellung","028-5437942-6861131","COY-POLES","TrailBuddy Walking-Stöcke - Teleskop-Wanderstöcke für Damen & Herren - 62-137 cm - Ultraleichte Trekkingstöcke aus 7075 Aluminium - 1 Paar (Pflaum","1","amazon.de","Amazon","Hamburg","Hamburg","22391","MarketplaceFacilitator","29,40","5,59","0","0","0","0","0","0","-5,59","0","-5,20","0","0","24,20"
"02.05.2025 10:52:26 UTC","24682851202","Bestellung","028-8476479-1181137","COY-POLES","TrailBuddy Walking-Stöcke - Teleskop-Wanderstöcke für Damen & Herren - 62-137 cm - Ultraleichte Trekkingstöcke aus 7075 Aluminium - 1 Paar (Pflaum","1","amazon.de","Amazon","Berlin","","13055","MarketplaceFacilitator","29,40","5,59","0","0","0","0","0","0","-5,59","0","-5,20","0","0","24,20"
"02.05.2025 13:38:59 UTC","24682851202","Erstattung","028-4194660-8829129","SP-BACKPACK-YE25L","Ceciliec Fahrradtasche - Gepäckträger Tasche & Fahrrad Rucksack Wasserdicht - Gepäckträgertasche zum Umhängen (Gelb, 25L)","1","amazon.de","Amazon","Naumburg (saale)","","06618","MarketplaceFacilitator","-18,48","-3,51","0","0","0","0","0","0","3,51","1,41","0","0","0","-17,07"
