"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Nov 1, 2025 12:09:34 AM PDT","24875856071","Order","111-8651766-7641058","ECE-AViolinCVN300-4/4","Ceciliec 4/4 Violin For Beginners, CVN-300 Full Size Fiddle Set For Student, Solidwood Ebony Fitted Beginner Starter Violins Kit with Hard Case, Rosin","1","amazon.com","Standard Orders","Amazon","CHINO","CA","91708","MarketplaceFacilitator","67.99","5.95","0","0","0","0","0","0","0","0","-5.95","-10.20","-15.97","0","0","41.82"
"Nov 1, 2025 1:08:18 AM PDT","24875856071","Order","112-5285430-1346668","ECE-Viola-CVA400-12In","Ceciliec Beginner Viola Set (CVA-400) - Solid Wood Acoustic Viola with Hard Case, Bow, Rosin - Perfect for Students, Music Classes & Gifts,12 Inch","1","amazon.com","Standard Orders","Amazon","IRVINE","CA","92602","MarketplaceFacilitator","85.99","6.66","0","0","0","0","0","0","0","0","-6.66","-12.90","-15.21","0","0","57.88"
"Nov 1, 2025 1:27:23 AM PDT","24875856071","Order","113-3735896-2557018","ECE-Violin-3/4CVN300","Ceciliec 3/4 Acoustic Violin, Solidwood Ebony Fitted Violin with Case, 2 Bows, Bridge, Rosin - Stringed Musical Instruments","1","amazon.com","Standard Orders","Amazon","NEW YORK","NY","10003","MarketplaceFacilitator","72.99","6.48","0","0","0","0","0","0","0","0","-6.48","-10.95","-15.97","0","0","46.07"
"Nov 1, 2025 1:44:04 AM PDT","24875856071","Order","114-1029057-0563440","ECE-Ecello1-4/4Mh","Ceciliec Electric Cello, 4/4 Full Size Silent Cello with Headphone Jack & Carry Bag, Professional Cello for Beginners/Adults - Includes Bow Rosin","1","amazon.com","Standard Orders","Amazon","SAN ANTONIO","TX","78201","MarketplaceFacilitator","259.99","0","0","0","0","0","0","0","0","0","0","-39.00","-63.84","0","0","157.15"
"Nov 1, 2025 7:57:27 AM PDT","24875856071","Order","114-4737716-5007423","ECE-Violin-3/4CVN300","Ceciliec 3/4 Acoustic Violin, Solidwood Ebony Fitted Violin with Case, 2 Bows, Bridge, Rosin - Stringed Musical Instruments","1","amazon.com","Standard Orders","Amazon","MONSEY","NY","10952","MarketplaceFacilitator","72.99","6.11","0","0","0","0","0","0","0","0","-6.11","-10.95","-15.97","0","0","46.07"
"Nov 1, 2025 1:04:06 PM PDT","24875856071","FBA Inventory Fee","111-7583701-4147461","","FBA Removal Order: Disposal Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-10.04","-10.04"
"Nov 1, 2025 11:42:58 PM PDT","24875856071","Order","114-6518371-4476208","ECE-AViolinCVN300-4/4","Ceciliec 4/4 Violin For Beginners, CVN-300 Full Size Fiddle Set For Student, Solidwood Ebony Fitted Beginner Starter Violins Kit with Hard Case, Rosin","1","amazon.com","Standard Orders","Amazon","PITTSBURGH","PA","15221","MarketplaceFacilitator","67.99","4.08","0","0","0","0","0","0","0","0","-4.08","-10.20","-15.97","0","0","41.82"
"Nov 2, 2025 1:27:17 AM PDT","24730309011","Order","112-6449483-7873831","ECE-ViolaMA350-15InSt","Ceciliec 15 Inch MA350 Acoustic Viola, Satin Antique Solid Wood Viola with Case, Bow, Rosin, Musical Instrument Student Viola Set for Beginners Adults","1","amazon.com","Invoiced Orders","Amazon","Elk Grove","CA","95757","MarketplaceFacilitator","104.49","9.14","0","0","0","0","0","0","0","0","-9.14","-15.67","-17.21","0","0","71.61"
"Nov 2, 2025 2:23:15 AM PST","24875856071","Refund","111-5148795-7973831","Eviolin4/4CEVN-32inch-White","Ceciliec Electric Violin, Solid 4/4 Full Size Silent Violin Fiddle with Ebony Fittings, Beginner Violin with Case, Bow, Rosin, Aux Cable, and Headphon","1","amazon.com","Standard Orders","Amazon","BALL GROUND","GA","30107","MarketplaceFacilitator","-69.99","-4.90","0","0","0","0","0","0","0","0","4.90","8.40","0","0","0","-61.59"
"Nov 2, 2025 3:02:32 AM PST","24875856071","Order","113-4255463-2040207","ECE-Viola-CVA400-12In","Ceciliec Beginner Viola Set (CVA-400) - Solid Wood Acoustic Viola with Hard Case, Bow, Rosin - Perfect for Students, Music Classes & Gifts,12 Inch","1","amazon.com","Standard Orders","Amazon","TUCSON","AZ","85704","MarketplaceFacilitator","82.99","5.06","0","0","0","0","0","0","0","0","-5.06","-12.45","-15.21","0","0","55.33"
"Nov 2, 2025 5:21:15 AM PST","24875856071","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-188.78","0","-188.78"
"Nov 2, 2025 5:25:02 AM PST","24875856071","Order","111-5148795-7973831","Eviolin4/4CEVN-32inch-White","Ceciliec Electric Violin, Solid 4/4 Full Size Silent Violin Fiddle with Ebony Fittings, Beginner Violin with Case, Bow, Rosin, Aux Cable, and Headphon","1","amazon.com","Standard Orders","Amazon","BALL GROUND","GA","30107","MarketplaceFacilitator","69.99","4.90","0","0","0","0","0","0","0","0","-4.90","-10.50","-16.46","0","0","43.03"
"Nov 2, 2025 6:14:02 AM PST","24875856071","Order","114-0520482-0999435","ECE-AViolinCVN300-4/4","Ceciliec 4/4 Violin For Beginners, CVN-300 Full Size Fiddle Set For Student, Solidwood Ebony Fitted Beginner Starter Violins Kit with Hard Case, Rosin","1","amazon.com","Standard Orders","Amazon","MANTECA","CA","95337","MarketplaceFacilitator","67.99","6.12","0","0","0","0","0","0","0","0","-6.12","-10.20","-15.97","0","0","41.82"
"Nov 2, 2025 6:53:45 AM PST","24875856071","Order","113-4350379-5385817","ECE-AViolin-4/4Satin","Ceciliec Acoustic Violin 4/4 Full Size, Solid Wood Fiddle for Beginners Adults, Ebony Fitted Satin Antique Finish Violin Starter Kit with Hard Case","1","amazon.com","Standard Orders","Amazon","NEW YORK","NY","10014","MarketplaceFacilitator","68.99","6.12","0","0","0","0","0","0","0","0","-6.12","-10.35","-15.59","0","0","43.05"
"Nov 2, 2025 7:42:38 AM PST","24875856071","Order","114-5945689-0121014","Violin-1/4MV200-18inch","Ceciliec1/4 Acoustic Violin Kit for Beginners Student with Bow, Extra Strings, Rosin and Hard Case, Birthday Gift","1","amazon.com","Standard Orders","Amazon","LOUISVILLE","KY","40299","MarketplaceFacilitator","68.99","4.14","0","0","0","0","0","0","0","0","-4.14","-10.35","-14.83","0","0","43.81"
"Nov 2, 2025 2:29:04 PM PST","24875856071","Refund","113-9896025-0997001","ECE-AViolin-4/4Satin","Ceciliec Acoustic Violin 4/4 Full Size, Solid Wood Fiddle for Beginners Adults, Ebony Fitted Satin Antique Finish Violin Starter Kit with Hard Case","1","amazon.com","Standard Orders","Amazon","INKSTER","MI","48141","MarketplaceFacilitator","-68.99","-4.14","0","0","0","0","0","0","0","0","4.14","8.28","0","0","0","-60.71"
"Nov 2, 2025 3:12:54 PM PST","24875856071","FBA Inventory Fee","113-4581525-9942646","","FBA Removal Order: Disposal Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-10.04","-10.04"
"Nov 2, 2025 10:25:28 PM PST","24875856071","Order","112-4521477-2522654","Eviolin4/4CEVN-32inch-White","Ceciliec Electric Violin, Solid 4/4 Full Size Silent Violin Fiddle with Ebony Fittings, Beginner Violin with Case, Bow, Rosin, Aux Cable, and Headphon","1","amazon.com","Standard Orders","Amazon","NORTH RIDGEVILLE","OH","44039","MarketplaceFacilitator","69.99","4.55","6.99","0","0","0","0","0","-6.99","0","-4.55","-10.50","-16.46","0","0","43.03"
"Nov 2, 2025 11:12:38 PM PST","24875856071","Order","113-9896025-0997001","ECE-AViolin-4/4Satin","Ceciliec Acoustic Violin 4/4 Full Size, Solid Wood Fiddle for Beginners Adults, Ebony Fitted Satin Antique Finish Violin Starter Kit with Hard Case","1","amazon.com","Standard Orders","Amazon","INKSTER","MI","48141","MarketplaceFacilitator","68.99","4.14","0","0","0","0","0","0","0","0","-4.14","-10.35","-15.59","0","0","43.05"
"Nov 2, 2025 11:14:18 PM PST","24875856071","Order","114-1445225-4932228","ECE-AViolinCVN300-4/4","Ceciliec 4/4 Violin For Beginners, CVN-300 Full Size Fiddle Set For Student, Solidwood Ebony Fitted Beginner Starter Violins Kit with Hard Case, Rosin","1","amazon.com","Standard Orders","Amazon","TOWNSEND","DE","19734","","67.99","0","0","0","0","0","0","0","0","0","0","-10.20","-15.97","0","0","41.82"
"Nov 2, 2025 11:14:33 PM PST","24875856071","Order","112-7556725-4170602","Eviolin4/4CEVN-32inch-Blue","Ceciliec Electric Violin, 4/4 Full Size Silent Violin Fiddle with Ebony Fittings, Metallic Varnish Violin for Beginners Students (Metallic Blue)","1","amazon.com","Standard Orders","Amazon","SAN DIEGO","CA","92105","MarketplaceFacilitator","68.99","5.35","0","0","0","0","0","0","0","0","-5.35","-10.35","-16.35","0","0","42.29"
"Nov 3, 2025 1:04:25 AM PST","24875856071","Order","112-8459733-9492240","ECE-AViolin-4/4Satin","Ceciliec Acoustic Violin 4/4 Full Size, Solid Wood Fiddle for Beginners Adults, Ebony Fitted Satin Antique Finish Violin Starter Kit with Hard Case","1","amazon.com","Standard Orders","Amazon","DUNCAN","SC","29334","MarketplaceFacilitator","68.99","4.83","0","0","0","0","0","0","0","0","-4.83","-10.35","-15.59","0","0","43.05"
"Nov 3, 2025 2:32:08 AM PST","24875856071","Order","111-9434896-3829803","ECE-AViolinCVN300-4/4","Ceciliec 4/4 Violin For Beginners, CVN-300 Full Size Fiddle Set For Student, Solidwood Ebony Fitted Beginner Starter Violins Kit with Hard Case, Rosin","1","amazon.com","Standard Orders","Amazon","SALISBURY","NC","28147","MarketplaceFacilitator","67.99","4.76","0","0","0","0","0","0","0","0","-4.76","-10.20","-15.97","0","0","41.82"
