"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"30 Sept 2025 23:15:24 UTC","25699800582","Order","204-0920360-2285165","Wooden Hangers-0821","Wide Shoulder Wooden Hangers Coat Hangers High-Grade Smooth Finish Non Slip Wide Shoulder Hangers for Clothes 6 Pack, for Closet, Jacket, Dressed, Hol","1","amazon.co.uk","Amazon","CAMBRIDGE","","CB1 2","MarketplaceFacilitator","15.82","3.17","0","0","0","0","0","0","-3.17","-2.85","-4.99","-0.16","0","7.82"
"30 Sept 2025 23:27:27 UTC","25699800582","Order","204-4892911-3129902","Wooden Hangers-0821","Wide Shoulder Wooden Hangers Coat Hangers High-Grade Smooth Finish Non Slip Wide Shoulder Hangers for Clothes 6 Pack, for Closet, Jacket, Dressed, Hol","1","amazon.co.uk","Amazon","LONDON","","NW3 6","MarketplaceFacilitator","15.82","3.17","1.25","0.25","0","0","-1.25","-0.25","-3.17","-2.85","-4.99","-0.16","0","7.82"
"30 Sept 2025 23:29:03 UTC","25699800582","Order","206-9707445-8825116","Adirondack Chair Cushion-0409","Ptsuker Adirondack Chair Cushion - High Back Patio Chair Cushion for Outdoor Furniture - Outdoor Chair Cushions for Rocking Chairs, Front Porch, Yard","1","amazon.co.uk","Seller","CANTERBURY","","CT1 2","MarketplaceFacilitator","27.49","5.50","0","0","0","0","0","0","-5.50","0","0","0","0","27.49"
"30 Sept 2025 23:37:32 UTC","25699800582","Order","205-3815019-2847538","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","London","","E16 1","MarketplaceFacilitator","12.49","2.50","0","0","0","0","0","0","-2.50","-2.25","-3.26","-0.12","0","6.86"
"1 Oct 2025 00:15:27 UTC","25699800582","Order","204-4158266-2999543","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","Bolton","North West","BL5 1","","12.49","2.50","0","0","0","0","0","0","0","0","-3.26","0","0","11.73"
"1 Oct 2025 06:50:41 UTC","25699800582","Order","202-1260411-7321907","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","WIDNES","","WA8 7","MarketplaceFacilitator","12.49","2.50","0.27","0.06","0","0","-0.27","-0.06","-2.50","-2.25","-3.26","-0.12","0","6.86"
"1 Oct 2025 10:20:23 UTC","25699800582","Order","206-1207690-6137125","FBM-Kitchen Utensil Set","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Seller","Liverpool","","L3 8","MarketplaceFacilitator","11.66","2.33","0","0","0","0","0","0","-2.33","0","0","0","0","11.66"
"1 Oct 2025 11:39:48 UTC","25699800582","Order","205-5997940-8684330","Gardeners Box-1029","Garden Tools Set, Gardening Sets with Wooden Tool Box, Garden Tools and Equipment, Gardening Gifts for Men, for Mum, Gran, Father","1","amazon.co.uk","Seller","AMESBURY","Wiltshire","SP4 7","MarketplaceFacilitator","10.82","2.17","0","0","0","0","0","0","-2.17","0","0","0","0","10.82"
"1 Oct 2025 14:29:36 UTC","25699800582","Order","203-9798691-2788344","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","ACCRINGTON","","BB5 6","MarketplaceFacilitator","12.49","2.50","0","0","0","0","0","0","-2.50","-2.25","-3.26","-0.12","0","6.86"
"1 Oct 2025 14:44:42 UTC","25699800582","Order","203-8276961-1655530","Wooden Hangers-0821","Wide Shoulder Wooden Hangers Coat Hangers High-Grade Smooth Finish Non Slip Wide Shoulder Hangers for Clothes 6 Pack, for Closet, Jacket, Dressed, Hol","1","amazon.co.uk","Amazon","Cambridge","Cambridgeshire","CB19","MarketplaceFacilitator","15.82","3.17","0","0","0","0","0","0","-3.17","-2.85","-4.99","-0.16","0","7.82"
"1 Oct 2025 15:10:40 UTC","25699800582","Order","202-5272864-8989937","FBM-Kitchen Utensil Set","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Seller","ISLEWORTH","","TW7 4","MarketplaceFacilitator","11.66","2.33","0","0","0","0","0","0","-2.33","0","0","0","0","11.66"
"1 Oct 2025 15:13:24 UTC","25699800582","Order","202-2143671-0351525","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","NOTTINGHAM","","NG7 1","MarketplaceFacilitator","12.49","2.50","0.53","0.11","0","0","-0.53","-0.11","-2.50","-2.25","-3.26","-0.12","0","6.86"
"1 Oct 2025 15:33:42 UTC","25699800582","Order","203-1333486-7006769","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","Colchester","","CO4 9","MarketplaceFacilitator","12.49","2.50","0","0","0","0","0","0","-2.50","-2.25","-3.26","-0.12","0","6.86"
"1 Oct 2025 15:36:58 UTC","25699800582","Order","026-0548915-6337144","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","PRESTEIGNE","","LD8 2","MarketplaceFacilitator","12.49","2.50","0","0","0","0","0","0","-2.50","-2.25","-3.26","-0.12","0","6.86"
"1 Oct 2025 16:07:29 UTC","25699800582","Order","026-8184072-4896302","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","Caersws","Powys","SY17 5","MarketplaceFacilitator","12.49","2.50","0","0","0","0","0","0","-2.50","-2.25","-3.26","-0.12","0","6.86"
"1 Oct 2025 16:41:45 UTC","25699800582","Order","204-4232176-7589966","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","HALESWORTH","","IP19 9","MarketplaceFacilitator","12.49","2.50","0","0","0","0","0","0","-2.50","-2.25","-3.26","-0.12","0","6.86"
"1 Oct 2025 16:59:00 UTC","25699800582","Order","203-4841777-6218739","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","LONDON","","N1 7","MarketplaceFacilitator","12.49","2.50","0.56","0.11","0","0","-0.56","-0.11","-2.50","-2.25","-3.26","-0.12","0","6.86"
"1 Oct 2025 17:21:49 UTC","25699800582","Order","203-5717418-2305911","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","Wembley","","HA9 0","MarketplaceFacilitator","12.49","2.50","0.42","0.08","0","0","-0.42","-0.08","-2.50","-2.25","-3.26","-0.12","0","6.86"
"1 Oct 2025 18:42:48 UTC","25699800582","Order","203-1979349-4609119","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","DURSLEY","Gloucestershire","GL11 6","MarketplaceFacilitator","12.49","2.50","0","0","0","0","0","0","-2.50","-2.25","-3.26","-0.12","0","6.86"
"1 Oct 2025 18:58:42 UTC","25699800582","Order","204-0229584-2035518","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","CARDIFF","","CF24 0","MarketplaceFacilitator","12.49","2.50","1.24","0.25","0","0","-1.24","-0.25","-2.50","-2.25","-3.26","-0.12","0","6.86"
"1 Oct 2025 19:21:00 UTC","25699800582","Order","204-7610362-8898735","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","Derby","England","DE74 2","","12.49","2.50","0","0","0","0","0","0","0","-2.25","-3.26","0","0","9.48"
"1 Oct 2025 19:24:10 UTC","25699800582","Order","203-9673470-0217945","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","PONTYPRIDD","","CF37 1","MarketplaceFacilitator","12.49","2.50","1.38","0.28","0","0","0","0","-2.78","-2.25","-4.64","-0.15","0","6.83"
"1 Oct 2025 19:28:33 UTC","25699800582","Order","204-9188633-8722706","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","Bolton","North West","BL5 1","","12.49","2.50","0","0","0","0","0","0","0","-2.25","-3.26","0","0","9.48"
"1 Oct 2025 19:43:34 UTC","25699800582","Order","026-6844149-7861910","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","EGHAM","","TW20 0","MarketplaceFacilitator","12.49","2.50","0.23","0.05","0","0","-0.23","-0.05","-2.50","-2.25","-3.26","-0.12","0","6.86"
"1 Oct 2025 19:45:47 UTC","25699800582","Order","204-0532534-3203566","Wooden Hangers-0821","Wide Shoulder Wooden Hangers Coat Hangers High-Grade Smooth Finish Non Slip Wide Shoulder Hangers for Clothes 6 Pack, for Closet, Jacket, Dressed, Hol","1","amazon.co.uk","Amazon","NORTH BERWICK","East Lothian","EH39 5","MarketplaceFacilitator","15.82","3.17","0","0","0","0","0","0","-3.17","-2.85","-4.99","-0.16","0","7.82"
"1 Oct 2025 20:01:41 UTC","25699800582","Order","206-7442424-9336357","Camping Tarp-1213","Camping Tarp Waterproof Rain Fly Tarp for Hammock and Shelter Camping Accessories with Tent Stakes and Carry Bag","1","amazon.co.uk","Amazon","HAILSHAM","East Sussex","BN27 1","MarketplaceFacilitator","18.32","3.67","0","0","0","0","0","0","-3.67","-3.30","-3.15","-0.13","0","11.74"
"1 Oct 2025 20:09:08 UTC","25699800582","Order","202-5709194-5438737","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","LONDON","","SW13 0","MarketplaceFacilitator","12.49","2.50","0.56","0.11","0","0","-0.56","-0.11","-2.50","-2.25","-3.26","-0.12","0","6.86"
"1 Oct 2025 20:13:46 UTC","25699800582","Order","203-8344232-4214750","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","BIRMINGHAM","","B29 7","MarketplaceFacilitator","12.49","2.50","0.15","0.03","0","0","-0.15","-0.03","-2.50","-2.25","-3.26","-0.12","0","6.86"
"1 Oct 2025 20:14:12 UTC","25699800582","Order","203-7549010-8268318","Wooden Hangers-0821","Wide Shoulder Wooden Hangers Coat Hangers High-Grade Smooth Finish Non Slip Wide Shoulder Hangers for Clothes 6 Pack, for Closet, Jacket, Dressed, Hol","2","amazon.co.uk","Amazon","HILLSBOROUGH","","BT26 6","","36.86","0","0.56","0","0","0","-0.56","0","0","-5.52","-9.98","-0.31","0","21.05"
"1 Oct 2025 20:44:31 UTC","25699800582","Order","204-7582702-2482700","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","LEEDS","LEEDS","LS9 0","","12.49","2.50","0","0","0","0","0","0","0","0","-3.26","0","0","11.73"
"1 Oct 2025 20:52:54 UTC","25699800582","Order","204-2932477-7211528","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","GLASGOW","","G4 0","MarketplaceFacilitator","12.49","2.50","2.07","0.42","0","0","0","0","-2.92","-2.25","-5.33","-0.16","0","6.82"
"1 Oct 2025 20:59:35 UTC","25699800582","Order","026-1954964-9399541","FBM-Kitchen Utensil Set","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Seller","SOUTHAMPTON","","SO19 9","MarketplaceFacilitator","11.66","2.33","0","0","0","0","0","0","-2.33","-0.30","0","-0.01","0","11.35"
"1 Oct 2025 21:18:17 UTC","25699800582","Order","026-2411353-0767522","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","SWADLINCOTE","","DE12 6","MarketplaceFacilitator","12.49","2.50","0","0","0","0","0","0","-2.50","-2.25","-3.26","-0.12","0","6.86"
"1 Oct 2025 21:24:50 UTC","25699800582","Order","206-7467933-6926765","Wooden Hangers-0821","Wide Shoulder Wooden Hangers Coat Hangers High-Grade Smooth Finish Non Slip Wide Shoulder Hangers for Clothes 6 Pack, for Closet, Jacket, Dressed, Hol","1","amazon.co.uk","Amazon","LONDON","","EC1A 7","MarketplaceFacilitator","15.82","3.17","0","0","0","0","0","0","-3.17","-2.85","-4.99","-0.16","0","7.82"
"1 Oct 2025 21:26:11 UTC","25699800582","Order","203-2860106-4013967","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","WADEBRIDGE","","PL27 7","MarketplaceFacilitator","12.49","2.50","0","0","0","0","0","0","-2.50","-2.25","-3.26","-0.12","0","6.86"
"1 Oct 2025 21:37:09 UTC","25699800582","Order","206-5431378-7517962","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","LONDON","","EC1M 5","MarketplaceFacilitator","12.49","2.50","0","0","0","0","0","0","-2.50","-2.25","-3.26","-0.12","0","6.86"
"1 Oct 2025 21:37:47 UTC","25699800582","Order","202-5940452-5696348","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","NORTHAMPTON","","NN1 5","MarketplaceFacilitator","12.49","2.50","0","0","0","0","0","0","-2.50","-2.25","-3.26","-0.12","0","6.86"
"1 Oct 2025 21:47:22 UTC","25699800582","Order","204-1925223-7681159","Wooden Hangers-0821","Wide Shoulder Wooden Hangers Coat Hangers High-Grade Smooth Finish Non Slip Wide Shoulder Hangers for Clothes 6 Pack, for Closet, Jacket, Dressed, Hol","1","amazon.co.uk","Amazon","SWINDON","SWINDON","SN3 4","","15.82","3.17","0","0","0","0","0","0","0","0","-4.99","0","0","14.00"
"1 Oct 2025 21:55:24 UTC","25699800582","Order","204-0319368-0527546","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","CANTERBURY","","CT2 7","","14.69","0","0","0","0","0","0","0","0","-2.20","-3.26","-0.11","0","9.12"
"1 Oct 2025 21:57:06 UTC","25699800582","Order","204-3031065-3899568","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","LONDON","","W9 3","MarketplaceFacilitator","12.49","2.50","0.56","0.11","0","0","-0.56","-0.11","-2.50","-2.25","-3.26","-0.12","0","6.86"
"1 Oct 2025 21:57:07 UTC","25699800582","Order","206-3850003-2357918","Wooden Hangers-0821","Wide Shoulder Wooden Hangers Coat Hangers High-Grade Smooth Finish Non Slip Wide Shoulder Hangers for Clothes 6 Pack, for Closet, Jacket, Dressed, Hol","1","amazon.co.uk","Amazon","HEMEL HEMPSTEAD","","HP2 4","MarketplaceFacilitator","15.82","3.17","0","0","0","0","0","0","-3.17","-2.85","-4.99","-0.16","0","7.82"
"1 Oct 2025 22:04:06 UTC","25699800582","Order","204-5779846-2720305","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","CANNOCK","","WS12 1","MarketplaceFacilitator","12.49","2.50","0.83","0.17","0","0","-0.83","-0.17","-5.00","-4.50","-3.26","-0.16","0","2.07"
"1 Oct 2025 22:04:06 UTC","25699800582","Order","204-5779846-2720305","Kitchen Utensil Set-0820","Stainless-Steel Kitchen Utensil Set - 10-Piece Premium Nonstick & Heat Resistant Gadgets, Turner, Spaghetti Server, Ladle, Serving Spoons, Whisk, Tong","1","amazon.co.uk","Amazon","CANNOCK","","WS12 1","","12.49","2.50","0.82","0.17","0","0","-0.82","-0.17","0","0","-3.26","-0.07","0","11.66"
