"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"30.09.2025 22:25:50 UTC","25667441272","Bestellung","304-0112410-7986729","Z4-Z3LK-N33E","750 ml Isolierflasche aus Edelstahl - Dreifachwandige Trinkflasche mit Strohhalm & 3 auslaufsicheren Verschlüssen - Für Reisen, Schule, Sport, Fitne","1","amazon.de","Amazon","Mannheim","","68167","MarketplaceFacilitator","9,24","1,75","0","0","0","0","0","0","-1,75","0","-3,67","0","0","5,57"
"30.09.2025 23:52:47 UTC","25667441272","Bestellung","303-4480224-2937935","G4-LQRJ-2FKH","750 ml Isolierflasche aus Edelstahl - Dreifachwandige Trinkflasche mit Strohhalm & 3 auslaufsicheren Verschlüssen - Für Reisen, Schule, Sport, Fitne","1","amazon.de","Amazon","Seevetal","","21217","MarketplaceFacilitator","9,24","1,75","0","0","0","0","0","0","-1,75","0","-3,67","0","0","5,57"
"01.10.2025 14:16:02 UTC","25667441272","Bestellung","306-9473688-2229116","G4-LQRJ-2FKH","750 ml Isolierflasche aus Edelstahl - Dreifachwandige Trinkflasche mit Strohhalm & 3 auslaufsicheren Verschlüssen - Für Reisen, Schule, Sport, Fitne","1","amazon.de","Amazon","Leezdorf","","26529","MarketplaceFacilitator","9,24","1,75","0","0","0","0","0","0","-1,75","0","-3,67","0","0","5,57"
"01.10.2025 14:38:02 UTC","25667441272","Bestellung","305-6671985-5191518","G9-6500-3OTP","Handbetriebene Eiscrusher aus verchromter Zinklegierung - Robuste Edelstahlklingen, rutschfeste Basis, inkl. großem Eisbehälter und Löffel - Ideal","1","amazon.de","Amazon","LAUTA","Sachsen","02991","MarketplaceFacilitator","16,79","3,19","1,67","0,32","0","0","0","0","-3,51","0","-6,64","0","0","11,82"
"01.10.2025 15:10:45 UTC","25667441272","Bestellung","302-7234436-5872315","8G-7FYG-3L1Z","750 ml Isolierflasche aus Edelstahl - Dreifachwandige Trinkflasche mit Strohhalm & 3 auslaufsicheren Verschlüssen - Für Reisen, Schule, Sport, Fitne","1","amazon.de","Amazon","berlin","","13589","MarketplaceFacilitator","9,24","1,75","0","0","0","0","0","0","-1,75","0","-3,67","0","0","5,57"
"01.10.2025 16:51:29 UTC","25667441272","Bestellung","028-6639369-3827566","VT-W5JQ-VSFK","8-teiliges Cocktail-Set - Edelstahl-Shaker, Messbecher, Sieb, Rührlöffel, Zange, Flaschenöffner, Holzständer & Rezeptkarten Partys und Feiertage (","1","amazon.de","Amazon","Lippetal","","59510","MarketplaceFacilitator","14,27","2,71","0","0","0","0","0","0","-2,71","0","-3,67","0","0","10,60"
"01.10.2025 18:28:46 UTC","25667441272","Bestellung","028-5748578-9717158","05-BSK6-Z806","750 ml Isolierflasche aus Edelstahl - Dreifachwandige Trinkflasche mit Strohhalm & 3 auslaufsicheren Verschlüssen - Für Reisen, Schule, Sport, Fitne","1","amazon.de","Amazon","Kaiserslautern","Rhineland-Palatinate","67661","","9,24","1,75","0","0","0","0","0","0","0","0","-3,67","0","0","7,32"
"01.10.2025 20:12:49 UTC","25667441272","Bestellung","305-3367416-3917925","WI-5UEK-15I9","750 ml Isolierflasche aus Edelstahl - Dreifachwandige Trinkflasche mit Strohhalm & 3 auslaufsicheren Verschlüssen - Für Reisen, Schule, Sport, Fitne","1","amazon.de","Amazon","Lemgo","Nordrhein-Westfalen","32657","MarketplaceFacilitator","9,24","1,75","0","0","0","0","0","0","-1,75","0","-3,90","0","0","5,34"
"01.10.2025 20:54:44 UTC","25667441272","Bestellung","306-1002650-1777115","HS-Q4IY-Y7G3","750 ml Isolierflasche aus Edelstahl - Dreifachwandige Trinkflasche mit Strohhalm & 3 auslaufsicheren Verschlüssen - Für Reisen, Schule, Sport, Fitne","2","amazon.de","Amazon","Karlsruhe","","76133","MarketplaceFacilitator","18,48","3,50","0","0","0","0","0","0","-3,50","0","-7,34","0","0","11,14"
"01.10.2025 21:08:35 UTC","25667441272","Bestellung","028-3431286-1793139","M5-YXCZ-3XDA","Küchenutensilien-Set - 10 Teile aus Edelstahl mit Löffeln, Schneebesen, Spatel, Zange, Schöpflöffel, Zerkleinerer und Ständer, Zubehör","1","amazon.de","Amazon","Würzburg","Bayern","97080","MarketplaceFacilitator","14,28","2,71","0,13","0,02","0","0","-0,13","-0,02","-2,71","0","-4,41","0","0","9,87"
