"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"1 nov. 2025 22:40:20 UTC","25814305132","Commande","406-7206957-0831511","M5-YXCZ-3XDA","Set d'ustensiles de cuisine - 10 pièces en acier inoxydable avec cuillères, fouet, spatule, pinces, louche, broyeur et support - Accessoires","1","amazon.fr","Amazon","Vertou","","44120","MarketplaceFacilitator","20,82","4,17","0","0","0","0","0","0","-4,17","-3,75","-11,06","-0,30","0","5,71"
"1 nov. 2025 23:38:40 UTC","25814305132","Commande","403-1742805-4856328","M5-YXCZ-3XDA","Set d'ustensiles de cuisine - 10 pièces en acier inoxydable avec cuillères, fouet, spatule, pinces, louche, broyeur et support - Accessoires","1","amazon.fr","Amazon","Strasbourg","FR","67100","MarketplaceFacilitator","20,82","4,17","0","0","0","0","0","0","-4,17","-3,75","-11,06","-0,30","0","5,71"
"3 nov. 2025 19:32:25 UTC","25814305132","Commande","407-6346853-2840336","M5-YXCZ-3XDA","Set d'ustensiles de cuisine - 10 pièces en acier inoxydable avec cuillères, fouet, spatule, pinces, louche, broyeur et support - Accessoires","1","amazon.fr","Amazon","VESANCY","","01170","MarketplaceFacilitator","20,82","4,17","0","0","0","0","0","0","-4,17","-3,75","-11,06","-0,30","0","5,71"
"7 nov. 2025 20:25:09 UTC","25814305132","Commande","402-1880126-6130700","M5-YXCZ-3XDA","Set d'ustensiles de cuisine - 10 pièces en acier inoxydable avec cuillères, fouet, spatule, pinces, louche, broyeur et support - Accessoires","1","amazon.fr","Amazon","LOUARGAT","","22540","MarketplaceFacilitator","20,82","4,17","0","0","0","0","0","0","-4,17","-3,75","-11,06","-0,30","0","5,71"
"11 nov. 2025 21:49:05 UTC","25906265742","Commande","406-4679428-0165144","M5-YXCZ-3XDA","Set d'ustensiles de cuisine - 10 pièces en acier inoxydable avec cuillères, fouet, spatule, pinces, louche, broyeur et support - Accessoires","1","amazon.fr","Amazon","Vertou","","44120","MarketplaceFacilitator","20,82","4,17","0","0","0","0","0","0","-4,17","-3,75","-11,06","-0,30","0","5,71"
"12 nov. 2025 04:25:19 UTC","25906265742","Transfert","","","Sur le compte se terminant par : 184","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-28,55","-28,55"
"22 nov. 2025 21:14:50 UTC","25906265742","Commande","406-1121083-0490735","M5-YXCZ-3XDA","Set d'ustensiles de cuisine - 10 pièces en acier inoxydable avec cuillères, fouet, spatule, pinces, louche, broyeur et support - Accessoires","1","amazon.fr","Amazon","Bailleval","","60140","MarketplaceFacilitator","20,82","4,17","0,15","0,03","0","0","-0,15","-0,03","-4,17","-3,75","-11,06","-0,30","0","5,71"
"25 nov. 2025 21:00:20 UTC","25991442332","Commande","171-9533149-7551550","M5-YXCZ-3XDA","Set d'ustensiles de cuisine - 10 pièces en acier inoxydable avec cuillères, fouet, spatule, pinces, louche, broyeur et support - Accessoires","1","amazon.fr","Amazon","TIGNES LE LAC","","73320","","20,82","0","0,16","0","0","0","-0,16","0","0","-3,75","-11,06","-0,30","0","5,71"
"26 nov. 2025 04:07:34 UTC","25991442332","Transfert","","","Sur le compte se terminant par : 184","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-11,42","-11,42"
"27 nov. 2025 22:29:48 UTC","25991442332","Commande","407-0314128-6985937","M5-YXCZ-3XDA","Set d'ustensiles de cuisine - 10 pièces en acier inoxydable avec cuillères, fouet, spatule, pinces, louche, broyeur et support - Accessoires","1","amazon.fr","Amazon","Vichy","","03200","MarketplaceFacilitator","20,82","4,17","1,11","0,22","0","0","-1,11","-0,22","-4,17","-3,75","-11,06","-0,30","0","5,71"
"29 nov. 2025 22:35:14 UTC","25991442332","Commande","406-7471749-0249961","M5-YXCZ-3XDA","Set d'ustensiles de cuisine - 10 pièces en acier inoxydable avec cuillères, fouet, spatule, pinces, louche, broyeur et support - Accessoires","1","amazon.fr","Amazon","JAILLANS","","26300","MarketplaceFacilitator","20,82","4,17","0","0","0","0","0","0","-4,17","-3,75","-11,06","-0,30","0","5,71"
