"Amazon 出品サービス、フルフィルメント by Amazon (FBA)"
"指定のない場合、単位は円"
"定義："
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計"
"2025/11/01 0:44:37 JST","12170577263","注文","503-8586483-7924646","Home-Fmat39BK","キッチンマット、多目的スタンディングマット 50x100cm 台所マット 19mm 分厚い - オフィス・車庫での快適さ - 滑�","3","amazon.jp","Amazon","","静岡県","420-085","","8,147","814","418","42","0","0","-90","-418","-42","0","0","-3,300","0","0","5,571"
"2025/11/01 3:56:21 JST","12170577263","注文","250-8293748-1340606","KnBraces-GY-L","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","2","amazon.jp","Amazon","","長野県","381-008","","835","83","0","0","0","0","-10","0","0","0","0","-504","0","0","404"
"2025/11/01 6:17:08 JST","12170577263","注文","250-0637293-9899836","Sport-Ball-Black","バランスボール 65cm - エクササイズボール トレーニング用 フィットネスボール ヨガボール アンチバースト ハ�","1","amazon.jp","Amazon","","Wakayama-ken","640-832","","1,363","136","0","0","0","0","-15","0","0","0","0","-485","0","0","999"
"2025/11/01 7:08:52 JST","12170577263","注文","249-0543716-5389449","KnBraces-GY-S","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","1","amazon.jp","Amazon","","兵庫県","670-001","","317","32","0","0","0","0","-7","0","0","0","0","-252","0","0","90"
"2025/11/01 7:35:02 JST","12170577263","注文","503-8988371-9296602","KnBraces-2BK-M","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","1","amazon.jp","Amazon","","北海道","059-151","","544","55","91","9","0","0","-6","-91","-9","0","0","-252","0","0","341"
"2025/11/01 7:59:48 JST","12170577263","注文","250-0157697-3991058","KnBraces-GY-M","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","1","amazon.jp","Amazon","","千葉県","277-001","","454","45","0","0","0","0","-5","0","0","0","0","-252","0","0","242"
"2025/11/01 8:32:53 JST","12170577263","注文","249-6305837-0095857","Mic-ArmStd-32.5","マイクスタンド マイクアームスタンド – マイクシザーブーム&クランプ - 標準的なショックマウントに対応 - �","1","amazon.jp","Amazon","","岡山県","709-082","","1,180","118","0","0","0","0","-13","0","0","0","0","-675","0","0","610"
"2025/11/01 8:48:41 JST","12170577263","注文","250-6436159-2372655","Sport-Ball-Black","バランスボール 65cm - エクササイズボール トレーニング用 フィットネスボール ヨガボール アンチバースト ハ�","1","amazon.jp","Amazon","","兵庫県","654-007","","1,363","136","0","0","0","0","-15","0","0","0","0","-485","0","0","999"
"2025/11/01 17:23:18 JST","12170577263","注文","250-2621417-7606238","KnBraces-GY-L","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","1","amazon.jp","Amazon","","大阪府","597-001","","417","42","0","0","0","0","-5","0","0","0","0","-252","0","0","202"
"2025/11/01 19:35:41 JST","12170577263","注文","503-4222875-9909420","KND-Bottles-6pcs","ガラス製ウォーターボトル 水筒 532ml ガラス 水筒 のクリアウォーターボトル 6本セット、ステンレス製密閉キャ","1","amazon.jp","Amazon","","北海道","060-006","","1,999","200","0","0","0","0","-22","0","0","0","0","-514","0","0","1,663"
"2025/11/02 0:56:22 JST","12170577263","注文","249-0810217-8494239","KnBraces-GY-S","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","1","amazon.jp","Amazon","","兵庫県","670-001","","317","32","0","0","0","0","-7","0","0","0","0","-252","0","0","90"
"2025/11/02 2:12:53 JST","12170577263","注文","503-3989876-0465402","Sport-Ball-Blue","バランスボール 65cm - 妊娠中 ヨガボール 破裂防止 エクササイズボール トレーニング用 フィットネスボール ア�","1","amazon.jp","Amazon","","岐阜県","509-014","","1,376","138","0","0","0","0","-15","0","0","0","0","-485","0","0","1,014"
"2025/11/02 2:39:53 JST","12170577263","注文","250-5958366-2289427","HN-CANU-NNSK","ポップガード 【二重張りメッシュ】ポップフィルター 直径15cm ノイズ防止 録音品質向上 ポップスクリーン ポ�","1","amazon.jp","Amazon","","北海道","004-086","","617","62","0","0","0","0","-7","0","0","0","0","-419","0","0","253"
"2025/11/02 3:35:49 JST","12170577263","注文","250-3728184-7083009","HN-CANU-NNSK","ポップガード 【二重張りメッシュ】ポップフィルター 直径15cm ノイズ防止 録音品質向上 ポップスクリーン ポ�","1","amazon.jp","Amazon","","茨城県","311-313","","617","62","0","0","0","0","-7","0","0","0","0","-419","0","0","253"
"2025/11/02 3:37:15 JST","12170577263","注文","249-9828595-3211061","KnBraces-GY-L","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","1","amazon.jp","Amazon","","東京都","145-006","","417","42","0","0","0","0","-5","0","0","0","0","-252","0","0","202"
