"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Nov 1, 2025 12:51:33 AM PDT","24951919101","Order","112-0547471-5646601","6PM-15-18""-Queen","SafeRest Zippered Mattress Protector - Premium 15-18 Inch Waterproof Mattress Cover for Bed - Breathable, Noiseless Washable Mattress Encasement - Que","1","amazon.com","Standard Orders","Amazon","MUNDELEIN","IL","60060","MarketplaceFacilitator","58.99","4.87","0","0","0","0","0","0","0","0","-4.87","-8.85","-7.87","0","0","42.27"
"Nov 1, 2025 12:53:56 AM PDT","24951919101","Order","113-3319030-0688260","GAW-Amberjar-8oz6pack","Amber Glass Jars 8 Ounce for Candle Making Straight Side For DIY Projects, Herbs, Homemade Cosmetics, Decorating, Storing, Overnight Oats, Meal Prep,","1","amazon.com","Standard Orders","Amazon","ARCADIA","LA","71001","MarketplaceFacilitator","12.99","1.36","0","0","0","0","0","0","0","0","-1.36","-1.95","-7.39","0","0","3.65"
"Nov 1, 2025 12:54:20 AM PDT","24951919101","Order","112-3455725-1441847","GAW-Car Bag","Drive - Car Trash Can - Collapsible, Leakproof Garbage Bin with Adjustable Strap and 20 Trash Bags - Car & Truck Accessories for Men and Women - Grey","1","amazon.com","Standard Orders","Amazon","CANYON COUNTRY","CA","91387","MarketplaceFacilitator","11.99","1.17","0","0","0","0","0","0","0","0","-1.17","-1.44","-6.24","0","0","4.31"
"Nov 1, 2025 1:30:57 AM PDT","24951919101","Order","113-9889897-3952203","6PM-6-9""-Twin","SafeRest Zippered Mattress Protector - Premium 6-9 Inch Waterproof Mattress Cover for Bed - Breathable, Noiseless Washable Mattress Encasement - Twin","6","amazon.com","Standard Orders","Amazon","Lafayette","LA","70507","MarketplaceFacilitator","293.94","26.46","0","0","0","0","0","0","0","0","-26.46","-44.10","-38.82","0","0","211.02"
"Nov 1, 2025 1:35:52 AM PDT","24951919101","Order","114-1472045-2393038","GAW-15-MA350","Mendini by Cecilio 15-Inch Solid Wood Viola Set for Beginners - Hand Carved Acoustic Viola Kit with Hard Case, Bow, Rosin, Bridge and Extra Strings (S","1","amazon.com","Standard Orders","Amazon","san francisco","ca","94116","MarketplaceFacilitator","109.99","9.49","0","0","0","0","0","0","0","0","-9.49","-16.50","-17.87","0","0","75.62"
"Nov 1, 2025 1:40:28 AM PDT","24951919101","Order","113-7130011-4227404","GAW-Funnel-Blue","KarZone Round Kitchen Funnel for Filling Bottles, Jars & Containers - Automotive Oil Funnel for Gas, Lubricants and Fluids (12.0 Fluid Ounces, Oval, B","1","amazon.com","Standard Orders","Amazon","MONROE","CT","06468","MarketplaceFacilitator","9.99","0.63","0","0","0","0","0","0","0","0","-0.63","-1.20","-4.52","0","0","4.27"
"Nov 1, 2025 2:12:43 AM PDT","24951919101","Order","112-1115806-0274641","6PM-9-12""-TwinXL","SafeRest Zippered Mattress Protector - Premium 9-12 Inch Waterproof Mattress Cover for Bed - Breathable, Noiseless Washable Mattress Encasement - Twin","1","amazon.com","Standard Orders","Amazon","LAKELAND","FL","33805","MarketplaceFacilitator","34.96","2.45","6.35","0","0","0","0","0","-6.35","0","-2.45","-5.24","-6.89","0","0","22.83"
"Nov 1, 2025 5:44:06 AM PDT","24951919101","Order","112-1839991-3045868","6PM-6-9""-Twin","SafeRest Zippered Mattress Protector - Premium 6-9 Inch Waterproof Mattress Cover for Bed - Breathable, Noiseless Washable Mattress Encasement - Twin","1","amazon.com","Standard Orders","Amazon","ALEXANDRIA","VA","22304","MarketplaceFacilitator","48.99","2.94","0","0","0","0","0","0","0","0","-5.88","-14.70","-6.47","0","0","24.88"
"Nov 1, 2025 5:44:06 AM PDT","24951919101","Order","112-1839991-3045868","6PM-6-9""-Twin","SafeRest Zippered Mattress Protector - Premium 6-9 Inch Waterproof Mattress Cover for Bed - Breathable, Noiseless Washable Mattress Encasement - Twin","1","amazon.com","Standard Orders","Amazon","ALEXANDRIA","VA","22304","","48.99","2.94","0","0","0","0","0","0","0","0","0","0","-6.47","0","0","45.46"
"Nov 1, 2025 5:57:21 AM PDT","24951919101","Order","112-4102360-2347441","6PM-15-18""-Queen","SafeRest Zippered Mattress Protector - Premium 15-18 Inch Waterproof Mattress Cover for Bed - Breathable, Noiseless Washable Mattress Encasement - Que","1","amazon.com","Standard Orders","Amazon","BROOKLYN","NY","11249","MarketplaceFacilitator","58.99","5.24","0","0","0","0","0","0","0","0","-5.24","-8.85","-7.87","0","0","42.27"
