"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"30 Sept 2025 23:06:22 UTC","25699581832","Order","204-4829615-2531541","UK08-Travel Umbrella","EEZ-Y Compact Travel Umbrella w/Windproof Double Canopy Construction - Auto Open Close Button for One Handed Operation - Sturdy Portable and Lightweig","1","amazon.co.uk","Amazon","MELROSE","","TD6 9","MarketplaceFacilitator","9.99","2.00","0","0","0","0","0","0","-2.00","-1.80","-3.04","-0.10","0","5.05"
"30 Sept 2025 23:36:43 UTC","25699581832","Refund","205-9233944-1071511","UK08-Coat WdHngr-Vtg6pk3","High-Grade Wooden Hangers - Set Of 6 - Heavy-Duty Wooden Coat Hangers with Wide Shoulders - Clothes Hangers with 6.3cm Shoulder Flares for Suits and G","1","amazon.co.uk","Amazon","BRENTWOOD","","CM14 4","MarketplaceFacilitator","-15.82","-3.16","0","0","0","0","0","0","3.16","2.28","0","0.06","0","-13.48"
"30 Sept 2025 23:38:18 UTC","25699581832","Order","204-9332588-6857134","UK08-Notebook-Grey2pk","PAPERCODE Lined Journal Notebooks (2 Pack) - Luxury Journals for Writing w/ 130 Pages, Soft Cover - Executive Notebooks for Work, Travel, College - Gr","1","amazon.co.uk","Amazon","carbury","kildare","","MarketplaceFacilitator","6.66","1.53","0","0","0","0","0","0","-1.53","-1.20","-2.42","-0.07","0","2.97"
"1 Oct 2025 00:03:12 UTC","25699581832","Refund","202-1171040-3681122","UK08-Travel Umbrella","EEZ-Y Compact Travel Umbrella w/Windproof Double Canopy Construction - Auto Open Close Button for One Handed Operation - Sturdy Portable and Lightweig","1","amazon.co.uk","Amazon","Great Yarmouth","Norfolk","NR29 4","MarketplaceFacilitator","-9.99","-2.00","0","0","0","0","0","0","2.00","1.44","0","0.03","0","-8.52"
"1 Oct 2025 00:25:30 UTC","25699581832","Order","204-9272940-1895550","UK08-Shoe Horn-01","Velette Long Handled Shoe Horn - Set of 2, Long Shoe Horns for Boots - Metal Shoe Horn for Men, Women, the Elderly and Disabled - Silver","1","amazon.co.uk","Amazon","Warrington","North West England","WA5 3","","7.48","1.50","0","0","0","0","0","0","0","-1.35","-3.01","0","0","4.62"
"1 Oct 2025 02:12:45 UTC","25699581832","Service Fee","","","Subscription","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-7.17","-7.17"
"1 Oct 2025 03:43:50 UTC","25699581832","Liquidations","36524754439552","X002530XHD","Baby Clothes Hanger & Divider Set – 20 Non-Slip Velvet Hangers + 7 Adjustable Dividers | Nursery Storage for Newborn-24 Months | Space-Saving Wardrobe Organiser","1","","","","","","","0.11","0.02","0","0","0","0","0","0","0","0","0","-0.62","0","-0.49"
"1 Oct 2025 12:42:21 UTC","25699581832","Order","202-6223666-6581123","UK08-Roller-Pink","Sdara Skincare Face Roller - Rose Quartz Relaxing Massager - Facial Tool Alternative to Jade Roller","1","amazon.co.uk","Amazon","WELWYN","","AL6 9","MarketplaceFacilitator","8.32","1.66","0","0","0","0","0","0","-1.66","-0.80","-2.42","-0.07","0","5.03"
"1 Oct 2025 13:18:42 UTC","25699581832","Adjustment","026-6141445-1116302","UK08-PiCnd-3x6Wht3pk2","FBA Inventory Reimbursement - Customer Return","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","8.41","8.41"
"1 Oct 2025 13:20:28 UTC","25699581832","Refund","204-0771448-7018764","08uk-WHPad-Nscented","Wheat Bags Microwavable,Microwave Heat Pad, Natural Moist Heat Therapy or Cold Pack, Wheat Bags Microwavable Neck and Shoulder,Reusable-Non-Scented (B","1","amazon.co.uk","Amazon","SOUTHAMPTON","hampshire","SO19 1","MarketplaceFacilitator","-10.82","-2.16","0","0","0","0","0","0","2.16","1.56","0","0.04","0","-9.22"
"1 Oct 2025 14:35:15 UTC","25699581832","Order","202-5139935-5837159","UK08-MSWdHngr-Ntl10pk3","High-Grade Wooden Trouser Hangers with Clips (10 Pack) - Durable Wooden Skirt Hangers, 360° Hook, Hangers for Trousers - Jean Hangers / Pants Hanger","1","amazon.co.uk","Amazon","Stratford Upon Avon","Warks","CV37 9","MarketplaceFacilitator","12.48","2.50","0","0","0","0","0","0","-2.50","-2.25","-2.98","-0.11","0","7.14"
"1 Oct 2025 14:36:26 UTC","25699581832","Order","204-8468428-6445162","UK08-Travel Umbrella","EEZ-Y Compact Travel Umbrella w/Windproof Double Canopy Construction - Auto Open Close Button for One Handed Operation - Sturdy Portable and Lightweig","1","amazon.co.uk","Amazon","Woking","Surrey","GU22 0","MarketplaceFacilitator","9.99","2.00","0","0","0","0","0","0","-2.00","-1.80","-3.04","-0.10","0","5.05"
"1 Oct 2025 14:44:15 UTC","25699581832","Order","203-7317647-9637128","08uk-FMat-20*39Bg","Anti Fatigue Mat 3/4"" Cushioned Non Slip Kitchen Mat (Beige, 20x39inch)","1","amazon.co.uk","Amazon","DOVER","","CT16 1","MarketplaceFacilitator","21.66","4.33","4.16","0.83","0","0","0","0","-5.16","-3.90","-9.31","-0.26","0","12.35"
