"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 1, 2025 12:00:30 AM PDT","24706489881","Liquidations","29277552369551","X004FYG29B","Beard Trimming Apron with Suction Cups - 12x10 Inch Black Beard Hair Catcher for Men | Waterproof & Easy Clean | Ideal Shaving Gift (30x25 cm)","1","","Standard Orders","","","","","","0.16","0","0","0","0","0","0","0","0","0","0","0","0","-0.27","0","-0.11"
"Oct 1, 2025 12:02:15 AM PDT","24706489881","Liquidations","29277552368551","X004FYG29B","Beard Trimming Apron with Suction Cups - 12x10 Inch Black Beard Hair Catcher for Men | Waterproof & Easy Clean | Ideal Shaving Gift (30x25 cm)","1","","Standard Orders","","","","","","0.16","0","0","0","0","0","0","0","0","0","0","0","0","-0.27","0","-0.11"
"Oct 1, 2025 12:10:38 AM PDT","24706489881","Liquidations","29277481271551","X004FYG29B","Beard Trimming Apron with Suction Cups - 12x10 Inch Black Beard Hair Catcher for Men | Waterproof & Easy Clean | Ideal Shaving Gift (30x25 cm)","1","","Standard Orders","","","","","","0.17","0","0","0","0","0","0","0","0","0","0","0","0","-0.28","0","-0.11"
"Oct 1, 2025 12:12:12 AM PDT","24706489881","Order","113-6003476-3977810","08us-Coat WdHngr-Vtg6pk","Premium Wooden Hangers 6-Pack - Wide Shoulder Non-Slip Design for Coats, Jackets & Suits | 360° Rotating Closet Organizers | Durable & Space-Saving (","1","amazon.com","Standard Orders","Amazon","CHICAGO","IL","60642","MarketplaceFacilitator","23.99","2.46","0","0","0","0","0","0","0","0","-4.92","-7.20","-7.97","0","0","6.36"
"Oct 1, 2025 12:12:12 AM PDT","24706489881","Order","113-6003476-3977810","08us-Coat WdHngr-Vtg6pk","Premium Wooden Hangers 6-Pack - Wide Shoulder Non-Slip Design for Coats, Jackets & Suits | 360° Rotating Closet Organizers | Durable & Space-Saving (","1","amazon.com","Standard Orders","Amazon","CHICAGO","IL","60642","","23.99","2.46","0","0","0","0","0","0","0","0","0","0","-7.97","0","0","18.48"
"Oct 1, 2025 12:16:15 AM PDT","24706489881","Order","112-2873745-2979454","Rainbow colorswing","Tree Swing - 60 Inch Oval Saucer Swing for Kids and Adults Outdoor - Backyard Tree Swings with 700Lb Weight Capacity, 900D Oxford Waterproof Fabric Ha","1","amazon.com","Standard Orders","Amazon","MONROE","MI","48162","MarketplaceFacilitator","47.58","2.85","0","0","0","0","0","0","0","0","-2.85","-7.14","-14.37","0","0","26.07"
"Oct 1, 2025 12:17:17 AM PDT","24706489881","Order","111-5461803-8688224","Amber Kitchen Bottles","Swing Top Glass Bottles, 6 Pack Flip Top Beer Bottles with Airtight Lids,16 Oz Amber Glass Bottle with Lids, Beer Bottle for Home Brewing and Wine, Me","1","amazon.com","Standard Orders","Amazon","UNION","IL","60180","MarketplaceFacilitator","16.99","1.23","1.49","0","0","0","0","0","-1.49","0","-1.23","-2.55","-8.28","0","0","6.16"
"Oct 1, 2025 12:21:04 AM PDT","24706489881","Order","113-2999082-7550630","8 oz-12ps","Verahaus 8 oz - 12-Pack Regular Mouth Glass Jars with Lid & Seal Bands - Airtight Container for Pickling, Canning, Candles, Home Decor, Overnight Oats","1","amazon.com","Standard Orders","Amazon","BRANCHBURG","NJ","08876","MarketplaceFacilitator","21.99","1.46","0","0","0","0","0","0","0","0","-1.46","-3.30","-8.44","0","0","10.25"
"Oct 1, 2025 12:21:30 AM PDT","24706489881","Order","111-2796579-0733810","blue--swing","60-Inch Heavy-Duty Rectangle Platform Swing for Backyards - 700lb Capacity Waterproof Outdoor, Kids & Adults Tree Swing (Blue)","1","amazon.com","Standard Orders","Amazon","GEORGETOWN","KY","40324","MarketplaceFacilitator","44.98","2.70","0","0","0","0","0","0","0","0","-2.70","-6.75","-15.31","0","0","22.92"
"Oct 1, 2025 12:25:29 AM PDT","24706489881","Liquidations","29118963330551","X004FYL877","Natural Jute Rope 328ft (2-Pack) – 3-Ply Thick Twine for Cat Scratching Posts, Gardening & DIY Crafts | Durable & Eco-Friendly | Gift Wrapping & Home Decor","1","","Standard Orders","","","","","","0.12","0","0","0","0","0","0","0","0","0","0","0","0","-0.32","0","-0.20"
"Oct 1, 2025 12:29:12 AM PDT","24706489881","Liquidations","29118963360551","X004FYL877","Natural Jute Rope 328ft (2-Pack) – 3-Ply Thick Twine for Cat Scratching Posts, Gardening & DIY Crafts | Durable & Eco-Friendly | Gift Wrapping & Home Decor","1","","Standard Orders","","","","","","0.12","0","0","0","0","0","0","0","0","0","0","0","0","-0.32","0","-0.20"
"Oct 1, 2025 12:29:41 AM PDT","24706489881","Order","112-0325878-2986674","08us-Coat WdHngr-Vtg6pk","Premium Wooden Hangers 6-Pack - Wide Shoulder Non-Slip Design for Coats, Jackets & Suits | 360° Rotating Closet Organizers | Durable & Space-Saving (","1","amazon.com","Standard Orders","Amazon","FRESNO","CA","93704","MarketplaceFacilitator","23.99","2.00","1.49","0","0","0","0","0","-1.49","0","-2.00","-3.60","-7.97","0","0","12.42"
"Oct 1, 2025 12:32:46 AM PDT","24706489881","Liquidations","29277481269551","X004FYG29B","Beard Trimming Apron with Suction Cups - 12x10 Inch Black Beard Hair Catcher for Men | Waterproof & Easy Clean | Ideal Shaving Gift (30x25 cm)","1","","Standard Orders","","","","","","0.17","0","0","0","0","0","0","0","0","0","0","0","0","-0.28","0","-0.11"
"Oct 1, 2025 12:33:28 AM PDT","24706489881","Liquidations","29118963320551","X004FYL877","Natural Jute Rope 328ft (2-Pack) – 3-Ply Thick Twine for Cat Scratching Posts, Gardening & DIY Crafts | Durable & Eco-Friendly | Gift Wrapping & Home Decor","1","","Standard Orders","","","","","","0.12","0","0","0","0","0","0","0","0","0","0","0","0","-0.32","0","-0.20"
"Oct 1, 2025 12:37:40 AM PDT","24706489881","Order","113-1380825-5349028","Quilted - 16 Oz - 6 Pack","Verahaus Canning Jars 16 oz Wide Mouth 6-Pack - Quilted Glass Jars with Lids & Bands, Airtight Containers for Pickling, Candles, Overnight Oats, Home","1","amazon.com","Standard Orders","Amazon","DENVER","CO","80220","MarketplaceFacilitator","15.99","1.46","0","0","0","0","0","0","0","0","-1.46","-2.40","-7.48","0","0","6.11"
"Oct 1, 2025 12:40:15 AM PDT","24706489881","Order","113-3407566-9204206","08us-Coat WdHngr-Vtg6pk","Premium Wooden Hangers 6-Pack - Wide Shoulder Non-Slip Design for Coats, Jackets & Suits | 360° Rotating Closet Organizers | Durable & Space-Saving (","1","amazon.com","Standard Orders","Amazon","LAKEVILLE","MN","55044","MarketplaceFacilitator","23.99","2.01","0","0","0","0","0","0","0","0","-2.01","-3.60","-7.97","0","0","12.42"
"Oct 1, 2025 12:48:16 AM PDT","24706489881","Liquidations","29277552367551","X004FYG29B","Beard Trimming Apron with Suction Cups - 12x10 Inch Black Beard Hair Catcher for Men | Waterproof & Easy Clean | Ideal Shaving Gift (30x25 cm)","1","","Standard Orders","","","","","","0.16","0","0","0","0","0","0","0","0","0","0","0","0","-0.27","0","-0.11"
