"Includes Amazon Marketplace, Fulfilment by Amazon (FBA) and Amazon Webstore transactions"
"All amounts in AUD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the “Type” and “Description” columns for each order ID."
"date/time","settlement ID","type","order ID","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","sales tax collected","low value goods","selling fees","fulfilment by amazon fees","other transaction fees","other","total"
"1 Nov 2025 5:22:55 am GMT+9","12170266813","Order","249-0664937-7104662","NLK-CSH-Sklt-22","12"" Cast Iron Pan – Heavy-Duty cast Iron Skillet and Deep Frying Pans (2.5"" Deep) – Pre-Seasoned Nonstick Surface for Searing, Baking, Sautéing �","1","amazon.com.au","Amazon","GISBORNE","VIC","3437","40.21","2.66","0","-2.66","0","0","-5.23","-11.20","0","0","23.78"
"1 Nov 2025 5:31:01 am GMT+9","12170266813","Order","249-5351616-2901410","N9-I4FJ-SD05","3-Tier Ceramic Cupcake Holder, Cake Stand Holder, Tiered DIY Cupcake Stand Tower for Dessert Table Displays, Birthday Theme Party Favors Decoration, F","1","amazon.com.au","Amazon","MANOR LAKES","VIC","3024","17.99","0","0","0","0","0","-2.34","-11.78","0","0","3.87"
"1 Nov 2025 5:36:28 am GMT+9","12170266813","Order","249-1147424-9942258","CCF-CSH-DghScrpr2","Stainless Steel Dough Scraper with Cover – Versatile Kitchen Tool, Heavy-Duty Bench Scraper & Dough Cutter for Baking, Cooking, Pastry, and Bread Pr","1","amazon.com.au","Amazon","SOUTH MORANG","VIC","3752","10.61","0","0","0","0","0","-1.38","-6.72","0","0","2.51"
"1 Nov 2025 9:02:09 am GMT+9","12170266813","Order","249-3335913-2651044","CCF-CSH-RlngPin","Stainless Steel Rolling Pin for Baking – Heavy-Duty Dough Rolling pin for Pizza, Cookies & Pastry | Non-Stick, Easy to Clean, Kitchen Essential","1","amazon.com.au","Amazon","BRIDPORT","TAS","7262","15.97","0","0","0","0","0","-2.08","-8.40","0","0","5.49"
"1 Nov 2025 10:43:51 am GMT+9","12170266813","Order","249-7734776-3733442","CCF-CSH-DghScrpr2","Stainless Steel Dough Scraper with Cover – Versatile Kitchen Tool, Heavy-Duty Bench Scraper & Dough Cutter for Baking, Cooking, Pastry, and Bread Pr","1","amazon.com.au","Amazon","WEST MELBOURNE","VIC","3003","10.61","0","0","0","0","0","-1.38","-6.72","0","0","2.51"
"1 Nov 2025 11:16:57 am GMT+9","12170266813","Service fee","","","Subscription","","Amazon.com.au","","","","","0","0","0","0","0","0","0","0","0","-14.53","-14.53"
"1 Nov 2025 4:12:58 pm GMT+9","12170266813","Order","503-8303461-7207029","CCF-CSH-MzlnaChprCtngBrd2","Mezzaluna Chopper with Cutting Board Set – Sharp Mezzaluna Knife, Sturdy Chopping Board & Protective Cover – Designed for Quick Herb & Veggie Prep","1","amazon.com.au","Amazon","CHARLESTOWN","NSW","2290","23.99","0","0","0","0","0","-3.12","-10.65","0","0","10.22"
"1 Nov 2025 4:41:23 pm GMT+9","12170266813","Order","250-6332520-1335867","6T-GX3J-KT8G","Meat Tenderiser Hammer – Heavy Duty Meat Mallet for Tenderizing Steak, Chicken, Beef & More – Double-Sided Tool with Comfortable Handle for Home K","1","amazon.com.au","Amazon","BENTLEIGH","VIC","3204","14.99","0","0","0","0","0","-1.95","-8.40","0","0","4.64"
"2 Nov 2025 3:28:18 am GMT+9","12170266813","Service fee","","","Cost of advertising","","","","","","","0","0","0","0","0","0","0","0","-467.32","0","-467.32"
"2 Nov 2025 4:21:38 am GMT+9","12170266813","Order","249-1990503-6042230","CCF-CSH-RlngPin","Stainless Steel Rolling Pin for Baking – Heavy-Duty Dough Rolling pin for Pizza, Cookies & Pastry | Non-Stick, Easy to Clean, Kitchen Essential","1","amazon.com.au","Amazon","BARDIA","NSW","2565","15.97","2.50","0","-2.50","0","0","-2.08","-8.40","0","0","5.49"
