"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"02.11.2025 04:41:24 UTC","25787110012","Servicegebühr","","","Werbekosten","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-26,10","0","-26,10"
"03.11.2025 06:06:53 UTC","25787110012","Bestellung","305-4516172-7330731","LYYFD-GM","Medokare Dusche Hocker mit gepolstertem Sitz - Dusche Sitz für Senioren mit Tasche, Dusche Bench Bad Stuhl, Handicap Dusche sitzen für Erwachsene (W","1","amazon.de","Amazon","Dockweiler","Rheinland-Pfalz","54552","MarketplaceFacilitator","33,61","6,38","0","0","0","0","0","0","-6,38","0","-5,25","0","0","28,36"
"03.11.2025 14:03:52 UTC","25787110012","Erstattung","304-5095948-7052354","LYYFD-GM","Medokare Dusche Hocker mit gepolstertem Sitz - Dusche Sitz für Senioren mit Tasche, Dusche Bench Bad Stuhl, Handicap Dusche sitzen für Erwachsene (W","1","amazon.de","Amazon","Köln","Nordrhein-Westfalen","50737","MarketplaceFacilitator","-33,61","-6,38","0","0","0","0","0","0","6,38","4,80","0","0","0","-28,81"
"04.11.2025 10:47:18 UTC","25787110012","Bestellung","305-2379759-4237905","08de-BHanger20-Divder7-Bho","Baby-Kleiderbügel-Set mit Schrankteiler - 20 Samtbügel & 7-Fach Unterteilung für 0-24 Monate | Praktischer Schrankorganizer für Neugeborene & Klei","1","amazon.de","Amazon","wittenberge","Brandenburg","19322","MarketplaceFacilitator","6,79","1,29","0","0","0","0","0","0","-1,29","0","-4,54","0","0","2,25"
"04.11.2025 19:55:31 UTC","25787110012","Erstattung","305-4516172-7330731","LYYFD-GM","Medokare Dusche Hocker mit gepolstertem Sitz - Dusche Sitz für Senioren mit Tasche, Dusche Bench Bad Stuhl, Handicap Dusche sitzen für Erwachsene (W","1","amazon.de","Amazon","Dockweiler","Rheinland-Pfalz","54552","MarketplaceFacilitator","-33,61","-6,38","0","0","0","0","0","0","6,38","0","0","0","0","-33,61"
"05.11.2025 01:51:15 UTC","25787110012","Liquidationen","52849880366552","X0026DTT9F","Premium Holzbügel-Set 6er – Extrabreite Schultern & 360°-Drehhaken | Mit Hosensteg für Mäntel, Jacken & Kleider | Glatte Oberfläche (Naturholz)","1","","","","","","","0,45","0","0","0","0","0","0","0","0","0","0","-1,24","0","-0,79"
"05.11.2025 02:02:51 UTC","25787110012","Liquidationen","52750119003552","X0026DTT9F","Premium Holzbügel-Set 6er – Extrabreite Schultern & 360°-Drehhaken | Mit Hosensteg für Mäntel, Jacken & Kleider | Glatte Oberfläche (Naturholz)","1","","","","","","","0,45","0","0","0","0","0","0","0","0","0","0","-1,24","0","-0,79"
"05.11.2025 21:23:35 UTC","25787110012","Bestellung","305-3210315-8563534","ZFH-LYYFD-GM","Medokare Dusche Hocker mit gepolstertem Sitz - Dusche Sitz für Senioren mit Tasche, Dusche Bench Bad Stuhl, Handicap Dusche sitzen für Erwachsene (W","1","amazon.de","Verkäufer","Heinsberg","","52525","MarketplaceFacilitator","33,61","6,38","0","0","0","0","0","0","-6,38","0","0","0","0","33,61"
"06.11.2025 20:58:27 UTC","25873914982","Bestellung","302-5935036-5645157","PINGSHUA5","5 Stück Flaschenbürsten,Langer Griff Flauschiger Pomponkopf Universal Reinigungsbürsten für Gründliche Reinigung von Trinkflaschen,Babyflaschen,G","1","amazon.de","Amazon","Leibnitz","Steiermark","8443","MarketplaceFacilitator","8,39","1,68","0","0","0","0","0","0","-1,68","0","-4,08","0","0","4,31"
"07.11.2025 01:02:09 UTC","25873914982","Übertrag","","","Für Konten mit folgenden Endziffern: 875","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-176,57","-176,57"
