"Amazon 出品サービス、フルフィルメント by Amazon (FBA)"
"指定のない場合、単位は円"
"定義："
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計"
"2025/11/01 1:48:37 JST","12172217103","注文","503-3315184-3307801","CSH-SPO-EXBALL-65BLKP2","バランスボール 65cm 空気入れ付き｜アンチバースト仕様で安心使用｜体幹トレーニング・姿勢改善・エクササイ","1","amazon.jp","Amazon","","埼玉県","361-002","","1,545","154","0","0","0","0","-17","0","0","0","0","-485","0","0","1,197"
"2025/11/01 2:07:02 JST","12172217103","注文","249-2952110-9468644","CSH-KND-Mit-BlkP2","鍋つかみ ミトン 耐熱ミトン 2枚セット｜滑り止めシリコン製32cmロングタイプのオーブンミトン｜電子レンジ・�","1","amazon.jp","Amazon","","東京都","206-004","","1,265","126","0","0","0","0","-14","0","0","0","0","-485","0","0","892"
"2025/11/01 7:06:29 JST","12172217103","注文","503-2030967-1736627","CHBE-7-P2","車用小型掃除機｜ハンディクリーナー 強力吸引・12V電源対応・3種ノズル付き・掃除機 ハンディコンパクト・セ","1","amazon.jp","Amazon","","広島県","731-316","","2,454","245","0","0","0","0","-27","0","0","0","-401","-514","0","0","1,757"
"2025/11/01 11:17:01 JST","12172217103","注文外料金","","","月額登録料","","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-1,425","-1,425"
"2025/11/01 12:41:31 JST","12172217103","注文","250-6759943-7989439","CSH-SPO-EXBALL-65BLKP2","バランスボール 65cm 空気入れ付き｜アンチバースト仕様で安心使用｜体幹トレーニング・姿勢改善・エクササイ","1","amazon.jp","Amazon","","東京都","115-005","","1,363","136","0","0","0","0","-15","0","0","0","-148","-485","0","0","851"
"2025/11/01 13:04:48 JST","12172217103","振込み","","","末尾が518のアカウントへ","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-46,526","-46,526"
"2025/11/01 23:08:30 JST","12172217103","注文","503-9428665-2932644","CSH-KND-GWBot6-18oz-V1P2","ガラス 水筒 6本セット｜532mlのクリアボトル＆密閉ステンレス蓋付き｜スリーブ付きで持ち運びやすいガラスボ�","1","amazon.jp","Amazon","","神奈川県","222-003","","1,908","191","0","0","0","0","-21","0","0","0","-312","-514","0","0","1,252"
"2025/11/02 1:38:18 JST","12172217103","注文","503-5462252-8232648","CHBE-7-P2","車用小型掃除機｜ハンディクリーナー 強力吸引・12V電源対応・3種ノズル付き・掃除機 ハンディコンパクト・セ","1","amazon.jp","Amazon","","埼玉県","353-000","","2,454","245","209","21","0","0","-27","-209","-21","0","-401","-514","0","0","1,757"
"2025/11/02 4:06:26 JST","12172217103","注文外料金","","","広告費用","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-42,696","0","-42,696"
"2025/11/02 6:16:39 JST","12172217103","注文","249-0143628-0122274","CSH-SPO-EXBALL-65BLP2","バランスボール 65cm 空気入れ付き｜アンチバースト仕様で安心使用｜体幹トレーニング・姿勢改善・エクササイ","1","amazon.jp","Amazon","","東京都","176-000","","1,363","136","0","0","0","0","-15","0","0","0","-148","-485","0","0","851"
"2025/11/02 23:46:45 JST","12172217103","注文","250-3778819-2097448","CSH-KND-FMAT-39BK","キッチンマット 50×100cm しっかり厚みのある19mm設計で快適な立ち作業をサポート-滑り止め付きで安全、掃除も�","1","amazon.jp","Amazon","","福岡県","810-000","","2,709","271","0","0","0","0","-30","0","0","0","0","-1,100","0","0","1,850"
"2025/11/03 6:23:39 JST","12172217103","注文","503-4981371-8305458","CHBE-7-P2","車用小型掃除機｜ハンディクリーナー 強力吸引・12V電源対応・3種ノズル付き・掃除機 ハンディコンパクト・セ","1","amazon.jp","Amazon","","広島県","734-001","","2,454","245","0","0","0","0","-27","0","0","0","-401","-514","0","0","1,757"
"2025/11/03 15:51:32 JST","12172217103","注文","503-0423777-0411867","CSH-KND-Mit-BlkP2","鍋つかみ ミトン 耐熱ミトン 2枚セット｜滑り止めシリコン製32cmロングタイプのオーブンミトン｜電子レンジ・�","1","amazon.jp","Amazon","","熊本県","860-008","","1,265","126","0","0","0","0","-14","0","0","0","-207","-485","0","0","685"
"2025/11/03 21:00:26 JST","12172217103","注文","249-3095830-5785461","CHBE-7-P2","車用小型掃除機｜ハンディクリーナー 強力吸引・12V電源対応・3種ノズル付き・掃除機 ハンディコンパクト・セ","1","amazon.jp","Amazon","","茨城県","301-084","","2,454","245","418","42","0","0","-27","0","0","0","-401","-974","0","0","1,757"
"2025/11/04 4:26:58 JST","12172217103","注文","503-1376511-0604645","CSH-KND-Mit-BlkP2","鍋つかみ ミトン 耐熱ミトン 2枚セット｜滑り止めシリコン製32cmロングタイプのオーブンミトン｜電子レンジ・�","1","amazon.jp","Amazon","","神奈川県","211-005","","1,265","126","0","0","0","0","-14","0","0","0","-207","-485","0","0","685"
"2025/11/04 4:36:38 JST","12172217103","注文","249-8383662-9747027","CSH-KND-FMAT-39BK","キッチンマット 50×100cm しっかり厚みのある19mm設計で快適な立ち作業をサポート-滑り止め付きで安全、掃除も�","1","amazon.jp","Amazon","","大分県","874-092","","2,709","271","0","0","0","0","-30","0","0","0","-443","-1,100","0","0","1,407"
"2025/11/04 6:01:45 JST","12172217103","注文","503-9128551-0045440","CSH-SPO-EXBALL-65BLKP2","バランスボール 65cm 空気入れ付き｜アンチバースト仕様で安心使用｜体幹トレーニング・姿勢改善・エクササイ","1","amazon.jp","Amazon","","神奈川県","259-120","","1,363","136","0","0","0","0","-15","0","0","0","-148","-485","0","0","851"
"2025/11/04 7:31:13 JST","12172217103","注文","250-0233132-6519017","CHBE-7-P2","車用小型掃除機｜ハンディクリーナー 強力吸引・12V電源対応・3種ノズル付き・掃除機 ハンディコンパクト・セ","1","amazon.jp","Amazon","","埼玉県","343-004","","2,454","245","0","0","0","0","-27","0","0","0","-401","-514","0","0","1,757"
"2025/11/05 0:00:36 JST","12172217103","注文","503-0506544-0179833","CSH-KND-DinStg-Gy","食器 収納ケース 6個セット｜皿・マグ・ワイングラス 収納・シャンパングラスに対応｜クッション入りの仕切�","1","amazon.jp","Amazon","","山形県","990-007","","3,454","345","0","0","0","0","-38","0","0","0","-564","-532","0","0","2,665"
"2025/11/05 13:31:12 JST","12172217103","注文","503-7278599-4602255","CSH-SPO-EXBALL-65BLKP2","バランスボール 65cm 空気入れ付き｜アンチバースト仕様で安心使用｜体幹トレーニング・姿勢改善・エクササイ","1","amazon.jp","Amazon","","埼玉県","330-083","","1,363","136","0","0","0","0","-15","0","0","0","-148","-485","0","0","851"
"2025/11/05 13:55:05 JST","12172217103","注文","503-2498451-4427857","CSH-KND-FMAT-39BK","キッチンマット 50×100cm しっかり厚みのある19mm設計で快適な立ち作業をサポート-滑り止め付きで安全、掃除も�","1","amazon.jp","Amazon","","大分県","873-020","","2,709","271","0","0","0","0","-30","0","0","0","-443","-1,100","0","0","1,407"
"2025/11/05 21:11:21 JST","12172217103","注文","250-1357431-6746235","CSH-MUT-AcstStndP2","高性能吸音材と防音材を使用した折りたたみ式リフレクションフィルター、軽量で持ち運びやすいマイクシール","1","amazon.jp","Amazon","","東京都","141-860","","2,926","293","0","0","0","0","-32","0","0","0","-319","-514","0","0","2,354"
"2025/11/05 22:31:17 JST","12172217103","注文","250-2412277-7542251","CSH-KND-Mit-BlkP2","鍋つかみ ミトン 耐熱ミトン 2枚セット｜滑り止めシリコン製32cmロングタイプのオーブンミトン｜電子レンジ・�","1","amazon.jp","Amazon","","東京都","134-008","","1,265","126","0","0","0","0","-14","0","0","0","-207","-485","0","0","685"
"2025/11/06 0:39:33 JST","12172217103","注文","249-7914347-1043031","CSH-KND-FMAT-39GY","キッチンマット 50×100cm しっかり厚みのある19mm設計で快適な立ち作業をサポート-滑り止め付きで安全、掃除も�","1","amazon.jp","Amazon","","愛知県","485-001","","2,709","271","15","1","0","0","-30","-15","-1","0","-443","-1,100","0","0","1,407"
"2025/11/06 11:55:07 JST","12172217103","FBA 在庫関連の手数料","","","FBAパートナーキャリアの配送料","","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-5,075","-5,075"
"2025/11/06 11:55:41 JST","12172217103","FBA 在庫関連の手数料","","","FBAパートナーキャリアの配送料","","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-2,434","-2,434"
