"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Nov 1, 2025 1:06:39 AM PDT","24927479031","Order","111-0576410-6724263","08us-Coat WdHngr-Vtg6pk","Premium Wooden Hangers 6-Pack - Wide Shoulder Non-Slip Design for Coats, Jackets & Suits | 360° Rotating Closet Organizers | Durable & Space-Saving (","1","amazon.com","Standard Orders","Amazon","TAMPA","FL","33606","MarketplaceFacilitator","24.99","1.87","0","0","0","0","0","0","0","0","-1.87","-3.75","-8.51","0","0","12.73"
"Nov 1, 2025 1:08:18 AM PDT","24927479031","Order","111-4766767-5015460","Varnish Violin","Violin For Beginners, CVN-300 Solidwood Ebony Fitted Violin with Strings, Beginner Starter Violins Kit For Student w/Hard Case, Rosin, Bow, Stringed M","1","amazon.com","Standard Orders","Amazon","BROOKLYN","NY","11234","MarketplaceFacilitator","59.99","5.32","1.50","0.13","0","0","0","0","0","0","-5.45","-9.00","-17.47","0","0","35.02"
"Nov 1, 2025 1:58:12 AM PDT","24927479031","Order","111-1773965-4568238","08us-Coat WdHngr-Vtg6pk","Premium Wooden Hangers 6-Pack - Wide Shoulder Non-Slip Design for Coats, Jackets & Suits | 360° Rotating Closet Organizers | Durable & Space-Saving (","1","amazon.com","Standard Orders","Amazon","TUCSON","AZ","85711","MarketplaceFacilitator","24.99","2.17","0","0","0","0","0","0","0","0","-2.17","-3.75","-8.51","0","0","12.73"
"Nov 1, 2025 2:14:20 AM PDT","24927479031","Order","111-5967147-4325022","08us-Coat WdHngr-Vtg6pk","Premium Wooden Hangers 6-Pack - Wide Shoulder Non-Slip Design for Coats, Jackets & Suits | 360° Rotating Closet Organizers | Durable & Space-Saving (","1","amazon.com","Standard Orders","Amazon","STUDIO CITY","CA","91604","MarketplaceFacilitator","24.99","2.44","0","0","0","0","0","0","0","0","-2.44","-3.75","-8.51","0","0","12.73"
"Nov 1, 2025 2:36:26 AM PDT","24927479031","Order","111-1516668-7161841","16 Oz 6 Pack Regular","16 oz -6-Pack Regular Mouth Glass Jars with Lid & Seal Bands - Airtight Container for Pickling, Canning, Candles, Home Decor, Overnight Oats, Fruit Pr","1","amazon.com","Standard Orders","Amazon","PUEBLO","CO","81004","MarketplaceFacilitator","16.99","1.29","1.50","0","0","0","0","0","-1.50","0","-1.29","-2.55","-7.94","0","0","6.50"
"Nov 1, 2025 2:56:49 AM PDT","24927479031","Order","113-4380704-2430600","08us-Coat WdHngr-Vtg6pk","Premium Wooden Hangers 6-Pack - Wide Shoulder Non-Slip Design for Coats, Jackets & Suits | 360° Rotating Closet Organizers | Durable & Space-Saving (","1","amazon.com","Standard Orders","Amazon","JENSEN BEACH","FL","34957","MarketplaceFacilitator","24.99","1.75","0","0","0","0","0","0","0","0","-1.75","-3.75","-8.51","0","0","12.73"
"Nov 1, 2025 3:48:36 AM PDT","24927479031","Order","111-1162454-9581067","08us-Coat WdHngr-Vtg6pk","Premium Wooden Hangers 6-Pack - Wide Shoulder Non-Slip Design for Coats, Jackets & Suits | 360° Rotating Closet Organizers | Durable & Space-Saving (","1","amazon.com","Standard Orders","Amazon","SAN FRANCISCO","CA","94102","MarketplaceFacilitator","24.99","2.16","0","0","0","0","0","0","0","0","-2.16","-3.75","-8.51","0","0","12.73"
"Nov 1, 2025 4:43:38 AM PDT","24927479031","Order","113-2667738-7105807","08us-Coat WdHngr-Vtg6pk","Premium Wooden Hangers 6-Pack - Wide Shoulder Non-Slip Design for Coats, Jackets & Suits | 360° Rotating Closet Organizers | Durable & Space-Saving (","2","amazon.com","Standard Orders","Amazon","SAN FRANCISCO","CA","94116","MarketplaceFacilitator","49.98","4.32","0","0","0","0","0","0","0","0","-4.32","-7.50","-17.02","0","0","25.46"
"Nov 1, 2025 4:50:22 AM PDT","24829956811","Order","114-2255217-8713867","Glass Jars-Brown","Verahaus 4 oz Mini Glass Jars Square - Set of 12 Mini Glass Jars with Corks for Wedding & Party Favors, DIY Crafts, Potions, Spices & Candy, 3.4 oz","1","amazon.com","Invoiced Orders","Amazon","MADISON","WI","53716","MarketplaceFacilitator","14.99","0","0","0","0","0","0","0","0","0","0","0","-7.48","0","0","7.51"
"Nov 1, 2025 5:53:26 AM PDT","24927479031","Order","111-4766767-5015460","Brown Violin","CVN-500 Solidwood Ebony Fitted 4/4 Full Size Violin For Beginners & Students | Complete Starter Kit With Hard Case, Bow, Rosin | Beginner-Friendly, Pr","1","amazon.com","Standard Orders","Amazon","BROOKLYN","NY","11234","MarketplaceFacilitator","65.99","5.86","1.49","0.13","0","0","0","0","0","0","-5.99","-9.90","-17.08","0","0","40.50"
