"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"31.10.2025 23:14:17 UTC","25875105812","Bestellung","305-6008296-4709938","SP-BANDSSET-BE4","Blood Flow Restriction Bands für Arme Beine Gesäß Occlusion Training, gewinnen Muskeln ohne schweres Gewicht Heben, Quick-Release elastischen Rieme","1","amazon.de","Amazon","Hildesheim","","31137","MarketplaceFacilitator","15,96","3,03","3,35","0,64","0","0","0","0","-3,67","-2,85","-6,77","0","0","9,69"
"31.10.2025 23:22:40 UTC","25875105812","Bestellung","306-6470090-8389942","HO-AmbGldJr-12","Ceciliec Braunglasbehälter, 236 ml (8 oz) leere Kosmetikbehälter für DIY-Projekte, Bernsteinfarbene Gläser für Kerzenherstellung (12)","1","amazon.de","Amazon","Oberwolfach","","77709","MarketplaceFacilitator","13,44","2,55","0","0","0","0","0","0","-2,55","-2,40","-5,83","0","0","5,21"
"31.10.2025 23:29:47 UTC","25875105812","Bestellung","306-2088791-7485910","HO-BP-WHI-1","Ceciliec 137 x 50 cm Körperkissen, verstellbares Luxus-Körperkissen aus zerkleinertem Memory-Schaum, maschinenwaschbar, Bambusbezug, cremefarben","1","amazon.de","Amazon","Berlin","","12687","MarketplaceFacilitator","18,48","3,51","0","0","0","0","0","0","-3,51","-3,30","-7,14","0","0","8,04"
"31.10.2025 23:33:43 UTC","25875105812","Bestellung","028-4957575-1846752","HO-AmbGldJr-6","Braunglasbehälter, 236 ml (8 oz) leere Kosmetikbehälter für DIY-Projekte, Bernsteinfarbene Gläser für Kerzenherstellung (6)","1","amazon.de","Amazon","Zurich","Zurich","80","MarketplaceFacilitator","9,24","0,75","1,30","0,11","0","0","0","0","-0,86","-1,65","-5,67","0","0","3,22"
"31.10.2025 23:36:58 UTC","25875105812","Erstattung","028-4957575-1846752","HO-AmbGldJr-6","Braunglasbehälter, 236 ml (8 oz) leere Kosmetikbehälter für DIY-Projekte, Bernsteinfarbene Gläser für Kerzenherstellung (6)","1","amazon.de","Amazon","Zurich","Zurich","80","MarketplaceFacilitator","0","0","-1,30","-0,11","0","0","0","0","0,11","0","1,18","0","0","-0,12"
"31.10.2025 23:44:20 UTC","25875105812","Bestellung","305-4329428-2862716","HO-Chair-Blue","Bodenstuhl klappbar, Bodensessel mit Liegefunktion, Bodenstuhl mit Rückenlehne für Meditation, Yoga, Camping oder als Lesen Spielen, Meditationsstuh","1","amazon.de","Amazon","Limbach-Oberfrohna","","09212","MarketplaceFacilitator","33,61","6,38","0","0","0","0","0","0","-6,38","-6,00","-5,91","0","0","21,70"
"31.10.2025 23:46:32 UTC","25875105812","Bestellung","304-9941931-5149914","COY-BANDSSET-BE2","BFR Bands Sport Venenstauer & Bizeps Band PRO Set - 2er Pack Okklusionsbänder zum Arm- oder Bein-Muskeltraining - Ideal für Bodybuilding - Plus E-Bo","1","amazon.de","Amazon","Braunschweig","","38110","MarketplaceFacilitator","10,92","2,07","0","0","0","0","0","0","-2,07","-1,95","-4,99","0","0","3,98"
"01.11.2025 07:37:20 UTC","25875105812","Bestellung","028-0226858-8123502","HO-SquareGlassJar-12","Ceciliec 12er-Pack Leere Kerzengläser, 100ml Mini Quadratische Glasflaschen mit Verschlussstopfen, Mini-Gläser mit Korkdeckeln für die Herstellung","1","amazon.de","Amazon","Sankt Georgen bei Salzburg","","5113","MarketplaceFacilitator","12,60","2,52","0","0","0","0","0","0","-2,52","-2,25","-5,44","0","0","4,91"
"01.11.2025 15:05:22 UTC","25875105812","Bestellung","304-9291680-5765125","SP-BANDSSET-RE2","Blood Flow Restriction Bands für Arme Beine Gesäß Occlusion Training, gewinnen Muskeln ohne schweres Gewicht Heben, Quick-Release elastischen Rieme","1","amazon.de","Amazon","Kaiserslautern","","67657","MarketplaceFacilitator","5,54","1,05","0","0","0","0","0","0","-1,05","-0,99","-2,62","0","0","1,93"
"01.11.2025 16:37:08 UTC","25875105812","Bestellung","305-1248906-3759564","HO-BP-WHI-1","Ceciliec 137 x 50 cm Körperkissen, verstellbares Luxus-Körperkissen aus zerkleinertem Memory-Schaum, maschinenwaschbar, Bambusbezug, cremefarben","1","amazon.de","Amazon","Güstrow","","18273","MarketplaceFacilitator","20,16","3,83","0,84","0,16","0","0","0","0","-3,99","-3,60","-7,98","0","0","9,42"
"01.11.2025 16:48:27 UTC","25875105812","Bestellung","302-2360853-3574739","HO-PN-G202","Ceciliec 6 Stück Glasflaschen mit Flip-Top-Verschluss, Luftdichte Gärverschlüsse für Bierbrauen, Wein, Gewürzsaucen, Getränke, Öl, Essig, Kombu","1","amazon.de","Amazon","Körborn","","66871","MarketplaceFacilitator","15,12","2,87","0,84","0,16","0","0","0","0","-6,06","-5,40","-7,62","0","0","-0,09"
"01.11.2025 16:48:27 UTC","25875105812","Bestellung","302-2360853-3574739","HO-PN-G202","Ceciliec 6 Stück Glasflaschen mit Flip-Top-Verschluss, Luftdichte Gärverschlüsse für Bierbrauen, Wein, Gewürzsaucen, Getränke, Öl, Essig, Kombu","1","amazon.de","Amazon","Körborn","","66871","","15,12","2,87","0,84","0,16","0","0","0","0","0","0","-5,94","0","0","13,05"
"01.11.2025 17:47:05 UTC","25875105812","Bestellung","028-5708938-7272333","SP-BANDSSET-BE4","Blood Flow Restriction Bands für Arme Beine Gesäß Occlusion Training, gewinnen Muskeln ohne schweres Gewicht Heben, Quick-Release elastischen Rieme","1","amazon.de","Amazon","Antwerpen","België","2018","MarketplaceFacilitator","15,96","3,35","2,88","0,61","0","0","0","0","-3,96","-2,85","-6,35","0","0","9,64"
"01.11.2025 18:22:42 UTC","25875105812","Bestellung","028-7516489-2414716","SP-BANDSSET-BE2","Blood Flow Restriction Bands für Arme Beine Gesäß Occlusion Training, gewinnen Muskeln ohne schweres Gewicht Heben, Quick-Release elastischen Rieme","1","amazon.de","Amazon","Großenkneten","Oldenburg","26197","","5,87","1,12","0","0","0","0","0","0","0","-1,05","-2,62","0","0","3,32"
"01.11.2025 18:27:34 UTC","25875105812","Erstattung","028-6327808-1446703","SP-BANDSSET-RE2","Blood Flow Restriction Bands für Arme Beine Gesäß Occlusion Training, gewinnen Muskeln ohne schweres Gewicht Heben, Quick-Release elastischen Rieme","1","amazon.de","Amazon","Hamburg","","20253","MarketplaceFacilitator","-5,54","-1,05","0","0","0","0","0","0","1,05","0","0","0","0","-5,54"
"01.11.2025 18:29:38 UTC","25875105812","Bestellung","304-0870930-2810754","HO-SquareGlassJar-12","Ceciliec 12er-Pack Leere Kerzengläser, 100ml Mini Quadratische Glasflaschen mit Verschlussstopfen, Mini-Gläser mit Korkdeckeln für die Herstellung","2","amazon.de","Amazon","Ritterhude","","27721","MarketplaceFacilitator","25,20","4,78","0","0","0","0","0","0","-4,78","-4,50","-10,88","0","0","9,82"
"01.11.2025 19:40:32 UTC","25875105812","Bestellung","304-9911147-9429103","HO-SquareGlassJar-12","Ceciliec 12er-Pack Leere Kerzengläser, 100ml Mini Quadratische Glasflaschen mit Verschlussstopfen, Mini-Gläser mit Korkdeckeln für die Herstellung","1","amazon.de","Amazon","Rostock","","18057","MarketplaceFacilitator","12,60","2,39","0","0","0","0","0","0","-2,39","-2,25","-5,44","0","0","4,91"
"01.11.2025 20:11:16 UTC","25875105812","Erstattung","306-2867912-1468315","HO-Mason-16oz12pack","12 Stück Einmachgläser mit regulärer Öffnung, 473 ml, Einmachgläser mit silberfarbenem Metalldeckel und Bändern mit Messmarkierungen, zum Einkoc","1","amazon.de","Amazon","Ebersbach An Der Fils","","73061","MarketplaceFacilitator","-23,52","-4,47","0","0","0","0","0","0","4,47","3,36","0","0","0","-20,16"
"01.11.2025 20:32:20 UTC","25875105812","Bestellung","306-3221300-0453927","HO-SquareGlassJar-12","Ceciliec 12er-Pack Leere Kerzengläser, 100ml Mini Quadratische Glasflaschen mit Verschlussstopfen, Mini-Gläser mit Korkdeckeln für die Herstellung","1","amazon.de","Amazon","Riegelsberg","","66292","MarketplaceFacilitator","12,60","2,39","0","0","0","0","0","0","-2,39","-2,25","-5,44","0","0","4,91"
"01.11.2025 20:42:48 UTC","25875105812","Erstattung","305-4488521-7453141","HO-KingPillow-White","Ceciliec Memory Foam-Kissen, verstellbare Füllung für besseren Schlaf mit zusätzlicher Polsterung, maschinenwaschbar, Feste Polsterung, Abnehmbarer","1","amazon.de","Amazon","Stuttgart","","70569","MarketplaceFacilitator","-14,28","-2,71","0","0","0","0","0","0","2,71","2,04","0","0","0","-12,24"
"01.11.2025 20:58:07 UTC","25875105812","Bestellung","306-3099835-9261948","SP-BALL65CM-BK","Ceciliec 65CM Gymnastikball,Balancebälle für Fitnessstudio, Yoga, Schwangerschaft und Stabilität, Anti-Burst-Schweizer Ball mit Schnellpumpe (Schwa","1","amazon.de","Amazon","Ertingen","","88521","MarketplaceFacilitator","14,28","2,71","0","0","0","0","0","0","-2,71","-2,55","-4,75","0","0","6,98"
"01.11.2025 21:05:48 UTC","25875105812","Bestellung","302-0659471-6333101","HO-SquareGlassJar-12","Ceciliec 12er-Pack Leere Kerzengläser, 100ml Mini Quadratische Glasflaschen mit Verschlussstopfen, Mini-Gläser mit Korkdeckeln für die Herstellung","2","amazon.de","Amazon","Westerstede","","26655","MarketplaceFacilitator","25,20","4,78","0","0","0","0","0","0","-4,78","-4,50","-10,88","0","0","9,82"
"01.11.2025 21:07:38 UTC","25875105812","Bestellung","028-9950989-3002710","COY-BANDSSET-BE2","BFR Bands Sport Venenstauer & Bizeps Band PRO Set - 2er Pack Okklusionsbänder zum Arm- oder Bein-Muskeltraining - Ideal für Bodybuilding - Plus E-Bo","1","amazon.de","Amazon","Wilhelmshaven","","26389","MarketplaceFacilitator","10,92","2,07","0","0","0","0","0","0","-2,07","-1,95","-4,99","0","0","3,98"
"01.11.2025 21:11:38 UTC","25875105812","Bestellung","302-5588050-2789117","COY-BANDSSET-BE2","BFR Bands Sport Venenstauer & Bizeps Band PRO Set - 2er Pack Okklusionsbänder zum Arm- oder Bein-Muskeltraining - Ideal für Bodybuilding - Plus E-Bo","1","amazon.de","Amazon","Holzdorf","","24364","MarketplaceFacilitator","10,92","2,07","0","0","0","0","0","0","-2,07","-1,95","-4,99","0","0","3,98"
"01.11.2025 21:19:49 UTC","25875105812","Erstattung","306-5206676-9613153","SP-BANDSSET-BE4","Blood Flow Restriction Bands für Arme Beine Gesäß Occlusion Training, gewinnen Muskeln ohne schweres Gewicht Heben, Quick-Release elastischen Rieme","1","amazon.de","Amazon","Wolfsburg","","38440","MarketplaceFacilitator","-15,96","-3,03","0","0","0","0","0","0","3,03","2,28","0","0","0","-13,68"
"01.11.2025 21:26:14 UTC","25875105812","Bestellung","305-6254902-5131507","SP-BANDSSET-BE2","Blood Flow Restriction Bands für Arme Beine Gesäß Occlusion Training, gewinnen Muskeln ohne schweres Gewicht Heben, Quick-Release elastischen Rieme","1","amazon.de","Amazon","Liebenburg","Niedersachsen","38704","MarketplaceFacilitator","5,87","1,12","0","0","0","0","0","0","-1,12","-1,05","-2,62","0","0","2,20"
"01.11.2025 21:34:15 UTC","25875105812","Bestellung","303-0967141-6081925","HO-HANGERS-6PCS","Hochwertige Holz-Kleiderbügel - 6er-Set - robuste Kleiderbügel mit breiten Schultern - Kleiderbügel mit 6,3 cm Schulterausweitung für Anzüge und","1","amazon.de","Amazon","Bad Salzuflen","Nordrhein-Westfalen","32105","MarketplaceFacilitator","21,00","3,99","0","0","0","0","0","0","-3,99","-3,75","-5,75","0","0","11,50"
"01.11.2025 21:42:58 UTC","25875105812","Bestellung","305-0219009-0789926","SP-BANDSSET-RE2","Blood Flow Restriction Bands für Arme Beine Gesäß Occlusion Training, gewinnen Muskeln ohne schweres Gewicht Heben, Quick-Release elastischen Rieme","1","amazon.de","Amazon","Loiching","","84180","MarketplaceFacilitator","5,54","1,05","4,19","0,80","0","0","0","0","-1,85","-0,99","-6,81","0","0","1,93"
"01.11.2025 21:44:03 UTC","25875105812","Bestellung","028-5737409-5111564","HO-HANGERS-6PCS","Hochwertige Holz-Kleiderbügel - 6er-Set - robuste Kleiderbügel mit breiten Schultern - Kleiderbügel mit 6,3 cm Schulterausweitung für Anzüge und","1","amazon.de","Amazon","Rheinberg","","47495","","21,00","3,99","0","0","0","0","0","0","0","-3,75","-5,75","0","0","15,49"
"01.11.2025 21:44:21 UTC","25875105812","Erstattung","305-6254902-5131507","SP-BANDSSET-BE2","Blood Flow Restriction Bands für Arme Beine Gesäß Occlusion Training, gewinnen Muskeln ohne schweres Gewicht Heben, Quick-Release elastischen Rieme","1","amazon.de","Amazon","Liebenburg","Niedersachsen","38704","MarketplaceFacilitator","-5,87","-1,12","0","0","0","0","0","0","1,12","0,84","0","0","0","-5,03"
"01.11.2025 21:55:21 UTC","25875105812","Bestellung","306-0921526-4515543","SP-BALL65CM-BK","Ceciliec 65CM Gymnastikball,Balancebälle für Fitnessstudio, Yoga, Schwangerschaft und Stabilität, Anti-Burst-Schweizer Ball mit Schnellpumpe (Schwa","1","amazon.de","Amazon","Mülheim An Der Ruhr","","45476","MarketplaceFacilitator","14,28","2,71","0","0","0","0","0","0","-2,71","-2,55","-4,75","0","0","6,98"
"01.11.2025 22:02:10 UTC","25875105812","Bestellung","306-6387044-1004314","HO-Mason-16oz5pack","5 Stück Einmachgläser mit regulärer Öffnung, 473 ml, Einmachgläser mit silberfarbenem Metalldeckel und Bändern mit Messmarkierungen, zum Einkoch","1","amazon.de","Amazon","Köln","","50676","MarketplaceFacilitator","12,60","2,39","0","0","0","0","0","0","-2,39","-2,25","-5,44","0","0","4,91"
