"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"1 Nov 2025 00:09:28 UTC","25898533132","Order","206-2033629-6605901","SP-BANDSSET-BE4","Ceciliec Bands Blood Flow Restriction Bands for Arms Legs & Glutes Extra Wide 2"" Straps for Occlusion Training Quick-Release Elastic Strap Ideal for M","1","amazon.co.uk","Amazon","CRAIGAVON","","BT65 4","MarketplaceFacilitator","11.66","2.33","0","0","0","0","0","0","-2.33","-2.10","-3.00","-0.10","0","6.46"
"1 Nov 2025 06:49:09 UTC","25898533132","Order","203-1152610-5094736","HO-AmbGldJr-12","12 Pack Amber Glass Jars, 8 oz Empty Cosmetic Containers For DIY Projects, Herbs, Homemade Cosmetics, Powder, Lotion and Cream","2","amazon.co.uk","Amazon","Bradford","","BD12 0","","28.32","5.66","0","0","0","0","0","0","0","-5.10","-10.20","0","0","18.68"
"1 Nov 2025 16:39:34 UTC","25898533132","Order","205-0760006-2338718","HO-HANGERS-14Blk50pk","Velvet Baby Hangers - 50-Pack, Premium, Non-Slip Kids Hangers for Clothes - Small Childrens w/ 360 Degree Swivel Hook for Jackets, Trousers and Dresse","1","amazon.co.uk","Amazon","RAINHAM","","RM13 9","MarketplaceFacilitator","17.49","3.50","0.60","0.12","0","0","0","0","-3.62","-3.15","-5.92","-0.18","0","8.84"
"1 Nov 2025 18:29:53 UTC","25898533132","Order","206-3336582-4222760","COY-BALL65CM-RD","URBNFit Exercise Ball - Balance Balls (Ballon Exercice) Yoga, Pilates, Fitness, Stability, Workout, Home Fitness Equipment - Anti-Burst Swiss Ball Cha","1","amazon.co.uk","Amazon","Kirkcaldy","","KY1 2","MarketplaceFacilitator","13.32","2.67","0","0","0","0","0","0","-2.67","-2.40","-3.25","-0.12","0","7.55"
"1 Nov 2025 18:48:38 UTC","25898533132","Order","204-8777261-9919523","COY-POLES","TrailBuddy Walking Poles - Pack of 2 Lightweight, Adjustable Trekking Poles for Hiking, Camping & Backpacking - Walking Sticks w/Cork Grip and Padded","1","amazon.co.uk","Amazon","CORSHAM","Wiltshire","SN13 9","MarketplaceFacilitator","24.99","5.00","0","0","0","0","0","0","-5.00","-4.50","-4.91","-0.19","0","15.39"
"1 Nov 2025 19:19:47 UTC","25898533132","Order","204-4061997-7168303","SP-RINGS-16","Ceciliec Gymnastic Rings Non-Slip Textured Pull-Up Rings for Home Gym & Kids' Fitness Durable Suspension Trainer Straps & Buckles","1","amazon.co.uk","Amazon","Tilbury","United Kingdom","RM18 7","","18.32","3.67","0","0","0","0","0","0","0","-3.30","-3.34","0","0","15.35"
"1 Nov 2025 19:32:44 UTC","25898533132","Order","206-1796268-0611559","SP-BANDSSET-RE2","Ceciliec Bands Blood Flow Restriction Bands for Arms Legs & Glutes Extra Wide 2"" Straps for Occlusion Training Quick-Release Elastic Strap Ideal for M","1","amazon.co.uk","Amazon","LETCHWORTH GARDEN CITY","Herts","SG6 3","MarketplaceFacilitator","3.99","0.80","0","0","0","0","0","0","-0.80","-0.72","-2.40","-0.06","0","0.81"
"1 Nov 2025 19:39:17 UTC","25898533132","Refund","206-6512420-7775528","HO-MFP-WHI-2","2 Pack King Size Memory Foam Pillows, Adjustable Fill for Sleeping w/Extra Stuffing, Machine Washable Firm Cushioning, Removable Viscose from Bamboo C","1","amazon.co.uk","Amazon","AYLESBURY","Bucks","HP21 9","MarketplaceFacilitator","-27.49","-5.50","-1.66","-0.33","0","0","1.66","0.33","5.50","3.96","0","0.10","0","-23.43"
"1 Nov 2025 20:05:05 UTC","25898533132","Order","205-7038073-3324333","COY-POLES","TrailBuddy Walking Poles - Pack of 2 Lightweight, Adjustable Trekking Poles for Hiking, Camping & Backpacking - Walking Sticks w/Cork Grip and Padded","1","amazon.co.uk","Amazon","Scarborough","North Yorkshire","YO11 2","MarketplaceFacilitator","24.99","5.00","0","0","0","0","0","0","-5.00","-4.50","-4.91","-0.19","0","15.39"
"1 Nov 2025 20:32:50 UTC","25898533132","Order","205-4209998-0475563","COY-POLES","TrailBuddy Walking Poles - Pack of 2 Lightweight, Adjustable Trekking Poles for Hiking, Camping & Backpacking - Walking Sticks w/Cork Grip and Padded","1","amazon.co.uk","Amazon","WELLING","","DA16 1","MarketplaceFacilitator","24.99","5.00","0","0","0","0","0","0","-5.00","-4.50","-4.91","-0.19","0","15.39"
